column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
1,initial,0.0,0.0,1,1,1,0,2
2,initial,0.0,0.0,1,1,1,0,2
3,initial,0.0,0.0,1,1,1,0,2
4,initial,0.0,0.0,1,1,1,0,2
5,initial,0.0,0.0,1,1,1,0,2
6,initial,0.0,0.0,1,1,1,0,2
7,initial,0.0,0.0,1,1,1,0,2
8,initial,0.0,0.0,1,1,1,0,2
1,initial,0.038099067788089525,-0.021649973560161014,1,1,1,1,2
2,initial,0.12483500452217303,0.03822011953211185,1,1,1,1,2
3,initial,0.07534087827220907,0.06929225987919692,1,1,1,1,2
4,initial,0.10883814474108175,0.052975366162435505,1,1,1,1,2
5,initial,0.08899726623628147,-0.01873305145836008,1,1,1,1,2
6,initial,0.07385276988324083,-0.03450961548389697,1,1,1,1,2
7,initial,0.05823507722948094,0.03681277198017615,1,1,1,1,2
8,initial,0.07220647520955031,-0.0038582754800257184,1,1,1,1,2
1,initial,0.0,0.0,1,1,1,0,3
2,initial,0.0,0.0,1,1,1,0,3
3,initial,0.0,0.0,1,1,1,0,3
4,initial,0.0,0.0,1,1,1,0,3
5,initial,0.0,0.0,1,1,1,0,3
6,initial,0.0,0.0,1,1,1,0,3
7,initial,0.0,0.0,1,1,1,0,3
8,initial,0.0,0.0,1,1,1,0,3
1,initial,0.04996586912045374,-0.013061794177239405,1,1,1,1,3
2,initial,0.09763415484005422,0.05012591351683267,1,1,1,1,3
3,initial,0.07013460577602632,0.0006736943337015897,1,1,1,1,3
4,initial,0.10071785974840157,-0.004845631620349948,1,1,1,1,3
5,initial,0.086372521702228,0.06970071231311342,1,1,1,1,3
6,initial,0.10514518394662653,-0.006999599103842843,1,1,1,1,3
7,initial,0.08626166225238971,-0.03207621215406525,1,1,1,1,3
8,initial,0.08512162081144173,-0.007553771379798069,1,1,1,1,3
1,initial,0.0,0.0,1,1,1,0,4
2,initial,0.0,0.0,1,1,1,0,4
3,initial,0.0,0.0,1,1,1,0,4
4,initial,0.0,0.0,1,1,1,0,4
5,initial,0.0,0.0,1,1,1,0,4
6,initial,0.0,0.0,1,1,1,0,4
7,initial,0.0,0.0,1,1,1,0,4
8,initial,0.0,0.0,1,1,1,0,4
1,initial,0.12197766678412025,-0.10913167704834302,1,1,1,1,4
2,initial,0.06013084875740324,0.011324692064788217,1,1,1,1,4
3,initial,0.09067250144314759,-0.02532577761827496,1,1,1,1,4
4,initial,0.048495861085868786,0.020688828734329447,1,1,1,1,4
5,initial,0.07622411431333802,0.01170529149556683,1,1,1,1,4
6,initial,0.08557373278915499,0.005621568790640012,1,1,1,1,4
7,initial,0.09592251018091735,-0.013397302928486222,1,1,1,1,4
8,initial,0.03489583120165929,0.009698215134488038,1,1,1,1,4
1,initial,0.0,0.0,1,1,2,0,1
2,initial,0.0,0.0,1,1,2,0,1
3,initial,0.0,0.0,1,1,2,0,1
4,initial,0.0,0.0,1,1,2,0,1
5,initial,0.0,0.0,1,1,2,0,1
6,initial,0.0,0.0,1,1,2,0,1
7,initial,0.0,0.0,1,1,2,0,1
8,initial,0.0,0.0,1,1,2,0,1
1,initial,0.13125121746384116,0.13125121746384116,1,1,2,1,1
2,initial,0.0817440628682494,-0.042470563739335845,1,1,2,1,1
