snapshot,sweep,output,hidden_norm,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67
0,0,-0.708628425440313,4.098526467637333,-1.0,-1.0,-0.32246228601530635,0.5839084582622529,-0.3866630982543373,0.7071645094069221,0.35092841267551944,-0.02326338050172594,0.27088672475378517,-0.8409729191158135,-0.9283061566714863,-0.14820108591201908,0.5527326532995651,-0.27988199795709656,0.6955440128088952,0.035150833712752405,0.6597516484237582,0.30792293712612384,-0.026672490188258013,0.4158418770956209,-0.09820224330566774,0.3075121016150115,-0.569247456323728,-0.9389815693778307,0.01089023488697416,-0.4752723976695685,-0.5113159501789839,-0.9204067767293382,-0.3727244750070402,-0.47011184596088373,0.047939678405716,0.005715536517731712,-0.08089824008133228,-0.09004655756781599,0.9902646955516039,-0.08985535525551702,-0.7769130501113115,-0.47708225115274683,0.17292498440662007,-0.49653148148487003,-0.10364336748989622,-0.28727779986563196,-0.151429991616703,-0.6752335662365476,0.8880398474003528,-0.7616826847032496,-0.11642436510599796,0.4537774665154488,0.36892868735071627,0.18056640347741215,-0.07510617562992983,0.7791806167379405,-0.8591328184830955,0.7224371352056205,-0.07685941835180699,-0.6166045600194274,0.764245733729878,-0.12164798628978812,0.875320123033037,-0.07761052590737805,0.21627892767133017,-0.23623654723732868,0.5463838479944876,0.44997979032980906,-0.8025989742365518,0.1347452326192875,-0.708628425440313
1,1,-0.835428935837812,5.014730641142531,-1.0,-1.0,-0.09994663481856443,0.43914528778826983,-0.25222261429752557,0.8735850036112355,-0.61575639901269,0.8700787197186894,0.4129824184607057,-0.5111188845989646,-0.13479243055809653,-0.453774334565479,0.5471084410631479,0.3305352009020783,0.9475073739687341,-0.011661811753613222,0.1210690175845207,0.07944185705974643,-0.49902012218129843,0.6976383978576886,-0.9909092295089845,-0.1584841019904159,-0.8328991213147342,-0.41068642589278037,-0.28069004699193584,-0.1581922660768404,-0.8086443822250997,0.06608306887579188,0.41883009980774594,-0.48421746462587356,0.8603258130185216,-0.8209440781742972,0.5472889903913617,-0.8586319211880602,0.4580486910935912,0.23425378329930463,-0.535236101221891,-0.9700155582308485,0.6844219813305612,-0.8243270347358287,0.30267842048490573,0.7882760510764613,-0.8749057506662679,-0.2297157194259195,0.25689420085048786,-0.8135287554750394,0.5669026223484832,0.35388436863417105,-0.9380682936052144,0.1057324389965307,0.6503182684848872,0.9324753611351002,-0.8801978800250789,0.9282731471662831,0.3605541606033704,-0.6857928112131622,0.699697345785651,0.6556396325869968,0.5725791049168364,0.3450018013502576,0.38805483563876925,-0.8786912081753894,0.9228101820221308,0.9495332058644653,-0.34444028237507873,-0.9184565173627401,-0.835428935837812
2,2,-0.38036773202175445,5.521215542385875,-1.0,-1.0,0.1638336617034132,-0.18405949449062467,-0.02398711862927043,0.4450680168860645,0.1413677176160382,0.6320372516331203,0.8410570490881342,0.4170866136629686,-0.5904739103737932,-0.6782662476399147,0.7653161329148772,0.7876714756897201,0.9237209093527969,-0.699396226446508,-0.06121805103060218,0.02164933747686247,-0.42731127773165595,0.08223190952843515,-0.754472882800598,-0.96899202982094,-0.8159130810394857,0.2627973892993529,-0.5091796518375624,-0.16457132729121127,0.01736068640822995,0.9162941991331601,0.6012895537723377,-0.9737767125808782,0.715727941866213,-0.9072581805161137,0.7199858870599414,-0.8012687655814466,0.2910024665689477,0.8020132583608948,-0.9814335135766163,-0.8325641682254045,0.5281138811707058,-0.9926472709430785,0.5462138568598459,0.7727311699100685,-0.8580426772282879,-0.9950008713741966,-0.8153969992831217,-0.7466149572284708,0.9806303734157881,-0.3708880817059416,-0.8821236194554243,-0.10034401879574403,0.8282296944474674,0.8094347457767839,-0.19889771249268645,0.8046021581060834,-0.07210261244596201,-0.9640525613130598,0.5956881188769451,-0.37920208275204415,0.8241444029266187,0.7442012851049418,0.9022823653522438,-0.8846229643474443,0.8719318742720406,0.6612974380289294,0.6664139903207702,-0.9409182532005622,-0.38036773202175445
3,3,-0.8008212213963986,5.868520060835711,-1.0,-1.0,0.17809986726670887,-0.42624499149909767,0.14552480803156653,0.4803523285818252,0.5652144062883528,0.8356861964969936,0.8914203626624326,0.8170749234713703,-0.592371241384696,-0.7956689937103268,0.3631375103286019,0.6938925087731789,0.9111993099015807,-0.8662464056247966,0.14279720509555327,0.23205847442157573,-0.25608050639190477,-0.39613793997418395,-0.7684742662958755,-0.8922645588988114,-0.9429113586155093,0.9977604144009846,-0.8051071359668522,-0.006220993731196781,0.20327542141227314,0.792478338112022,0.9198585676414881,-0.6956040774597836,0.8865214585742338,-0.42136476695860886,0.6818119920466855,-0.7564382817612247,-0.9980137534001938,0.998517638555338,-0.9961794185496724,0.240540097960949,0.9153561279281027,-0.9233376738720889,0.8442660613006732,0.43570372770477883,-0.9029317720499677,-0.6882594422623305,-0.8998587669035576,-0.7734463314757409,0.8727187521695081,-0.5759906874885876,-0.9319539725107369,-0.703888452429564,0.9559535308981973,0.9247647211077488,-0.6753923785663559,0.8931881298061826,-0.6062694991105221,-0.5154138606303448,0.8954355776214601,-0.3871528323913339,0.7612865070349445,0.8881881381174463,0.78011961979717,-0.8610504655316853,0.18106109802443215,0.9701820915800978,0.8040532454973884,-0.6019917863779924,-0.8008212213963986
4,4,-0.9832565105019393,6.193065442174181,-1.0,-1.0,0.5024676227297115,-0.2592573795541455,0.9849068607930596,0.1896905305099757,0.7347297928204448,0.6308770185996067,0.7944243749073367,0.9428993007482722,-0.6702330262720895,-0.6545764319490369,0.5067118449313858,0.9432954907234832,0.9992075469727648,-0.6677887919875913,0.034830181039958955,0.005332212000775268,-0.6851492287706782,-0.7467483519243437,-0.8978012864519389,-0.8666610166974631,-0.9113658721926121,0.9719451491200569,-0.6579702362736197,0.2642381523722558,0.4551646744628926,0.9060676048387557,0.9516189457223874,-0.9131379852279217,0.8796675438894004,-0.8924760097925132,0.7955514216522596,-0.9053978954351843,-0.8937675820893345,0.7102606988018025,-0.848481413755918,-0.605001849011986,0.9201384643424169,-0.9261077894995768,0.8757482326499467,0.832327428446552,-0.8166963590985823,-0.9384827043002767,-0.9790629568727824,-0.7562243042566181,0.9264816034463008,-0.7119229846156466,-0.8416752568206367,-0.9402146978333885,0.8319298271303572,0.9416354963710589,-0.4884223466972142,0.84810533437564,0.0027280826289491356,-0.8845759683390977,0.9652691866851582,-0.6781462299884573,0.8991805754796874,0.8387485047104787,0.9048829147993613,-0.8231024782063182,-0.20468786728608246,0.4576143360126296,0.8840808302918763,-0.32667126657939194,-0.9832565105019393
5,5,-0.7287900497637816,6.198414053505687,-1.0,-1.0,0.8754008961244109,0.5324216550207059,0.968668083632001,0.48611906280468764,0.820278405732902,0.9362310108185142,0.8012309334628083,0.7144103775249591,-0.7888075766447057,-0.9328797241214382,0.5738267805355634,0.9190820109583591,0.9950901300640234,-0.9424370339714908,-0.38234326775728344,-0.5790472556362531,-0.9465489743867024,-0.9009297752111709,-0.8903378487170683,-0.8281745049364857,-0.8895757570911603,0.6869913807373926,-0.9440566022699847,0.46027286192492134,0.8556612931142265,0.9625635932449571,0.8680614007870098,-0.7846034093377325,0.908451930806911,-0.8581803673737156,0.7558840473233479,-0.42714417620783596,-0.8423301633657072,0.6937457419868323,-0.8191269875550757,-0.5189883059169835,0.9076001010217771,-0.8339538616428666,0.8058116538550695,-0.1716807484843419,-0.9537854994126793,-0.8018734613812626,-0.8114078635143066,-0.7410719578521254,0.9487732408542984,-0.5982248335411071,-0.899296266724777,-0.8923525970481346,0.8329987615453844,0.7925791375446736,-0.6470389485489224,0.22800362337466873,0.2333406176995585,-0.9445296651453039,0.6785987906166389,-0.9671825345360814,0.6701407518159237,0.18576926268598304,0.917477416173274,-0.8803081143214273,-0.2033544236131961,0.44312230152113824,0.9340497444467815,0.523105958954991,-0.7287900497637816
6,6,-0.9528211230718817,6.390300022572792,-1.0,-1.0,0.9358201548628855,0.9236517473822303,0.933451863603542,0.27006671714514785,0.9749233200892897,0.6842974253912439,0.7824687398739227,0.8427550450136094,-0.42219739971751613,-0.44955236456595554,0.8592895288397422,0.9260750576252237,0.9164011872250053,-0.7994639802588415,-0.8278488235538379,-0.8505555635546651,-0.5482973492370989,-0.7327863847425715,-0.8991726800241087,-0.8462712095079341,-0.9294846049373826,0.9689950052650307,-0.9070684359108935,0.17121887078350462,0.9503198152712731,0.9110022928208169,0.9861993661764314,-0.18952983336507484,0.8490056639296197,-0.5139506175868052,0.8679551156524945,-0.7202043440108362,-0.4387879723993701,0.9894768930696641,-0.995234380970677,-0.5113878325015132,0.9781325125975089,-0.8758209072962176,0.8056690566993708,-0.8972813470692191,-0.9809041136359964,-0.9114971826086428,-0.989525407989083,-0.7571233329777085,0.6568922105945738,-0.9775246565652463,-0.862371931062782,-0.9720662018230879,0.9029776056087002,0.2747319426698365,-0.9689547924342364,0.7689557210038583,0.7304437876046028,-0.12076313136542235,0.9105393247263817,-0.8461803137957793,0.7713253099826656,0.9104133679851794,0.6851563567545255,-0.9028976624534948,-0.13884594951963836,0.25085791857170603,0.6004637657517637,0.923859931248285,-0.9528211230718817
7,7,-0.6224339961172216,6.406737340863518,-1.0,-1.0,0.9569595861575091,0.6656449178633785,0.9434461133634917,-0.999809127374485,0.7209096745165215,0.8584424868832041,0.7155618733551532,0.8214446311320897,-0.5440387483648201,-0.7193948203503685,0.8258062718581436,0.8207845756595566,0.6964094008129079,-0.7174938692023624,-0.3532352716629368,-0.9697077428849759,-0.9114397502261208,-0.8284314300164253,-0.8002161026588982,-0.9869625777889761,-0.8005768925097759,0.8572467065934188,-0.99505631312473,0.19167868025058166,0.7718983484899251,0.870271182591575,0.7272218285704959,-0.5683638350569703,0.8588557446869489,-0.3275507989797812,0.863242355891955,-0.9966537512971233,-0.3099009140665924,0.9656823829022168,-0.928027154598973,-0.41753170975319676,0.9744065234881588,-0.969193412690797,0.9839114179541615,-0.9879693507237078,-0.8180241770482812,-0.7764577738626199,-0.8448019823368579,-0.8455535293989982,0.80399228710758,-0.5884102207687125,-0.8464480699899868,-0.7510483710279809,0.6415377425865756,0.9681686855838483,-0.9175017669613075,0.9577300292136757,0.5010419442563597,-0.9415747057499364,0.8770107863580582,-0.9924411734063483,0.8699608741483845,0.861138979346647,0.8054750248059495,-0.8108501428424155,-0.14099253132477851,0.2947262642698273,0.9096632125246085,0.4336285722081044,-0.6224339961172216
8,8,-0.9547864628564273,6.305935131202005,-1.0,-1.0,0.7350180026891605,0.8979377295824121,0.709771340070631,-0.524228923960574,0.7643465998627693,0.6729444613371482,0.7516978016240383,0.6810049379892718,-0.1350861818257542,-0.3174640986567209,0.815167098280038,0.8363231172376828,0.6957253876572753,-0.9701893345981218,-0.9052707583312976,-0.9376055300558687,-0.7021058415305292,-0.7473796339686736,-0.9545101121537058,-0.7638535627682872,-0.7692397943155816,0.9298005618786034,0.04216076831857198,-0.20819083136086558,0.8171867426067374,0.9965514477224966,0.9326918144988272,-0.9007880938900557,0.9929745433510391,-0.9929803755347689,0.43565160127800895,-0.3602851245959496,-0.8634014341256293,0.9810844743206256,-0.9804096850921323,-0.6779212624521747,0.9352138084451154,-0.7265721757661905,0.7734494975639731,-0.8126537568042492,-0.8663273485226641,-0.7832916070567251,-0.9523267863283307,-0.9861561677937747,0.749298335363962,-0.7288132724824516,-0.9929207577419209,-0.9823174992507733,0.8330629641108099,0.9030529264339824,-0.7527736688756848,0.9851617084388733,0.9964374456910132,-0.5255323439378061,0.8104962868301921,-0.8249582127269495,0.11609830005081406,0.9859105456645512,0.8537382864184665,-0.5986705613355827,-0.5332759061913617,0.06023958286119427,0.884958263541801,0.6414941108715299,-0.9547864628564273
9,9,-0.9572146944599562,6.2080144549354355,-1.0,-1.0,0.9191463922720681,0.9463906478110271,0.9217970057286875,-0.9615169805723582,0.8092530456471515,0.9201785933917845,0.9874944649700945,0.9209692516621546,-0.42806052354753943,0.7015652485997121,0.9608859642131192,0.7154273485254553,0.6670130064899185,-0.9468299090447925,-0.20737482299015714,-0.6667978787341983,-0.5584779296789915,-0.7746778480099995,-0.3314544629788102,-0.9943611570905828,-0.9166233038574935,0.9556152530547953,-0.40566716344659043,-0.04358751787333148,0.4124857466974424,0.7699064949333801,0.6926600930860547,-0.669102740677134,0.9570788535886642,-0.34138833427837745,0.9175654923060614,-0.21184479590268945,-0.9585245305090162,0.9496630782016267,-0.8926669650757741,0.05223673765225572,0.8294184842416077,-0.9394342441229,0.8763922733636965,-0.8379133342645408,-0.6455515154189804,-0.9591130294407463,-0.8906835097024407,-0.8201228339836852,0.9653234725936091,-0.9908184167667611,-0.7430787966961704,-0.8815985014219696,0.8456998428832394,0.11419252628995608,-0.7895131460293254,0.5992918300706848,0.8848522470489599,0.5285413817366246,0.6811031756962729,-0.771189805572817,0.6435162691941079,0.8825455778660682,0.9385596893249715,-0.7503543712447902,-0.35529900858641333,-0.4627190334010981,0.8737022470750766,0.9702083246034492,-0.9572146944599562
