workers,batch,run_seconds,collect_seconds,update_seconds,total_seconds,active_workers,min_worker_norm,mean_worker_norm,max_worker_norm,grad_norm
4,1,12.3801191,0.2722217,0.3752335,13.0275743,4,604.0761,642.8368,671.3184,1.9798871
4,2,3.1228496,0.008368,0.0346723,3.1658899,4,607.02185,646.0179,662.03156,1.9743346
4,3,3.3910254,0.0078443,0.0249303,3.4238,4,625.9999,630.88116,642.80304,1.8529885
8,1,10.146826,0.0471994,0.0558813,10.2499067,8,433.76468,452.7422,470.0924,2.6521583
8,2,2.4672167,0.0143832,0.0374157,2.5190156,8,433.73206,453.15222,471.2338,2.5993276
8,3,2.2843732,0.0142721,0.0547337,2.353379,8,437.31915,457.70532,470.8553,2.6269238
12,1,9.9477002,0.0552329,0.0707633,10.0736964,12,341.5276,369.92236,386.7096,3.180773
12,2,2.2755184,0.0215859,0.1814279,2.4785322,12,347.04312,368.08557,393.0767,3.0568166
12,3,2.2320674,0.022127,0.0414797,2.2956741,12,344.3801,370.13205,392.9542,2.93891
16,1,10.0107942,0.0666487,0.065146,10.1425889,16,283.80267,316.8848,382.65808,3.5021162
16,2,2.1897443,0.0354629,0.0525718,2.277779,16,276.0042,317.0252,384.26498,3.3353174
16,3,2.1501946,0.035918,0.0491306,2.2352431999999998,16,264.70486,316.96637,381.17834,3.142855
