timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:05:42,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.482421875,3.7269175,0.50390625,3.804152
2026-05-19T05:05:53,1,512,1,9.1158149,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48046875,3.3535886,0.50390625,3.3899825
2026-05-19T05:05:56,1,512,2,2.7714386,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.49609375,3.419039,0.48828125,3.4576006
2026-05-19T05:06:00,1,512,3,2.6631971,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.5,3.473319,0.482421875,3.417939
2026-05-19T05:06:03,1,512,4,2.7212738,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.505859375,3.4421523,0.478515625,3.4544592
2026-05-19T05:06:07,1,512,5,2.760872,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.470703125,3.3993983,0.525390625,3.4292378
2026-05-19T05:06:10,1,512,6,2.6691758,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.498046875,3.4400923,0.51953125,3.4319096
2026-05-19T05:06:14,1,512,7,2.6520988,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48046875,3.4976382,0.498046875,3.431396
2026-05-19T05:06:17,1,512,8,2.7948147,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.482421875,3.432709,0.54296875,3.3771834
2026-05-19T05:06:21,1,512,9,2.6949712,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.47265625,3.3975432,0.5234375,3.4687078
2026-05-19T05:06:25,1,512,10,2.6765573,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.501953125,3.4146614,0.47265625,3.5171254
2026-05-19T05:06:28,1,512,11,2.7890823,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.51171875,3.4257667,0.52734375,3.5029309
2026-05-19T05:06:32,1,512,12,2.7133685,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.49609375,3.4900436,0.482421875,3.4871132
2026-05-19T05:06:35,1,512,13,2.6988552,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.517578125,3.4144707,0.5,3.4347272
2026-05-19T05:06:39,1,512,14,2.7500046,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.482421875,3.5550873,0.533203125,3.4659297
2026-05-19T05:06:42,1,512,15,2.7271396,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.521484375,3.4134839,0.529296875,3.52698
2026-05-19T05:06:46,1,512,16,2.7397216,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.501953125,3.5156858,0.494140625,3.3888025
2026-05-19T05:06:50,1,512,17,2.7927751,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.52734375,3.398281,0.48828125,3.5104654
2026-05-19T05:06:53,1,512,18,2.7508383,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.4192934,0.513671875,3.4647233
2026-05-19T05:06:57,1,512,19,2.6581359,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.501953125,3.508473,0.513671875,3.508937
