timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:14:07,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.4921875,3.7058103,0.4921875,3.7605464
2026-05-19T05:14:18,1,512,1,9.3387723,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.498046875,3.5089116,0.490234375,3.5300152
2026-05-19T05:14:22,1,512,2,2.8786021,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.48828125,3.5235922,0.505859375,3.5355115
2026-05-19T05:14:25,1,512,3,2.7552821,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.48828125,3.9827578,0.501953125,3.796229
2026-05-19T05:14:29,1,512,4,2.7307469,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.466796875,4.2988005,0.5078125,4.340582
2026-05-19T05:14:32,1,512,5,2.7983954,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.478515625,3.8851092,0.498046875,3.9740887
2026-05-19T05:14:36,1,512,6,2.7463121,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.451171875,3.9256272,0.54296875,3.9019465
2026-05-19T05:14:40,1,512,7,2.7592147,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.501953125,3.945894,0.509765625,3.922556
2026-05-19T05:14:43,1,512,8,2.7997528,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.5078125,3.8561215,0.505859375,3.852128
2026-05-19T05:14:47,1,512,9,2.7983114,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.505859375,3.9525282,0.501953125,3.9869153
2026-05-19T05:14:51,1,512,10,2.7036724,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.4765625,4.384435,0.525390625,4.4042997
2026-05-19T05:14:54,1,512,11,2.806214,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.552734375,4.29981,0.470703125,4.293588
2026-05-19T05:14:58,1,512,12,2.8396069,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.490234375,4.51902,0.49609375,4.5225096
2026-05-19T05:15:02,1,512,13,2.8035795,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.486328125,4.6514554,0.5078125,4.705745
2026-05-19T05:15:05,1,512,14,2.7876197,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.48046875,4.638362,0.48046875,4.735931
2026-05-19T05:15:09,1,512,15,2.8791987,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.51171875,5.1369653,0.5234375,4.9738517
2026-05-19T05:15:13,1,512,16,2.8017922,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.46484375,5.3216915,0.517578125,5.176965
2026-05-19T05:15:16,1,512,17,2.7931202,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.49609375,5.3055353,0.50390625,5.207581
2026-05-19T05:15:20,1,512,18,2.8432063,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.5078125,5.567438,0.4921875,5.5818563
2026-05-19T05:15:24,1,512,19,2.9271981,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.521484375,5.590695,0.49609375,5.4278483
2026-05-19T05:15:27,1,512,20,2.9175069,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.01,0.1,0.02,0.515625,5.5012417,0.50390625,5.5980854
