digit,free_prediction,plus_prediction,minus_prediction,free_loss,plus_loss,minus_loss,plus_minus_free_loss,minus_minus_free_loss,plus_target_dot,minus_target_dot,plusminus_target_dot,plus_target_cos,minus_target_cos,plusminus_target_cos,plus_output_rms,minus_output_rms,plusminus_output_rms,plus_hidden_rms,minus_hidden_rms,plusminus_hidden_rms,plus_input_rms,minus_input_rms,worker_buffer_norm
5,1,1,1,11.86976,11.869759109133856,11.869759109133856,-4.504974917551863e-7,-4.504974917551863e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030361282301600144,0.0321511484349215,0.044221078782429236,0.0,0.0,74.50942
0,5,5,5,12.686835,12.686834904201664,12.686834904201664,-3.8479980091210564e-7,-3.8479980091210564e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029749696067096588,0.031649882609702515,0.043436844789793046,0.0,0.0,72.908165
4,7,7,7,12.622691,12.622691976210493,12.622691976210493,8.217305129676333e-7,8.217305129676333e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031247426988339867,0.02938270732653517,0.04289225085290412,0.0,0.0,72.37141
1,3,3,3,11.303028,11.303029078331377,11.303029078331377,9.716419242522534e-7,9.716419242522534e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03107549876548263,0.032571493606802365,0.04501765008639922,0.0,0.0,77.56352
9,3,3,3,14.273774,14.273774381882308,14.273774381882308,2.3484861699785142e-7,2.3484861699785142e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03004001596674427,0.03025134417319913,0.04263269148866395,0.0,0.0,72.46088
2,4,4,4,14.35366,14.353659939526601,14.353659939526601,3.097048235645161e-7,3.097048235645161e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028968364248989357,0.03264081625260975,0.04364159727712492,0.0,0.0,72.997
1,9,9,9,18.862907,18.86290569511806,18.86290569511806,-1.7145499100479356e-6,-1.7145499100479356e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180514386149823,0.03212887317282969,0.04520875653461809,0.0,0.0,78.08529
3,6,6,6,12.276592,12.276592574426441,12.276592574426441,3.197877695981788e-7,3.197877695981788e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031388090543986204,0.03364855071400116,0.04601561901300671,0.0,0.0,77.34349
1,9,9,9,17.181046,17.181042446702982,17.181042446702982,-3.085523580637073e-6,-3.085523580637073e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032198379387450654,0.03284617828003549,0.04599572874498329,0.0,0.0,79.62939
4,7,7,7,13.561226,13.56122616843221,13.56122616843221,2.773189287097466e-7,2.773189287097466e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030050716590619832,0.031146363620250424,0.04327980515638458,0.0,0.0,73.34977
