config_id,stepsize,beta,mean_final_free_output_mse,mean_final_free_margin,mean_final_plus_loss_delta,mean_final_minus_loss_delta,mean_final_plusminus_target_dot,final_plus_improves_fraction,final_minus_worsens_fraction
1,0.05,0.05,17.012835085392,0.5765180289745331,-2.150519758462906,7.431345641613007,4.526094064116478,0.9375,1.0
2,0.05,0.1,15.982255965471268,0.7090238686650991,-6.7055913507938385,11.316506296396255,8.646322637796402,1.0,1.0
3,0.05,0.2,15.939669877290726,0.48077938705682755,-11.878525167703629,18.092885494232178,14.588067442178726,1.0,1.0
4,0.1,0.05,19.06429722905159,0.5535624474287033,-1.8794508278369904,12.517192333936691,6.29400061070919,0.8125,1.0
5,0.1,0.1,19.260535895824432,0.63218217715621,-8.909999877214432,17.516753673553467,11.856664508581161,1.0,1.0
6,0.1,0.2,18.777764081954956,0.668328907340765,-15.085695713758469,21.28407049179077,18.17132133245468,1.0,1.0
7,0.2,0.05,25.53320014476776,0.8826826848089695,-3.6131733655929565,12.938237130641937,7.977410197257996,0.90625,1.0
8,0.2,0.1,25.09548956155777,0.9165222011506557,-12.911989241838455,15.542636215686798,14.378771245479584,1.0,1.0
9,0.2,0.2,24.047679901123047,0.7409383859485388,-20.25419670343399,18.020886063575745,21.819677710533142,1.0,1.0
10,0.5,0.05,31.788768470287323,0.6960734762251377,-8.900174140930176,6.873518884181976,9.252410367131233,1.0,1.0
11,0.5,0.1,33.58341509103775,0.6110141668468714,-18.52871546149254,7.0851985812187195,16.39673027396202,1.0,1.0
12,0.5,0.2,33.70491683483124,1.0715690143406391,-29.650333762168884,8.17275607585907,26.599297165870667,1.0,1.0
