kind,config_id,stepsize,beta,sweeps,nsamples,metric,value
free,8,0.2,0.1,1.0,32,state_rms_to_final,0.3586550336331129
free,8,0.2,0.1,1.0,32,hidden_rms_to_final,0.9420904610306025
free,8,0.2,0.1,1.0,32,output_rms_to_final,0.6077969148755074
free,8,0.2,0.1,1.0,32,output_mse_to_target,14.835374742746353
free,8,0.2,0.1,1.0,32,score_margin,0.7503378260880709
free,8,0.2,0.1,2.0,32,state_rms_to_final,0.3512805299833417
free,8,0.2,0.1,2.0,32,hidden_rms_to_final,0.920772697776556
free,8,0.2,0.1,2.0,32,output_rms_to_final,0.6042074356228113
free,8,0.2,0.1,2.0,32,output_mse_to_target,14.862383604049683
free,8,0.2,0.1,2.0,32,score_margin,0.7395019084215164
free,8,0.2,0.1,5.0,32,state_rms_to_final,0.3300247211009264
free,8,0.2,0.1,5.0,32,hidden_rms_to_final,0.8595963604748249
free,8,0.2,0.1,5.0,32,output_rms_to_final,0.5917141260579228
free,8,0.2,0.1,5.0,32,output_mse_to_target,14.977204322814941
free,8,0.2,0.1,5.0,32,score_margin,0.7238086629658937
free,8,0.2,0.1,10.0,32,state_rms_to_final,0.29601133335381746
free,8,0.2,0.1,10.0,32,hidden_rms_to_final,0.7622797787189484
free,8,0.2,0.1,10.0,32,output_rms_to_final,0.566776916384697
free,8,0.2,0.1,10.0,32,output_mse_to_target,15.253842055797577
free,8,0.2,0.1,10.0,32,score_margin,0.6993381781503558
free,8,0.2,0.1,20.0,32,state_rms_to_final,0.2375470851548016
free,8,0.2,0.1,20.0,32,hidden_rms_to_final,0.5960623603314161
free,8,0.2,0.1,20.0,32,output_rms_to_final,0.5124110244214535
free,8,0.2,0.1,20.0,32,output_mse_to_target,15.95123440027237
free,8,0.2,0.1,20.0,32,score_margin,0.6351873436942697
free,8,0.2,0.1,50.0,32,state_rms_to_final,0.12025178456678987
free,8,0.2,0.1,50.0,32,hidden_rms_to_final,0.27904172195121646
free,8,0.2,0.1,50.0,32,output_rms_to_final,0.324690876994282
free,8,0.2,0.1,50.0,32,output_mse_to_target,19.084726929664612
free,8,0.2,0.1,50.0,32,score_margin,0.6850847844034433
