kind,config_id,stepsize,beta,sweeps,nsamples,metric,value
free,3,0.1,0.1,20.0,16,state_rms_to_final,0.3374286778271198
free,3,0.1,0.1,20.0,16,hidden_rms_to_final,0.8526041619479656
free,3,0.1,0.1,20.0,16,output_rms_to_final,0.7097775936126709
free,3,0.1,0.1,20.0,16,output_mse_to_target,15.102554082870483
free,3,0.1,0.1,20.0,16,score_margin,0.4286595620214939
free,3,0.1,0.1,50.0,16,state_rms_to_final,0.26490718591958284
free,3,0.1,0.1,50.0,16,hidden_rms_to_final,0.6437249854207039
free,3,0.1,0.1,50.0,16,output_rms_to_final,0.6407548449933529
free,3,0.1,0.1,50.0,16,output_mse_to_target,16.016155004501343
free,3,0.1,0.1,50.0,16,score_margin,0.41628688760101795
free,3,0.1,0.1,100.0,16,state_rms_to_final,0.17988559696823359
free,3,0.1,0.1,100.0,16,hidden_rms_to_final,0.41167489998042583
free,3,0.1,0.1,100.0,16,output_rms_to_final,0.5027820356190205
free,3,0.1,0.1,100.0,16,output_mse_to_target,18.241157174110413
free,3,0.1,0.1,100.0,16,score_margin,0.614068154245615
free,3,0.1,0.1,200.0,16,state_rms_to_final,0.07729889522306621
free,3,0.1,0.1,200.0,16,hidden_rms_to_final,0.16810184437781572
free,3,0.1,0.1,200.0,16,output_rms_to_final,0.23500789515674114
free,3,0.1,0.1,200.0,16,output_mse_to_target,23.817183136940002
free,3,0.1,0.1,200.0,16,score_margin,0.6955282390117645
free,3,0.1,0.1,300.0,16,state_rms_to_final,0.0
free,3,0.1,0.1,300.0,16,hidden_rms_to_final,0.0
free,3,0.1,0.1,300.0,16,output_rms_to_final,0.0
free,3,0.1,0.1,300.0,16,output_mse_to_target,27.458939790725708
free,3,0.1,0.1,300.0,16,score_margin,1.113813929259777
nudged,3,0.1,0.1,20.0,16,plus_loss_delta,-4.899238109588623
nudged,3,0.1,0.1,20.0,16,minus_loss_delta,2.808014750480652
nudged,3,0.1,0.1,20.0,16,plusminus_target_dot,3.8931940346956253
nudged,3,0.1,0.1,20.0,16,plus_target_cos,0.7447124049067497
nudged,3,0.1,0.1,20.0,16,minus_target_cos,-0.36537589505314827
nudged,3,0.1,0.1,20.0,16,plus_output_rms,0.10857154615223408
nudged,3,0.1,0.1,20.0,16,plus_hidden_rms,0.04000029084272683
nudged,3,0.1,0.1,20.0,16,plusminus_output_rms,0.16459478344768286
nudged,3,0.1,0.1,20.0,16,plus_improves_fraction,1.0
nudged,3,0.1,0.1,20.0,16,minus_worsens_fraction,1.0
nudged,3,0.1,0.1,50.0,16,plus_loss_delta,-9.023877322673798
nudged,3,0.1,0.1,50.0,16,minus_loss_delta,5.763342380523682
nudged,3,0.1,0.1,50.0,16,plusminus_target_dot,7.504469871520996
nudged,3,0.1,0.1,50.0,16,plus_target_cos,0.7599275000393391
nudged,3,0.1,0.1,50.0,16,minus_target_cos,-0.3057604469358921
nudged,3,0.1,0.1,50.0,16,plus_output_rms,0.2159045049920678
nudged,3,0.1,0.1,50.0,16,plus_hidden_rms,0.07159681734628975
nudged,3,0.1,0.1,50.0,16,plusminus_output_rms,0.3252120856195688
nudged,3,0.1,0.1,50.0,16,plus_improves_fraction,1.0
nudged,3,0.1,0.1,50.0,16,minus_worsens_fraction,1.0
nudged,3,0.1,0.1,100.0,16,plus_loss_delta,-12.449892461299896
nudged,3,0.1,0.1,100.0,16,minus_loss_delta,9.406914472579956
nudged,3,0.1,0.1,100.0,16,plusminus_target_dot,11.159149527549744
nudged,3,0.1,0.1,100.0,16,plus_target_cos,0.7614715397357941
nudged,3,0.1,0.1,100.0,16,minus_target_cos,-0.25526658818125725
nudged,3,0.1,0.1,100.0,16,plus_output_rms,0.3357347082346678
nudged,3,0.1,0.1,100.0,16,plus_hidden_rms,0.11464210133999586
nudged,3,0.1,0.1,100.0,16,plusminus_output_rms,0.4965727124363184
nudged,3,0.1,0.1,100.0,16,plus_improves_fraction,1.0
nudged,3,0.1,0.1,100.0,16,minus_worsens_fraction,1.0
nudged,3,0.1,0.1,200.0,16,plus_loss_delta,-14.498244225978851
nudged,3,0.1,0.1,200.0,16,minus_loss_delta,12.295920610427856
nudged,3,0.1,0.1,200.0,16,plusminus_target_dot,14.417483925819397
nudged,3,0.1,0.1,200.0,16,plus_target_cos,0.7530262805521488
nudged,3,0.1,0.1,200.0,16,minus_target_cos,-0.21366487722843885
nudged,3,0.1,0.1,200.0,16,plus_output_rms,0.46332058496773243
nudged,3,0.1,0.1,200.0,16,plus_hidden_rms,0.17509335093200207
nudged,3,0.1,0.1,200.0,16,plusminus_output_rms,0.6377322115004063
nudged,3,0.1,0.1,200.0,16,plus_improves_fraction,1.0
nudged,3,0.1,0.1,200.0,16,minus_worsens_fraction,1.0
nudged,3,0.1,0.1,300.0,16,plus_loss_delta,-14.888396501541138
nudged,3,0.1,0.1,300.0,16,minus_loss_delta,13.290647506713867
nudged,3,0.1,0.1,300.0,16,plusminus_target_dot,15.723993718624115
nudged,3,0.1,0.1,300.0,16,plus_target_cos,0.746396828442812
nudged,3,0.1,0.1,300.0,16,minus_target_cos,-0.19445754494518042
nudged,3,0.1,0.1,300.0,16,plus_output_rms,0.5225169043987989
nudged,3,0.1,0.1,300.0,16,plus_hidden_rms,0.22306119557470083
nudged,3,0.1,0.1,300.0,16,plusminus_output_rms,0.7045802026987076
nudged,3,0.1,0.1,300.0,16,plus_improves_fraction,1.0
nudged,3,0.1,0.1,300.0,16,minus_worsens_fraction,1.0
