kind,config_id,stepsize,beta,sweeps,nsamples,metric,value
free,1,0.1,0.1,1.0,2,state_rms_to_final,0.007409781916067004
free,1,0.1,0.1,1.0,2,hidden_rms_to_final,0.019258170388638973
free,1,0.1,0.1,1.0,2,output_rms_to_final,0.01351473806425929
free,1,0.1,0.1,1.0,2,output_mse_to_target,17.009414672851562
free,1,0.1,0.1,1.0,2,score_margin,0.541927695274353
free,1,0.1,0.1,2.0,2,state_rms_to_final,0.0
free,1,0.1,0.1,2.0,2,hidden_rms_to_final,0.0
free,1,0.1,0.1,2.0,2,output_rms_to_final,0.0
free,1,0.1,0.1,2.0,2,output_mse_to_target,16.964850902557373
free,1,0.1,0.1,2.0,2,score_margin,0.5344053506851196
nudged,1,0.1,0.1,1.0,2,plus_loss_delta,-0.4485955238342285
nudged,1,0.1,0.1,1.0,2,minus_loss_delta,0.2102513313293457
nudged,1,0.1,0.1,1.0,2,plusminus_target_dot,0.3320980966091156
nudged,1,0.1,0.1,1.0,2,plus_target_cos,0.4720713347196579
nudged,1,0.1,0.1,1.0,2,minus_target_cos,-0.27946269512176514
nudged,1,0.1,0.1,1.0,2,plus_output_rms,0.018182331696152687
nudged,1,0.1,0.1,1.0,2,plus_hidden_rms,0.0201949505135417
nudged,1,0.1,0.1,1.0,2,plusminus_output_rms,0.025399685837328434
nudged,1,0.1,0.1,1.0,2,plus_improves_fraction,1.0
nudged,1,0.1,0.1,1.0,2,minus_worsens_fraction,1.0
nudged,1,0.1,0.1,2.0,2,plus_loss_delta,-0.8645839691162109
nudged,1,0.1,0.1,2.0,2,minus_loss_delta,0.5520343780517578
nudged,1,0.1,0.1,2.0,2,plusminus_target_dot,0.7126873731613159
nudged,1,0.1,0.1,2.0,2,plus_target_cos,0.6143807768821716
nudged,1,0.1,0.1,2.0,2,minus_target_cos,-0.4381985068321228
nudged,1,0.1,0.1,2.0,2,plus_output_rms,0.027331228367984295
nudged,1,0.1,0.1,2.0,2,plus_hidden_rms,0.032858340069651604
nudged,1,0.1,0.1,2.0,2,plusminus_output_rms,0.03947095572948456
nudged,1,0.1,0.1,2.0,2,plus_improves_fraction,1.0
nudged,1,0.1,0.1,2.0,2,minus_worsens_fraction,1.0
