timestamp,workers,threads,mode,batch,warmup_batches,hidden,output_replicas,batchsize,jobs,sweeps,relaxation,graph_states,graph_edges,run_seconds,run_cpu_threads,active_workers,min_worker_norm,mean_worker_norm,max_worker_norm
2026-05-21T14:17:33,1,32,greedy,1,1,120,4,32,32,500.0,80000,944,197760,2.6059803,1.1811773864906039,1,951.2131,951.2131,951.2131
2026-05-21T14:17:36,1,32,greedy,2,1,120,4,32,32,500.0,80000,944,197760,2.6244824,1.541970713920581,1,964.09674,964.09674,964.09674
2026-05-21T14:17:40,1,32,greedy,3,1,120,4,32,32,500.0,80000,944,197760,2.6493615,2.075971889830814,1,967.2267,967.2267,967.2267
2026-05-21T14:17:47,4,32,greedy,1,1,120,4,32,32,500.0,80000,944,197760,0.6835274,4.274700619170497,4,295.83206,306.1571,322.88113
2026-05-21T14:17:48,4,32,greedy,2,1,120,4,32,32,500.0,80000,944,197760,0.6834097,5.235695366922653,4,288.28204,295.88538,310.71094
2026-05-21T14:17:49,4,32,greedy,3,1,120,4,32,32,500.0,80000,944,197760,0.6792483,3.9565796484142837,4,275.4603,298.17297,315.3084
2026-05-21T14:17:56,8,32,greedy,1,1,120,4,32,32,500.0,80000,944,197760,0.369709,8.072227075889415,8,161.96355,176.7607,193.44058
2026-05-21T14:17:57,8,32,greedy,2,1,120,4,32,32,500.0,80000,944,197760,0.3831546,8.522995678506796,8,162.94582,173.5972,189.05734
2026-05-21T14:17:58,8,32,greedy,3,1,120,4,32,32,500.0,80000,944,197760,0.371065,7.874294261113283,8,168.92935,173.14584,182.63416
2026-05-21T14:18:04,16,32,greedy,1,1,120,4,32,32,500.0,80000,944,197760,0.2577931,15.637540337580797,16,103.45703,118.76336,145.26413
2026-05-21T14:18:05,16,32,greedy,2,1,120,4,32,32,500.0,80000,944,197760,0.2524582,14.853944138079095,16,98.82653,114.76007,129.76324
2026-05-21T14:18:06,16,32,greedy,3,1,120,4,32,32,500.0,80000,944,197760,0.2545106,14.120237035314052,16,102.74427,112.8121,124.05281
2026-05-21T14:18:12,32,32,greedy,1,1,120,4,32,32,500.0,80000,944,197760,0.2343391,30.004595903969932,32,56.403286,75.81997,96.63186
2026-05-21T14:18:13,32,32,greedy,2,1,120,4,32,32,500.0,80000,944,197760,0.2370176,30.78621587595183,32,56.476807,73.1812,94.503784
2026-05-21T14:18:14,32,32,greedy,3,1,120,4,32,32,500.0,80000,944,197760,0.2383645,30.80890820571016,32,64.94081,76.6044,92.41808
