timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-22T04:15:35,0,0.0,missing,missing,missing,0.744,4.088,57-55-50-16-45-80-51-63-27-56,0.744,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:16:03,1,23.4435254,0.8355,2.644,1661,0.806,3.212,50-50-40-65-58-61-41-53-42-40,0.806,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:16:28,2,21.0562131,0.845,2.528,1687,0.796,3.244,43-49-30-43-45-68-46-74-52-50,0.806,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:16:53,3,20.9167568,0.847,2.474,1685,0.816,2.992,54-46-54-51-51-56-47-44-45-52,0.816,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:17:18,4,20.413951,0.8655,2.16,1720,0.754,3.848,53-46-64-58-60-69-29-45-34-42,0.816,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:17:42,5,20.8584601,0.848,2.493,1689,0.812,2.976,49-47-33-41-50-62-47-64-53-54,0.816,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:18:07,6,20.442416,0.8565,2.28,1711,0.83,2.724,54-48-43-46-44-55-52-47-48-63,0.83,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:18:32,7,20.7147244,0.851,2.357,1698,0.79,3.312,53-49-64-35-76-58-44-44-46-31,0.83,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:18:56,8,20.6189802,0.857,2.266,1708,0.804,3.08,52-52-58-55-42-53-48-39-48-53,0.83,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:19:21,9,20.4053434,0.863,2.24,1717,0.798,3.184,54-54-64-39-55-60-33-37-51-53,0.83,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,
2026-05-22T04:19:45,10,20.4361583,0.8625,2.2,1720,0.766,3.82,57-33-89-34-51-55-42-40-41-58,0.83,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_200pc_best_continue_lr001\final_model.bin
