timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-22T04:12:10,0,0.0,missing,missing,missing,0.095,39.77,13-60-10-45-6-36-6-14-2-8,0.095,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:12:34,1,22.2077528,0.149,14.818,100,0.175,16.17,15-122-6-1-0-54-1-0-0-1,0.175,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:12:53,2,17.4709729,0.32,11.326,289,0.32,10.98,9-45-30-12-3-56-0-45-0-0,0.32,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:13:11,3,16.3243791,0.423,9.718,394,0.315,11.01,18-3-0-58-114-0-0-6-0-1,0.32,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:13:29,4,15.6137738,0.47,8.686,449,0.53,8.18,20-25-28-14-5-20-25-42-2-19,0.53,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:13:45,5,14.4715824,0.533,7.668,518,0.495,7.54,31-27-23-7-3-14-48-13-1-33,0.53,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:14:00,6,13.5155487,0.59,6.85,581,0.495,7.8,23-2-21-29-0-5-27-7-60-26,0.53,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:14:15,7,13.3285695,0.62,6.312,603,0.58,6.73,29-8-14-21-36-39-9-8-20-16,0.58,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:14:29,8,12.9732782,0.65,5.882,640,0.68,5.4,27-29-24-9-24-21-16-16-18-16,0.68,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:14:43,9,12.3272178,0.695,5.09,681,0.575,6.92,19-14-44-22-17-6-32-28-13-5,0.68,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,
2026-05-22T04:14:57,10,12.6882705,0.676,5.316,663,0.59,6.36,23-23-16-35-16-4-19-7-9-48,0.68,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_r3_100pc\final_model.bin
