timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-22T04:08:38,0,0.0,missing,missing,missing,0.08,79.23,57-29-14-9-48-3-8-14-15-3,0.08,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:09:05,1,24.0362866,0.223,25.482,161,0.195,26.7,1-10-1-173-0-0-1-0-0-14,0.195,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:09:24,2,17.8187383,0.46,17.56,424,0.585,13.38,42-17-19-2-5-24-26-26-15-24,0.585,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:09:43,3,16.5417858,0.559,14.344,532,0.545,14.73,25-15-18-4-80-18-12-21-5-2,0.585,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:10:00,4,15.289256,0.618,12.37,606,0.465,16.96,11-16-14-83-1-4-45-6-6-14,0.585,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:10:16,5,14.4696243,0.667,10.714,662,0.475,16.75,13-27-17-0-6-5-14-5-92-21,0.585,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:10:32,6,13.928483,0.713,9.422,700,0.68,10.25,18-20-25-2-9-31-31-18-8-38,0.68,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:10:47,7,13.2870091,0.739,8.368,731,0.555,14.53,18-12-10-4-4-10-16-13-94-19,0.68,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:11:02,8,13.1125852,0.759,8.002,751,0.735,8.54,19-22-17-5-20-36-12-14-30-25,0.735,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:11:17,9,12.8463992,0.772,7.476,767,0.65,11.2,19-12-24-34-63-10-16-9-10-3,0.735,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,
2026-05-22T04:11:31,10,12.6070757,0.784,6.774,775,0.745,7.74,27-26-29-10-12-27-12-16-18-23,0.745,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_rep8_100pc\final_model.bin
