timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-22T03:28:38,0,0.0,missing,missing,missing,0.11,38.99,39-40-29-19-13-17-17-10-2-14,0.11,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:29:06,1,25.295318,0.237,12.374,147,0.45,9.85,11-12-16-4-12-48-20-0-76-1,0.45,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:29:27,2,18.842951,0.502,7.802,439,0.39,9.41,31-31-102-3-0-5-3-11-4-10,0.45,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:29:46,3,17.0905102,0.583,6.642,545,0.57,7.79,22-30-13-36-5-0-14-8-3-69,0.57,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:30:04,4,15.9706051,0.632,5.844,609,0.635,5.65,29-11-29-47-32-17-18-8-9-0,0.635,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:30:21,5,15.1714998,0.677,5.124,664,0.66,5.54,28-9-22-16-5-15-15-40-10-40,0.66,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:30:37,6,14.1488987,0.73,4.236,718,0.735,4.11,26-17-23-16-7-16-39-24-16-16,0.735,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:30:53,7,13.7461355,0.76,3.89,743,0.755,3.93,17-16-20-14-15-35-13-29-15-26,0.755,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:31:08,8,13.3041314,0.779,3.606,770,0.56,7.32,30-13-21-15-77-5-9-24-6-0,0.755,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:31:23,9,13.176858,0.787,3.426,779,0.735,4.29,29-26-20-8-22-32-9-14-16-24,0.755,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,
2026-05-22T03:31:38,10,13.0394535,0.785,3.386,780,0.745,4.08,18-21-17-34-35-21-19-10-20-5,0.755,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h14_traininternal_100pc\final_model.bin
