timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,per_class_accuracy,confusion,best_accuracy,best_path,final_path
2026-05-22T02:46:49,0,0.0,missing,missing,missing,0.09,42.714,89-229-21-232-56-42-177-31-111-12,0.05-0.24-0.02-0.22-0.07-0.02-0.12-0.01-0.14-0.01,5:37:4:18:1:4:22:6:2:1;20:24:3:10:1:0:8:0:34:0;13:30:2:3:9:9:25:3:5:1;19:17:0:22:5:5:23:4:5:0;3:24:1:32:7:7:14:5:4:3;5:18:3:28:6:2:27:3:8:0;9:27:2:21:3:5:12:3:14:4;6:15:3:36:8:3:10:1:18:0;4:20:1:24:6:2:25:2:14:2;5:17:2:38:10:5:11:4:7:1,0.09,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:47:27,1,29.144035,0.506,7.924,726,0.608,5.914,137-101-5-138-70-2-113-75-308-51,0.72-0.92-0.05-0.81-0.65-0.0-0.84-0.71-0.98-0.4,72:0:0:1:0:1:9:0:17:0;0:92:0:3:0:0:0:0:5:0;21:5:5:9:0:0:10:1:49:0;1:0:0:81:0:1:1:0:16:0;9:1:0:7:65:0:5:0:5:8;1:1:0:20:0:0:3:0:75:0;4:0:0:0:0:0:84:0:12:0;9:1:0:6:2:0:0:71:8:3;0:0:0:1:1:0:0:0:98:0;20:1:0:10:2:0:1:3:23:40,0.608,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:47:59,2,22.672174,0.726,4.449,1308,0.645,5.872,100-70-54-130-44-158-104-22-20-298,0.84-0.7-0.53-0.86-0.42-0.85-0.88-0.22-0.18-0.97,84:0:0:2:0:7:1:0:0:6;1:70:1:2:0:17:0:0:0:9;7:0:53:15:0:6:9:0:2:8;0:0:0:86:0:11:1:0:0:2;0:0:0:0:42:0:2:0:0:56;1:0:0:4:0:85:1:0:0:9;3:0:0:0:1:6:88:0:0:2;1:0:0:8:0:0:0:22:0:69;3:0:0:11:1:25:2:0:18:40;0:0:0:2:0:1:0:0:0:97,0.645,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:48:28,3,21.2763225,0.7825,3.544,1468,0.733,4.236,113-102-60-214-80-14-122-63-81-151,0.89-0.94-0.58-0.99-0.72-0.13-0.93-0.57-0.65-0.93,89:0:0:5:0:0:5:0:1:0;0:94:0:5:0:0:0:0:0:1;0:3:58:20:0:0:11:2:3:3;1:0:0:99:0:0:0:0:0:0;0:1:0:0:72:0:6:0:0:21;16:1:0:43:1:13:5:4:11:6;4:0:0:1:1:1:93:0:0:0;1:2:1:14:2:0:0:57:0:23;2:1:1:23:2:0:2:0:65:4;0:0:0:4:2:0:0:0:1:93,0.733,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:48:57,4,20.1433784,0.8165,2.91,1591,0.794,3.166,93-111-56-84-108-173-122-82-84-87,0.72-0.97-0.52-0.76-0.89-0.92-0.89-0.78-0.69-0.8,72:0:0:2:1:22:3:0:0:0;0:97:0:0:0:1:0:0:2:0;9:7:52:1:0:7:17:0:7:0;1:0:1:76:0:18:2:1:1:0;0:1:0:0:89:0:5:0:1:4;1:0:0:2:2:92:2:0:1:0;1:0:0:0:2:8:89:0:0:0;4:4:3:2:2:3:0:78:1:3;3:1:0:1:4:19:3:0:69:0;2:1:0:0:8:3:1:3:2:80,0.794,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:49:25,5,19.6322454,0.846,2.448,1657,0.798,3.082,121-133-96-101-117-104-77-74-49-128,0.96-1.0-0.79-0.85-0.86-0.78-0.72-0.67-0.46-0.89,96:0:0:2:0:1:0:0:0:1;0:100:0:0:0:0:0:0:0:0;2:12:79:0:2:0:2:1:2:0;1:0:1:85:3:8:1:0:0:1;0:1:1:0:86:0:0:0:0:12;2:2:2:4:4:78:1:5:0:2;3:0:5:0:11:8:72:0:0:1;4:9:4:1:2:0:0:67:0:13;13:8:4:6:4:9:1:0:46:9;0:1:0:3:5:0:0:1:1:89,0.798,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:49:52,6,19.2809224,0.866,2.128,1697,0.807,3.288,93-135-149-90-59-95-92-69-105-113,0.88-1.0-0.9-0.79-0.58-0.78-0.85-0.66-0.77-0.86,88:0:7:0:0:1:3:0:0:1;0:100:0:0:0:0:0:0:0:0;0:7:90:0:0:0:0:0:2:1;0:4:4:79:0:10:1:0:2:0;0:2:8:0:58:0:3:0:10:19;1:4:3:4:0:78:0:1:8:1;3:0:5:0:0:5:85:0:1:1;0:8:20:2:0:0:0:66:0:4;1:7:9:3:1:1:0:1:77:0;0:3:3:2:0:0:0:1:5:86,0.807,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:50:20,7,18.9407863,0.878,1.94,1734,0.802,3.22,97-104-163-90-60-110-121-80-55-120,0.91-0.99-0.93-0.7-0.58-0.87-0.92-0.71-0.54-0.87,91:0:3:0:0:1:5:0:0:0;0:99:1:0:0:0:0:0:0:0;0:1:93:0:0:0:3:1:1:1;0:0:12:70:0:15:3:0:0:0;2:0:3:2:58:0:13:1:0:21;1:0:3:3:0:87:3:3:0:0;2:0:3:0:0:3:92:0:0:0;0:2:18:2:0:0:0:71:0:7;1:2:23:7:1:4:2:2:54:4;0:0:4:6:1:0:0:2:0:87,0.807,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:50:47,8,18.5513136,0.898,1.622,1777,0.85,2.29,117-95-99-103-99-112-108-80-81-106,0.96-0.94-0.87-0.86-0.84-0.85-0.86-0.75-0.72-0.85,96:0:0:0:0:1:3:0:0:0;1:94:1:3:0:0:0:0:1:0;2:0:87:0:0:1:5:1:4:0;0:0:1:86:0:10:2:0:1:0;0:0:0:0:84:0:5:1:1:9;4:0:0:3:2:85:3:2:1:0;3:0:2:0:2:7:86:0:0:0;2:1:7:4:2:1:0:75:0:8;8:0:1:5:1:6:3:0:72:4;1:0:0:2:8:1:1:1:1:85,0.85,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
2026-05-22T02:51:13,9,18.3279882,0.91,1.422,1801,0.792,3.234,101-91-86-73-66-139-96-66-69-213,0.84-0.9-0.81-0.71-0.63-0.94-0.86-0.62-0.63-0.98,84:0:0:0:0:8:1:0:0:7;2:90:0:0:0:1:0:0:0:7;2:1:81:0:0:2:4:1:4:5;1:0:0:71:0:18:1:1:1:7;0:0:0:0:63:0:2:0:0:35;1:0:0:0:0:94:1:1:0:3;4:0:0:0:2:5:86:0:1:2;2:0:3:0:0:0:0:62:0:33;5:0:2:2:1:10:1:0:63:16;0:0:0:0:0:1:0:1:0:98,0.85,ext/IsingLearning/experiments/mnist_manager/runs/20260522_paper_like_repro_200pc_r10_s100_e15\best_model.bin,
