timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,best_accuracy,best_path,final_path
2026-06-08T18:31:23,0,0.0,0.055,53.88705,0.135,53.600513,24-22-19-22-17-17-28-19-16-16,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:31:40,1,15.2514859,missing,missing,missing,missing,missing,0.5103405,0.021242011,1.5818774,105.00895,63.30295,348.8131,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:31:47,2,7.1384711,missing,missing,missing,missing,missing,0.54214895,0.036950868,1.649788,120.11257,67.984886,338.17053,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:31:54,3,7.1432069,missing,missing,missing,missing,missing,0.5815484,0.052397836,1.7265756,138.68523,75.15769,405.0625,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:01,4,7.1656242,missing,missing,missing,missing,missing,0.6331371,0.06941349,1.8199899,174.01286,94.71868,501.85892,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:09,5,7.1221329,0.1,52.953888,0.09,53.856583,29-18-24-19-11-17-22-20-25-15,0.70174366,0.08827664,1.9446858,312.2026,156.35248,882.3974,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:16,6,7.1331624,missing,missing,missing,missing,missing,0.79094386,0.10893081,2.1130843,636.9424,278.25058,1611.0643,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:23,7,7.0927155,missing,missing,missing,missing,missing,0.90029866,0.13093095,2.3312294,1595.462,542.1357,2859.343,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:30,8,7.1685805,missing,missing,missing,missing,missing,1.0290595,0.1540986,2.602521,3113.7935,865.17395,4414.3564,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:37,9,7.1036464,missing,missing,missing,missing,missing,1.1794943,0.17877895,2.9278164,4651.995,1146.615,5323.9087,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:44,10,7.1476743,0.075,53.83414,0.11,52.866898,20-17-22-20-28-14-21-19-20-19,1.3509504,0.20502572,3.3041122,5488.343,1268.8396,5718.6587,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:51,11,7.1338044,missing,missing,missing,missing,missing,1.5410708,0.23266113,3.7230332,6020.319,1328.5803,5998.1514,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:32:59,12,7.1877835,missing,missing,missing,missing,missing,1.7460545,0.26131764,4.1739516,6056.2603,1278.8407,5619.2793,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:33:06,13,7.1280085,missing,missing,missing,missing,missing,1.9622577,0.29065812,4.6476707,6271.4453,1297.8916,5624.088,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:33:13,14,7.0983587,missing,missing,missing,missing,missing,2.18562,0.32030588,5.1356816,5919.681,1203.169,5244.8257,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:33:20,15,7.233849,0.085,53.055836,0.12,52.68656,14-21-15-18-24-23-20-21-22-22,2.4129357,0.34996453,5.630075,5711.9106,1162.5208,4918.5674,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
2026-06-08T18:33:27,16,7.2489776,missing,missing,missing,missing,missing,2.6418324,0.37942147,6.124327,5295.593,1054.912,4589.4434,0.135,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T2e-2_lr1e-3_32w_20ep\best_checkpoint.bin,
