timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,best_accuracy,best_path,final_path
2026-06-08T18:41:54,0,0.0,0.09,52.473095,0.065,53.79374,15-25-21-17-23-22-17-13-28-19,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0.065,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:11,1,15.4295273,missing,missing,missing,missing,missing,0.50517154,0.02063575,1.5815434,1.9162334,1.6374419,7.402605,0.065,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:18,2,7.1086341,missing,missing,missing,missing,missing,0.5314537,0.035926707,1.6431108,2.1244862,1.7452924,7.4208264,0.065,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:25,3,7.1283999,missing,missing,missing,missing,missing,0.5613119,0.05012054,1.7068263,2.224832,1.7709526,7.298522,0.065,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:32,4,7.0713621,missing,missing,missing,missing,missing,0.5969838,0.06386788,1.7690889,2.1237984,1.506519,6.593462,0.065,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:39,5,7.14298,0.085,53.507652,0.09,52.77651,23-20-21-12-23-27-20-18-20-16,0.6403458,0.077462524,1.8312855,2.4699945,1.7791518,8.1841,0.09,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:47,6,7.1520683,missing,missing,missing,missing,missing,0.69351274,0.091281824,1.8959049,2.6545663,1.7541524,7.320138,0.09,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:42:54,7,7.1100497,missing,missing,missing,missing,missing,0.7586299,0.10576782,1.9650253,3.0930212,1.9128749,8.394848,0.09,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:43:01,8,7.1635062,missing,missing,missing,missing,missing,0.8356398,0.12083324,2.0402584,3.2367642,2.0526485,9.31417,0.09,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
2026-06-08T18:43:08,9,7.1639812,missing,missing,missing,missing,missing,0.9266056,0.1369043,2.12799,3.821134,2.1903713,9.786901,0.09,ext/IsingLearning/experiments/MNIST/784-120-40-baseline-nudgeless/experiments/current/bruteforce_ns500_T5e-2_lr1e-3_notempscale_32w_20ep\best_checkpoint.bin,
