sample,label,mode,post_sweeps,noise_factor,noise_scale,draw,seconds,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base_relax,0.0,0.0,0.0,0,4.272064,-7.123235,0.0,1,false,-2.437591,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,1,0.981239,-7.1417413,-0.01850605,1,false,-2.4293284,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,2,0.0008,-7.1349587,-0.011723518,1,false,-2.4863915,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,3,0.00072,-7.118123,0.005112171,1,false,-2.4686987,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,4,0.000716,-7.151624,-0.028388977,1,false,-2.4386754,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,5,0.000737,-7.15162,-0.028384686,1,false,-2.457221,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,6,0.000839,-7.151204,-0.027968884,1,false,-2.4447045,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,7,0.00071,-7.143656,-0.020420551,1,false,-2.4431028,0.00625,0.00625,ea90c1b3473221eb
1,0,base,25.0,0.5,0.01581139,8,0.000728,-7.1461043,-0.02286911,1,false,-2.4324093,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,0.5,0.01581139,9,0.000707,-7.1545086,-0.031273365,1,false,-2.449998,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,10,0.000701,-7.1338696,-0.010634422,1,false,-2.4203498,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,0.5,0.01581139,11,0.000742,-7.1693087,-0.046073437,1,false,-2.4075758,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,12,0.000788,-7.1047792,0.018455982,1,false,-2.3875718,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,13,0.00074,-7.1535316,-0.030296326,1,false,-2.4283733,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,14,0.000858,-7.172469,-0.049233913,1,false,-2.39615,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,15,0.000908,-7.1372237,-0.013988495,1,false,-2.4449096,0.00625,0.00625,ea90c1b3473221eb
1,0,base,25.0,0.5,0.01581139,16,0.000711,-7.1468596,-0.02362442,1,false,-2.456674,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,17,0.000743,-7.1356254,-0.012390137,1,false,-2.4350371,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,18,0.000709,-7.1472692,-0.024034023,1,false,-2.4673882,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,19,0.000751,-7.1263328,-0.0030975342,1,false,-2.4051273,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,0.5,0.01581139,20,0.000892,-7.1322546,-0.009019375,1,false,-2.4374864,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,1,0.000773,-7.103235,0.020000458,1,false,-2.4314573,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,2,0.000719,-7.1201673,0.0030679703,1,false,-2.3750823,0.00625,0.00625,58313b0ab259935b
1,0,base,25.0,1.0,0.03162278,3,0.00072,-7.1149564,0.008278847,1,false,-2.3803194,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,4,0.000721,-7.1375504,-0.014315128,1,false,-2.4720805,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,5,0.000717,-7.106206,0.017029285,1,false,-2.3698192,0.0125,0.0125,f5133fcb41644abe
1,0,base,25.0,1.0,0.03162278,6,0.000716,-7.1539254,-0.030690193,1,false,-2.4751525,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,1.0,0.03162278,7,0.000715,-7.1111145,0.012120724,1,false,-2.4345448,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,8,0.000756,-7.1547785,-0.031543255,1,false,-2.4211493,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,1.0,0.03162278,9,0.000958,-7.105466,0.017769337,1,false,-2.4069169,0.00625,0.00625,ea90c1b3473221eb
1,0,base,25.0,1.0,0.03162278,10,0.001034,-7.144479,-0.021243572,1,false,-2.4033706,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,11,0.000937,-7.131866,-0.008630753,1,false,-2.4166784,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,1.0,0.03162278,12,0.000919,-7.1452417,-0.022006512,1,false,-2.4555326,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,13,0.000937,-7.1134467,0.009788513,1,false,-2.397395,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,14,0.000932,-7.1697206,-0.046485424,1,false,-2.3975024,0.00625,0.00625,b66b0cfc73a0a9c9
1,0,base,25.0,1.0,0.03162278,15,0.000913,-7.1486716,-0.025436401,1,false,-2.3718987,0.0125,0.0125,f5133fcb41644abe
1,0,base,25.0,1.0,0.03162278,16,0.000914,-7.1245594,-0.0013241768,1,false,-2.476771,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,17,0.000921,-7.130161,-0.006925583,1,false,-2.4721603,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,18,0.000706,-7.147297,-0.02406168,1,false,-2.3995922,0.00625,0.00625,ea90c1b3473221eb
1,0,base,25.0,1.0,0.03162278,19,0.00071,-7.1154175,0.007817745,1,false,-2.4464488,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,1.0,0.03162278,20,0.000709,-7.1161222,0.00711298,1,false,-2.4218981,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,1,0.000745,-7.137887,-0.014651775,1,false,-2.4425614,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,2,0.000728,-7.1673317,-0.04409647,1,false,-2.438878,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,3,0.000706,-7.1560025,-0.032767296,1,false,-2.409078,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,4,0.000711,-7.1299815,-0.006746292,1,false,-2.4132428,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,5,0.000712,-7.1694508,-0.046215534,1,false,-2.481779,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,6,0.000711,-7.129162,-0.005926609,1,false,-2.3993652,0.00625,0.00625,ea90c1b3473221eb
1,0,base,25.0,2.0,0.06324556,7,0.000705,-7.108822,0.014413357,1,false,-2.4438577,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,8,0.000831,-7.1458716,-0.022636414,1,false,-2.4497886,0.00625,0.00625,15a0c10345f5f6e9
1,0,base,25.0,2.0,0.06324556,9,0.000706,-7.109684,0.013551235,1,false,-2.4624226,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,10,0.000726,-7.103092,0.020143032,1,false,-2.4251573,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,11,0.000722,-7.1058683,0.017366886,1,false,-2.3887353,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,12,0.000706,-7.1455383,-0.022303104,1,false,-2.5128393,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,13,0.000718,-7.13488,-0.01164484,1,false,-2.456131,0.0,0.0,96d96dd9801d3450
1,0,base,25.0,2.0,0.06324556,14,0.000704,-7.1258264,-0.0025911331,1,false,-2.4274158,0.0,0.0,96d96dd9801d3450
