mode,post_sweeps,noise_factor,noise_scale,draws,accuracy,mean_reward,mean_seconds,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,25.0,0.5,0.01581139,200,0.04,-2.4405287861824037,0.0056490800000000094,-0.04873638153076172,0.009468750000000012,0.009468750000000012,86,0.43
base,25.0,1.0,0.03162278,200,0.045,-2.4376937741041185,0.0007375949999999997,-0.04976391315460205,0.009781250000000003,0.009781250000000003,85,0.425
base,25.0,2.0,0.06324556,200,0.045,-2.4423973751068115,0.0007338650000000001,-0.04720765590667725,0.011062500000000008,0.011062500000000008,89,0.445
base,25.0,4.0,0.12649111,200,0.05,-2.4379427188634875,0.0007413200000000002,-0.04225010633468628,0.011750000000000009,0.011750000000000009,118,0.59
base,50.0,0.5,0.01581139,200,0.055,-2.451585057973862,0.006108110000000005,-0.08939707756042481,0.015406250000000012,0.015406250000000012,106,0.53
base,50.0,1.0,0.03162278,200,0.03,-2.4437943190336227,0.0014640600000000005,-0.0908541989326477,0.01540625000000001,0.01540625000000001,100,0.5
base,50.0,2.0,0.06324556,200,0.035,-2.451929765343666,0.0014531649999999993,-0.0877733588218689,0.015781250000000007,0.015781250000000007,119,0.595
base,50.0,4.0,0.12649111,200,0.04,-2.4456277072429655,0.0014571650000000005,-0.08850290536880494,0.01600000000000002,0.01600000000000002,119,0.595
base,100.0,0.5,0.01581139,200,0.02,-2.4409741973876953,0.007651870000000002,-0.14723706007003784,0.024968750000000015,0.024968750000000015,131,0.655
base,100.0,1.0,0.03162278,200,0.055,-2.4378320914506912,0.0028832999999999992,-0.1466750121116638,0.025343749999999998,0.025343749999999998,139,0.695
base,100.0,2.0,0.06324556,200,0.05,-2.4418995267152788,0.002886815000000001,-0.1442602753639221,0.025687500000000023,0.025687500000000023,146,0.73
base,100.0,4.0,0.12649111,200,0.035,-2.436675210595131,0.0029132699999999978,-0.14453814268112183,0.026656250000000003,0.026656250000000003,147,0.735
chain,25.0,0.5,0.01581139,200,0.025,-2.4889642399549485,0.0007351449999999997,-0.26749716997146605,0.054999999999999966,0.005624999999999999,87,0.435
chain,25.0,1.0,0.03162278,200,0.0,-2.643194645047188,0.0007433799999999996,-0.3699159574508667,0.08096875000000002,0.005374999999999996,52,0.26
chain,25.0,2.0,0.06324556,200,0.0,-2.650097850561142,0.0007326850000000002,-0.4123726749420166,0.09212500000000012,0.006125,38,0.19
chain,25.0,4.0,0.12649111,200,0.0,-2.6526682698726654,0.0007334149999999997,-0.4297748041152954,0.10396874999999998,0.007031250000000001,52,0.26
chain,50.0,0.5,0.01581139,200,0.0,-2.6394556486606597,0.0014612549999999998,-0.4682946705818176,0.11537500000000006,0.00715625,40,0.2
chain,50.0,1.0,0.03162278,200,0.0,-2.6708929777145385,0.0014718350000000003,-0.4776799750328064,0.11665625000000004,0.007593750000000002,38,0.19
chain,50.0,2.0,0.06324556,200,0.0,-2.6717873895168305,0.0014745049999999999,-0.48033040046691894,0.11768750000000029,0.007093750000000001,23,0.115
chain,50.0,4.0,0.12649111,200,0.0,-2.673066797852516,0.0014550200000000002,-0.47806247234344484,0.12218750000000014,0.0074687500000000006,34,0.17
chain,100.0,0.5,0.01581139,200,0.0,-2.6742966628074645,0.0028821550000000017,-0.49837334632873537,0.12578124999999998,0.008093750000000004,43,0.215
chain,100.0,1.0,0.03162278,200,0.0,-2.630026933550835,0.002922195,-0.5145648717880249,0.1304062500000001,0.008531250000000008,35,0.175
chain,100.0,2.0,0.06324556,200,0.0,-2.6334478133916854,0.0029118400000000006,-0.5205598521232605,0.13374999999999995,0.008062500000000002,33,0.165
chain,100.0,4.0,0.12649111,200,0.0,-2.5850674498081205,0.0029143249999999993,-0.5230821704864502,0.13696874999999997,0.008750000000000004,35,0.175
