sample,label,mode,post_sweeps,noise_factor,noise_scale,draw,seconds,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base_relax,0.0,0.0,0.0,0,4.122342,-1.2098905,0.0,4,false,-2.231834,0.0,0.0,7b8f6e61789fe8ec
1,0,base,2.0,1.0,0.03162278,1,1.005589,-1.5785338,-0.36864328,4,false,-2.2112923,0.0375,0.0375,5ed781581e76e1a2
1,0,base,2.0,1.0,0.03162278,2,6.3e-5,-1.6027385,-0.392848,4,false,-2.244385,0.025,0.025,0ad383d98aee0e78
1,0,chain,2.0,1.0,0.03162278,1,8.1e-5,-1.9841828,-0.77429235,4,false,-2.167964,0.0375,0.0375,d5d10d8494aefef4
1,0,chain,2.0,1.0,0.03162278,2,6.1e-5,-2.2828367,-1.0729462,4,false,-2.1237822,0.08125,0.04375,afdb7528a290b64f
2,1,base_relax,0.0,0.0,0.0,0,0.00019,-0.40602565,0.0,6,false,-2.2831774,0.0,0.0,5ddf58e671998918
2,1,base,2.0,1.0,0.03162278,1,8.1e-5,-0.60067344,-0.19464779,6,false,-2.3088224,0.04375,0.04375,a06907e7cc153035
2,1,base,2.0,1.0,0.03162278,2,5.7e-5,-0.6512656,-0.24523997,6,false,-2.3099139,0.01875,0.01875,fe839d4da8ef7863
2,1,chain,2.0,1.0,0.03162278,1,6.1e-5,-0.8595518,-0.45352614,6,false,-2.3245606,0.05,0.05,2b29fab49e064b6e
2,1,chain,2.0,1.0,0.03162278,2,7.5e-5,-1.0211165,-0.61509085,6,false,-2.3513246,0.06875,0.01875,1d34fc38a0ea3b7b
3,2,base_relax,0.0,0.0,0.0,0,0.000152,-0.066181794,0.0,2,true,-1.7605985,0.0,0.0,b3417a2030f6b01d
3,2,base,2.0,1.0,0.03162278,1,7.7e-5,-0.3143095,-0.24812771,2,true,-1.7779915,0.0375,0.0375,30bf769add4de7d5
3,2,base,2.0,1.0,0.03162278,2,5.6e-5,-0.3209894,-0.2548076,2,true,-1.7319999,0.025,0.025,82e42a327083e933
3,2,chain,2.0,1.0,0.03162278,1,7.4e-5,-0.4870628,-0.42088103,2,true,-1.7528868,0.04375,0.04375,295e597de9a1fc32
3,2,chain,2.0,1.0,0.03162278,2,5.8e-5,-0.6887779,-0.62259614,2,true,-1.7352513,0.075,0.04375,b343522995f89ab9
4,3,base_relax,0.0,0.0,0.0,0,0.000192,-0.6923462,0.0,1,false,-2.5447125,0.0,0.0,b259d6a711b233ec
4,3,base,2.0,1.0,0.03162278,1,7.4e-5,-0.9879347,-0.2955885,1,false,-2.57043,0.0375,0.0375,19fe96d2bcb645c4
4,3,base,2.0,1.0,0.03162278,2,7.0e-5,-0.95706356,-0.26471734,1,false,-2.53556,0.025,0.025,6688d59dd03b6408
4,3,chain,2.0,1.0,0.03162278,1,8.8e-5,-1.230249,-0.53790283,6,false,-2.5576618,0.0625,0.0625,09421955a7feb01c
4,3,chain,2.0,1.0,0.03162278,2,7.1e-5,-1.4869632,-0.79461694,6,false,-2.5831301,0.08125,0.01875,ce112b56b86d5fd7
5,4,base_relax,0.0,0.0,0.0,0,0.000142,-0.7747771,0.0,9,false,-2.0921245,0.0,0.0,35766b713e204996
5,4,base,2.0,1.0,0.03162278,1,7.4e-5,-1.1259111,-0.351134,9,false,-2.1054718,0.05,0.05,a552b183a6fe1c0c
5,4,base,2.0,1.0,0.03162278,2,5.8e-5,-1.1798145,-0.40503734,9,false,-2.1289718,0.04375,0.04375,3f4be4ccdccd11bf
5,4,chain,2.0,1.0,0.03162278,1,8.8e-5,-1.5848963,-0.8101192,9,false,-2.0904248,0.05,0.05,da6cad13b6b62e94
5,4,chain,2.0,1.0,0.03162278,2,6.2e-5,-1.8808714,-1.1060944,9,false,-2.086886,0.08125,0.03125,d429fc91b7bfd4e5
6,5,base_relax,0.0,0.0,0.0,0,0.000179,-1.0458087,0.0,0,false,-2.441893,0.0,0.0,ce93872cc37083bc
6,5,base,2.0,1.0,0.03162278,1,6.6e-5,-1.5093547,-0.46354604,0,false,-2.4354525,0.04375,0.04375,2c938bf3ca9be54f
6,5,base,2.0,1.0,0.03162278,2,7.1e-5,-1.4777184,-0.43190968,0,false,-2.468388,0.0375,0.0375,461865de2bd648e0
6,5,chain,2.0,1.0,0.03162278,1,6.3e-5,-1.8975893,-0.85178065,0,false,-2.482396,0.0625,0.0625,7f928c68fe24c7f0
6,5,chain,2.0,1.0,0.03162278,2,5.8e-5,-2.3030515,-1.2572428,0,false,-2.4660165,0.1,0.0375,4fd4bcc3eba2b310
7,6,base_relax,0.0,0.0,0.0,0,0.000183,-0.7288179,0.0,9,false,-2.421119,0.0,0.0,60a4b0576c669f7c
7,6,base,2.0,1.0,0.03162278,1,7.5e-5,-1.0630052,-0.33418733,9,false,-2.3961928,0.01875,0.01875,0692818715059c83
7,6,base,2.0,1.0,0.03162278,2,5.8e-5,-1.0827441,-0.35392624,9,false,-2.3813705,0.025,0.025,2f9707f9f21286e0
7,6,chain,2.0,1.0,0.03162278,1,7.4e-5,-1.4113197,-0.68250185,9,false,-2.3440006,0.05625,0.05625,0684ef73758b54e1
7,6,chain,2.0,1.0,0.03162278,2,5.7e-5,-1.6984435,-0.96962565,9,false,-2.3330877,0.075,0.04375,26ecd16262c35f06
8,7,base_relax,0.0,0.0,0.0,0,0.000144,-1.0318348,0.0,2,false,-2.2196076,0.0,0.0,1858adf1df5d8b00
8,7,base,2.0,1.0,0.03162278,1,7.3e-5,-1.4506211,-0.4187863,9,false,-2.237458,0.05,0.05,d868fb03166f220a
8,7,base,2.0,1.0,0.03162278,2,7.1e-5,-1.4120876,-0.38025272,9,false,-2.24605,0.04375,0.04375,669f582a1c9e052b
8,7,chain,2.0,1.0,0.03162278,1,7.4e-5,-1.8188546,-0.7870197,9,false,-2.2454097,0.06875,0.06875,bcc362f393ca3073
8,7,chain,2.0,1.0,0.03162278,2,7.2e-5,-2.1233807,-1.0915458,9,false,-2.222671,0.1,0.03125,5af450db277ca4d2
9,8,base_relax,0.0,0.0,0.0,0,0.000156,-1.0250453,0.0,3,false,-2.726122,0.0,0.0,86d172c1b90d2737
9,8,base,2.0,1.0,0.03162278,1,6.6e-5,-1.5020727,-0.47702742,3,false,-2.7375908,0.025,0.025,972085b460d24d55
9,8,base,2.0,1.0,0.03162278,2,5.8e-5,-1.5180587,-0.49301338,3,false,-2.6965723,0.0375,0.0375,08b911159a8959e7
9,8,chain,2.0,1.0,0.03162278,1,7.5e-5,-1.976876,-0.95183074,3,false,-2.6653214,0.0625,0.0625,38914203d2726bdb
9,8,chain,2.0,1.0,0.03162278,2,6.2e-5,-2.3998601,-1.3748149,6,false,-2.6461294,0.1,0.0375,070054cedbca8db3
10,9,base_relax,0.0,0.0,0.0,0,0.000186,-0.43260884,0.0,2,false,-2.6797652,0.0,0.0,c87598290a2dd08e
10,9,base,2.0,1.0,0.03162278,1,8.1e-5,-0.6582338,-0.22562498,2,false,-2.6829522,0.03125,0.03125,b9bb1ea2375995db
