sample,label,mode,post_max_sweeps,noise_factor,noise_scale,draw,seconds,checks,sweeps,equilibrated,mean_abs_delta,threshold,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base_relax_until,200.0,0.0,0.0,0,4.796942,97,97.0,true,0.009150863,0.011080421,-6.6324744,0.0,7,false,-2.1675262,0.0,0.0,00adedc15c8c51ef
1,0,base,25.0,0.5,0.01581139,1,1.202916,25,25.0,false,0.012006819,0.0005465955,-6.7642174,-0.13174295,7,false,-2.1530664,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,2,0.00098,25,25.0,false,0.020011306,0.0012636513,-6.785804,-0.15332937,7,false,-2.1611962,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,0.5,0.01581139,3,0.001014,25,25.0,false,0.01451987,0.0007505417,-6.776884,-0.14440966,7,false,-2.2265353,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,0.5,0.01581139,4,0.000969,25,25.0,false,0.013161838,0.0010863453,-6.736428,-0.10395336,7,false,-2.1684983,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,0.5,0.01581139,5,0.000989,25,25.0,false,0.019912481,0.0020513625,-6.7802973,-0.14782286,7,false,-2.158357,0.01875,0.01875,a39468a67cf5cf5a
1,0,base,25.0,0.5,0.01581139,6,0.001011,25,25.0,false,0.014226615,0.0008578032,-6.801592,-0.16911745,7,false,-2.211071,0.0125,0.0125,8c30cd06fa93bc03
1,0,base,25.0,0.5,0.01581139,7,0.000983,25,25.0,false,0.021036208,0.0011623114,-6.775886,-0.14341164,7,false,-2.1118853,0.01875,0.01875,fea90d4a9b29f60c
1,0,base,25.0,0.5,0.01581139,8,0.000963,25,25.0,false,0.018007398,0.00062716904,-6.738884,-0.10640955,7,false,-2.0858483,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,9,0.000967,25,25.0,false,0.022136629,0.0009860963,-6.778771,-0.1462965,7,false,-2.1613536,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,0.5,0.01581139,10,0.001049,25,25.0,false,0.01643157,0.0011252224,-6.755614,-0.12313938,7,false,-2.10991,0.0125,0.0125,647881e0bbb27a31
1,0,base,25.0,0.5,0.01581139,11,0.00099,25,25.0,false,0.025942147,0.0010405183,-6.761633,-0.1291585,7,false,-2.1710258,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,12,0.000959,25,25.0,false,0.023214996,0.0011123121,-6.782753,-0.15027857,7,false,-2.1430736,0.01875,0.01875,fea90d4a9b29f60c
1,0,base,25.0,0.5,0.01581139,13,0.000974,25,25.0,false,0.014946759,0.0013212055,-6.800406,-0.16793156,7,false,-2.0944786,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,14,0.000955,25,25.0,false,0.016722739,0.0013830186,-6.7677026,-0.13522816,7,false,-2.1397061,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,15,0.000955,25,25.0,false,0.017625153,0.00064654055,-6.801238,-0.16876364,7,false,-2.1720262,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,16,0.000977,25,25.0,false,0.012007773,0.00083753467,-6.7318206,-0.09934616,7,false,-2.1846852,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,0.5,0.01581139,17,0.000978,25,25.0,false,0.020091355,0.00080141425,-6.794829,-0.16235447,7,false,-2.2182448,0.00625,0.00625,66ace6925182202a
1,0,base,25.0,0.5,0.01581139,18,0.000963,25,25.0,false,0.01573503,0.0010790855,-6.761001,-0.12852669,7,false,-2.1377788,0.0125,0.0125,a04765af496962c9
1,0,base,25.0,0.5,0.01581139,19,0.000975,25,25.0,false,0.03136629,0.0015420973,-6.760832,-0.12835741,7,false,-2.1742442,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,0.5,0.01581139,20,0.001185,25,25.0,false,0.022382736,0.0013810516,-6.7836885,-0.15121412,7,false,-2.1318314,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,1,0.001148,25,25.0,false,0.016455948,0.0011297495,-6.790172,-0.15769768,7,false,-2.126491,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,2,0.000967,25,25.0,false,0.010625839,0.0013526172,-6.812844,-0.18036938,7,false,-2.1708298,0.01875,0.01875,fea90d4a9b29f60c
1,0,base,25.0,1.0,0.03162278,3,0.000971,25,25.0,false,0.025688946,0.0009347528,-6.7944965,-0.16202211,7,false,-2.2089424,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,4,0.000979,25,25.0,false,0.01586485,0.0013631315,-6.814381,-0.1819067,7,false,-2.142469,0.0125,0.0125,65b5c6202d3afa27
1,0,base,25.0,1.0,0.03162278,5,0.000968,25,25.0,false,0.010216534,0.00078575016,-6.801145,-0.16867065,7,false,-2.2296803,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,6,0.000961,25,25.0,false,0.015720963,0.00097265246,-6.7635393,-0.13106489,7,false,-2.1622024,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,7,0.000973,25,25.0,false,0.008713961,0.00075314345,-6.7747827,-0.14230824,7,false,-2.1509087,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,8,0.000963,25,25.0,false,0.019041479,0.0014504939,-6.719668,-0.08719349,7,false,-2.1896815,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,1.0,0.03162278,9,0.000955,25,25.0,false,0.019282818,0.0012701929,-6.769215,-0.13674068,7,false,-2.25694,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,10,0.000977,25,25.0,false,0.013471186,0.0011547179,-6.753902,-0.121427536,7,false,-2.174189,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,11,0.00097,25,25.0,false,0.013870597,0.0006716639,-6.7696424,-0.13716793,7,false,-2.0815442,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,12,0.000954,25,25.0,false,0.01227361,0.0007715911,-6.769548,-0.13707352,7,false,-2.138307,0.0125,0.0125,720cc1beeb41c493
1,0,base,25.0,1.0,0.03162278,13,0.000957,25,25.0,false,0.014281929,0.0012741148,-6.7859387,-0.15346432,7,false,-2.2076845,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,1.0,0.03162278,14,0.000967,25,25.0,false,0.03282845,0.0010497778,-6.839435,-0.20696068,7,false,-2.1427748,0.0125,0.0125,a04765af496962c9
1,0,base,25.0,1.0,0.03162278,15,0.000971,25,25.0,false,0.018026173,0.0008585602,-6.784855,-0.15238047,7,false,-2.1662564,0.0125,0.0125,8c30cd06fa93bc03
1,0,base,25.0,1.0,0.03162278,16,0.00096,25,25.0,false,0.02160865,0.0011510671,-6.7532415,-0.12076712,7,false,-2.2208571,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,17,0.000958,25,25.0,false,0.0073735714,0.0008074403,-6.806924,-0.17444944,7,false,-2.161375,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,1.0,0.03162278,18,0.00097,25,25.0,false,0.013619721,0.00085379183,-6.7982545,-0.16578007,7,false,-2.113761,0.0125,0.0125,68b1c70912e47c0d
1,0,base,25.0,1.0,0.03162278,19,0.000964,25,25.0,false,0.013239741,0.001046139,-6.7598205,-0.12734604,7,false,-2.0844734,0.01875,0.01875,a39468a67cf5cf5a
1,0,base,25.0,1.0,0.03162278,20,0.000955,25,25.0,false,0.014512062,0.0007793009,-6.771481,-0.13900661,7,false,-2.1449842,0.0125,0.0125,a04765af496962c9
1,0,base,25.0,2.0,0.06324556,1,0.001214,25,25.0,false,0.020294547,0.0012956619,-6.71511,-0.0826354,7,false,-2.228338,0.0125,0.0125,f434a64eb0ebe621
1,0,base,25.0,2.0,0.06324556,2,0.000967,25,25.0,false,0.013989568,0.0014555365,-6.7853117,-0.15283728,7,false,-2.1309335,0.00625,0.00625,c7136ea464a50f50
1,0,base,25.0,2.0,0.06324556,3,0.000982,25,25.0,false,0.016680717,0.0011566281,-6.765994,-0.13351965,7,false,-2.151702,0.0125,0.0125,68b1c70912e47c0d
