sample,label,mode,post_max_sweeps,noise_factor,noise_scale,draw,seconds,checks,sweeps,equilibrated,mean_abs_delta,threshold,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base_relax_until,5.0,0.0,0.0,0,4.88566,5,5.0,false,0.22642535,0.011751079,-0.9755717,0.0,7,false,-1.9871542,0.0,0.0,3af7a4ed22c2aca2
1,0,base,2.0,1.0,0.03162278,1,9.4e-5,2,2.0,false,0.21172416,0.010586209,-1.3862555,-0.4106838,7,false,-1.9795778,0.01875,0.01875,cda4687d73b6d443
1,0,base,2.0,1.0,0.03162278,2,9.7e-5,2,2.0,false,0.22375882,0.011187941,-1.4226534,-0.44708174,7,false,-1.9978838,0.025,0.025,803ba72fceb37fce
1,0,chain,2.0,1.0,0.03162278,1,9.5e-5,2,2.0,false,0.14131403,0.0070657018,-1.7808048,-0.80523306,7,false,-1.989579,0.0625,0.0625,03bf7f6cc2085372
1,0,chain,2.0,1.0,0.03162278,2,8.4e-5,2,2.0,false,0.15525877,0.0077629387,-2.1351736,-1.1596019,7,false,-1.9432356,0.06875,0.00625,e66077ee53eb533f
2,1,base_relax_until,5.0,0.0,0.0,0,0.000264,5,5.0,false,0.10921578,0.005561468,-0.6892293,0.0,3,false,-2.4236407,0.0,0.0,c76e93e2886490da
2,1,base,2.0,1.0,0.03162278,1,0.000105,2,2.0,false,0.12543893,0.0062719467,-0.93427444,-0.24504513,3,false,-2.4537573,0.025,0.025,44b94f018bba8e9a
2,1,base,2.0,1.0,0.03162278,2,8.4e-5,2,2.0,false,0.14306843,0.0071534216,-0.94042784,-0.25119853,3,false,-2.4522848,0.03125,0.03125,c65d4701556b73b5
2,1,chain,2.0,1.0,0.03162278,1,0.000106,2,2.0,false,0.101230145,0.005061507,-1.1178385,-0.4286092,3,false,-2.4691951,0.025,0.025,2796bb95bdf304bc
2,1,chain,2.0,1.0,0.03162278,2,8.6e-5,2,2.0,false,0.08191693,0.0040958463,-1.2654597,-0.57623035,3,false,-2.4827247,0.0625,0.0375,807efc062928204e
3,2,base_relax_until,5.0,0.0,0.0,0,0.000263,5,5.0,false,0.11482307,0.0070359902,-1.0889468,0.0,6,false,-2.456469,0.0,0.0,f911333c5177bca6
3,2,base,2.0,1.0,0.03162278,1,8.6e-5,2,2.0,false,0.10385299,0.0051926496,-1.2882237,-0.19927692,0,false,-2.4742217,0.025,0.025,126715d5a5750a0c
3,2,base,2.0,1.0,0.03162278,2,8.5e-5,2,2.0,false,0.09999168,0.004999584,-1.3298955,-0.24094868,6,false,-2.4904175,0.025,0.025,2cf871ae4b71dc12
3,2,chain,2.0,1.0,0.03162278,1,8.8e-5,2,2.0,false,0.083930016,0.004196501,-1.5263561,-0.43740928,6,false,-2.4517126,0.0375,0.0375,9655ae6bada287e8
3,2,chain,2.0,1.0,0.03162278,2,8.8e-5,2,2.0,false,0.1182009,0.005910045,-1.7616038,-0.672657,6,false,-2.4317646,0.05625,0.03125,b1d1517c6086ad41
4,3,base_relax_until,5.0,0.0,0.0,0,0.000196,5,5.0,false,0.13656053,0.008559117,-0.46994278,0.0,3,true,-2.0872595,0.0,0.0,0080a6478ba82163
4,3,base,2.0,1.0,0.03162278,1,8.3e-5,2,2.0,false,0.158229,0.00791145,-0.79627997,-0.3263372,3,true,-2.0701976,0.01875,0.01875,aa16ba897c08978a
4,3,base,2.0,1.0,0.03162278,2,8.2e-5,2,2.0,false,0.1458574,0.00729287,-0.7768652,-0.3069224,3,true,-2.057056,0.025,0.025,98208dca8b06d655
4,3,chain,2.0,1.0,0.03162278,1,8.2e-5,2,2.0,false,0.17636293,0.008818147,-1.0862055,-0.6162627,3,true,-2.0507505,0.0375,0.0375,17d322e22b2dc855
4,3,chain,2.0,1.0,0.03162278,2,8.1e-5,2,2.0,false,0.13660514,0.0068302574,-1.3834021,-0.9134593,6,false,-2.0924716,0.05,0.0125,a632b9b14c57a237
5,4,base_relax_until,5.0,0.0,0.0,0,0.000194,5,5.0,false,0.1907205,0.00906007,-1.0499278,0.0,2,false,-2.329947,0.0,0.0,27b5ea54b9849a1d
5,4,base,2.0,1.0,0.03162278,1,8.9e-5,2,2.0,false,0.19631004,0.009815502,-1.4587433,-0.4088155,2,false,-2.3448808,0.04375,0.04375,c32ae327f6393f2c
5,4,base,2.0,1.0,0.03162278,2,8.5e-5,2,2.0,false,0.17327857,0.008663929,-1.452098,-0.40217018,2,false,-2.3064783,0.03125,0.03125,b0914414eb68199a
5,4,chain,2.0,1.0,0.03162278,1,0.000104,2,2.0,false,0.18815386,0.0094076935,-1.8296511,-0.7797233,2,false,-2.2687092,0.075,0.075,8a1bef93ec99ff71
5,4,chain,2.0,1.0,0.03162278,2,0.000103,2,2.0,false,0.1989727,0.0099486355,-2.2355537,-1.1856259,2,false,-2.238798,0.0875,0.025,482f14c2d01a07a9
6,5,base_relax_until,5.0,0.0,0.0,0,0.000197,5,5.0,false,0.23197794,0.0126193985,-1.6634654,0.0,2,false,-2.5855405,0.0,0.0,33ead3ef4c95d263
6,5,base,2.0,1.0,0.03162278,1,0.000109,2,2.0,false,0.20919943,0.010459972,-2.0998409,-0.4363755,2,false,-2.621982,0.00625,0.00625,c51de470c5798932
6,5,base,2.0,1.0,0.03162278,2,9.8e-5,2,2.0,false,0.23986769,0.011993385,-2.121498,-0.45803273,7,false,-2.6327517,0.0125,0.0125,98a0f9cf3294a945
6,5,chain,2.0,1.0,0.03162278,1,0.000106,2,2.0,false,0.15356493,0.0076782466,-2.4415946,-0.7781292,7,false,-2.6491652,0.025,0.025,7a8f97d4f4f9b797
6,5,chain,2.0,1.0,0.03162278,2,0.000102,2,2.0,false,0.19391155,0.009695577,-2.8325703,-1.1691049,7,false,-2.6456811,0.05,0.025,be770d013ef68a15
7,6,base_relax_until,5.0,0.0,0.0,0,0.000204,5,5.0,false,0.15019637,0.008768853,-0.75281274,0.0,8,false,-2.4066038,0.0,0.0,69894e6d6af1f223
7,6,base,2.0,1.0,0.03162278,1,8.3e-5,2,2.0,false,0.15708417,0.007854208,-1.120942,-0.36812925,8,false,-2.424201,0.01875,0.01875,4f3732591f2cfa18
7,6,base,2.0,1.0,0.03162278,2,8.3e-5,2,2.0,false,0.1517067,0.007585335,-1.0990295,-0.3462168,8,false,-2.4366913,0.03125,0.03125,6a156f165ccc9c20
7,6,chain,2.0,1.0,0.03162278,1,0.00011,2,2.0,false,0.14122188,0.007061094,-1.3864319,-0.6336192,8,false,-2.4341218,0.03125,0.03125,f4d9f363d3da0894
7,6,chain,2.0,1.0,0.03162278,2,8.2e-5,2,2.0,false,0.17942083,0.008971042,-1.7263069,-0.9734942,8,false,-2.4608464,0.0625,0.04375,b48a7455e6b433c9
8,7,base_relax_until,5.0,0.0,0.0,0,0.000238,5,5.0,false,0.16592947,0.008087516,-0.9039236,0.0,3,false,-2.144001,0.0,0.0,ded83919ad2f3270
8,7,base,2.0,1.0,0.03162278,1,9.3e-5,2,2.0,false,0.15006685,0.007503343,-1.2286688,-0.32474524,5,false,-2.1362267,0.025,0.025,1098cf5dfcac7f38
8,7,base,2.0,1.0,0.03162278,2,8.3e-5,2,2.0,false,0.14265728,0.007132864,-1.2184539,-0.3145303,5,false,-2.1325057,0.025,0.025,22ba27ed9b501932
8,7,chain,2.0,1.0,0.03162278,1,0.000123,2,2.0,false,0.109136105,0.005456805,-1.4621934,-0.5582698,5,false,-2.1604009,0.05625,0.05625,df66eceb1b7c1f81
8,7,chain,2.0,1.0,0.03162278,2,0.000152,2,2.0,false,0.10022497,0.005011249,-1.6707358,-0.76681226,5,false,-2.17434,0.0625,0.01875,948375a05f4797c6
9,8,base_relax_until,5.0,0.0,0.0,0,0.00021,5,5.0,false,0.2861178,0.0141071,-1.6024371,0.0,5,false,-2.003562,0.0,0.0,fa59f1e81c8f384a
9,8,base,2.0,1.0,0.03162278,1,0.000119,2,2.0,false,0.24669516,0.012334758,-2.1408129,-0.53837574,5,false,-1.9932151,0.04375,0.04375,4464bf2d30013e3b
9,8,base,2.0,1.0,0.03162278,2,8.6e-5,2,2.0,false,0.2103728,0.01051864,-2.0385845,-0.43614733,5,false,-2.0158947,0.03125,0.03125,0dc2e833c62d78c9
9,8,chain,2.0,1.0,0.03162278,1,0.000105,2,2.0,false,0.19884133,0.009942067,-2.4420748,-0.83963764,5,false,-2.0015898,0.05,0.05,054a6fb834184472
9,8,chain,2.0,1.0,0.03162278,2,0.000103,2,2.0,false,0.20715904,0.010357953,-2.8360405,-1.2336034,5,false,-2.0612407,0.05625,0.00625,33ed4f9842fd393f
10,9,base_relax_until,5.0,0.0,0.0,0,0.000226,5,5.0,false,0.13019355,0.0060752193,-0.6824265,0.0,7,false,-2.0633154,0.0,0.0,6dc0a9675aea0313
10,9,base,2.0,1.0,0.03162278,1,8.2e-5,2,2.0,false,0.1259284,0.00629642,-0.982237,-0.29981047,7,false,-2.0590258,0.01875,0.01875,fb5cd6d354d8b922
10,9,base,2.0,1.0,0.03162278,2,8.2e-5,2,2.0,false,0.1274001,0.006370005,-0.92128795,-0.23886144,7,false,-2.0720136,0.01875,0.01875,a9574c19b669c182
10,9,chain,2.0,1.0,0.03162278,1,8.2e-5,2,2.0,false,0.09776068,0.004888034,-1.1327443,-0.4503178,7,false,-2.06807,0.0375,0.0375,9ea0755caeb36ebb
10,9,chain,2.0,1.0,0.03162278,2,8.5e-5,2,2.0,false,0.13307881,0.006653941,-1.4236517,-0.7412252,7,false,-2.092558,0.0625,0.025,5c24abffb4e4a8ad
