timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,attractor_samples,reward_mean,reward_std,best_accuracy,best_path,final_path
2026-06-09T00:14:58,0,0.0,missing,missing,0.099,53.669518,103-96-120-108-93-114-86-99-91-90,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0,0.0,0.0,0.099,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:08,1,9.8640482,missing,missing,0.148,53.397713,168-236-248-72-34-55-70-25-42-50,1.1137652,0.122324415,3.4467204,2.0830402,0.77672255,9.329415,2080,-2.428492,0.66419315,0.148,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:11,2,2.7922203,missing,missing,0.17,69.33346,13-213-137-218-4-10-224-8-7-166,1.8086976,0.12919207,5.6738076,1.0075047,1.4137863,8.673787,2080,-2.1825807,0.556297,0.17,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:14,3,2.8419469,missing,missing,0.181,70.5068,11-246-206-192-1-1-167-5-4-167,2.2903342,0.23303328,7.719792,1.0724366,0.42450362,5.6785502,2080,-2.1538513,0.60391843,0.181,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:17,4,2.8747724,missing,missing,0.173,72.25352,3-227-193-194-0-2-190-3-1-187,2.6072173,0.3092539,9.75935,1.3890386,0.82477546,7.3371844,2080,-2.17839,0.62076545,0.181,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:20,5,3.2118491,missing,missing,0.171,72.55252,1-219-199-175-0-3-210-0-2-191,2.8144338,0.39228913,11.820916,1.5677421,0.30161503,4.546708,2080,-2.054172,0.5422354,0.181,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:24,6,3.1421384,missing,missing,0.179,72.55792,2-217-217-194-0-2-197-0-1-170,2.9066103,0.47915283,13.854126,0.63488555,0.2616544,4.900227,2080,-2.1062918,0.5632294,0.181,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:27,7,3.3263333,missing,missing,0.186,72.53657,1-226-201-195-1-0-196-2-1-177,2.9737892,0.55848616,15.868812,1.16656,0.93528235,6.845388,2080,-2.043918,0.58568597,0.186,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:31,8,3.2185339,missing,missing,0.178,72.21024,0-233-221-180-1-1-187-0-0-177,3.016763,0.6606226,17.92286,0.8566767,0.5023119,4.9485235,2080,-2.0703464,0.54207885,0.186,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:35,9,3.7674625,missing,missing,0.192,72.79515,1-202-209-193-0-1-214-1-2-177,3.088327,0.72945523,20.054697,1.0434545,0.56693727,5.546463,2080,-2.0997074,0.61234206,0.192,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,
2026-06-09T00:15:38,10,3.5193991,missing,missing,0.166,72.23833,0-257-195-199-0-1-161-1-1-185,3.1313922,0.84255385,22.181793,2.6007621,1.649656,10.977438,2080,-2.1472907,0.60590094,0.192,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\best_checkpoint.bin,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_10epoch_s50_cs50_lr003_t001\final_checkpoint.bin
