timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,attractor_samples,reward_mean,reward_std,best_accuracy,best_path,final_path
2026-06-09T00:29:46,0,0.0,missing,missing,0.109,54.654194,80-105-88-100-99-101-108-111-98-110,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0,0.0,0.0,0.109,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:04,1,16.984246,missing,missing,0.168,55.98667,21-23-28-430-21-142-30-109-123-73,0.6145035,0.03494193,1.8884788,1.5814699,1.0093234,8.764751,2080,-2.3650575,0.6662683,0.168,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:10,2,5.78412,missing,missing,0.207,63.945145,19-31-143-278-20-34-383-37-28-27,0.7927615,0.047758047,2.5608768,4.245806,1.7779219,11.771143,2080,-2.2331924,0.5824424,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:17,3,5.932457,missing,missing,0.192,68.16456,4-4-176-535-11-11-229-13-13-4,0.9930422,0.056377925,3.2990227,1.7152863,1.4379947,9.076436,2080,-2.080132,0.5193844,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:23,4,5.7841994,missing,missing,0.192,70.3465,2-2-221-483-1-4-268-5-8-6,1.1336399,0.085541196,4.021408,0.4399317,0.3358503,4.675939,2080,-1.9849434,0.4325519,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:29,5,5.910818,missing,missing,0.184,70.91865,1-4-243-483-4-6-247-1-6-5,1.2173669,0.10431978,4.769244,0.3858205,0.3173072,5.3797555,2080,-2.054247,0.48216927,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:35,6,5.8032611,missing,missing,0.19,71.351295,1-0-227-514-3-3-245-5-1-1,1.2637404,0.117357194,5.549126,0.16575396,0.08516091,5.8905067,2080,-2.061631,0.51530725,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:41,7,5.9226925,missing,missing,0.201,71.44002,4-2-230-505-2-0-245-4-6-2,1.2982228,0.13632347,6.358446,0.26999602,0.18062817,3.8976727,2080,-2.0431833,0.45010263,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:47,8,5.9972513,missing,missing,0.195,71.37692,2-2-223-498-2-6-260-3-4-0,1.322896,0.15400837,7.193033,1.149658,0.885838,6.8163524,2080,-2.0347965,0.46415955,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:30:54,9,6.2282331,missing,missing,0.204,71.64458,1-0-243-507-0-1-243-0-4-1,1.3413758,0.17606549,8.043165,1.3840878,1.3160086,8.18479,2080,-2.0077517,0.51664263,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,
2026-06-09T00:31:01,10,6.7412467,missing,missing,0.194,71.45155,3-4-215-505-3-3-254-6-5-2,1.3520938,0.19371137,8.901032,0.20143872,0.20094417,4.834304,2080,-1.9981365,0.44479904,0.207,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\best_checkpoint.bin,ext\IsingLearning\experiments\MNIST\784-120-40-surrogate-attractor\experiments\current\ruleA_grid10_s100_cs100_lr0p001_t1em6\final_checkpoint.bin
