timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-06-06T00:17:05,0,0.0,0.1,17.64432,0.105,16.764677,24-23-14-24-16-29-18-14-21-17,0.105,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:13,1,6.8171991,missing,missing,missing,missing,missing,0.105,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:13,2,0.1991813,0.13,13.448398,0.1,13.667379,18-14-16-28-18-23-13-21-29-20,0.105,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:14,3,0.1760203,missing,missing,missing,missing,missing,0.105,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:14,4,0.1893084,0.075,8.064498,0.115,7.6678886,13-18-11-18-12-38-13-18-39-20,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:14,5,0.1884471,missing,missing,missing,missing,missing,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:14,6,0.1770649,0.05,4.6092644,0.08,4.730487,19-17-13-15-16-33-16-23-29-19,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:14,7,0.1831319,missing,missing,missing,missing,missing,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:15,8,0.1887304,0.075,4.3448877,0.085,4.630389,21-13-22-24-22-18-17-24-19-20,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:15,9,0.1840975,missing,missing,missing,missing,missing,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:15,10,0.180387,0.125,3.9036884,0.11,3.9862049,10-19-25-22-18-18-26-21-12-29,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:15,11,0.180645,missing,missing,missing,missing,missing,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:15,12,0.1769731,0.1,4.4453354,0.075,4.5380683,12-21-27-23-21-24-22-17-17-16,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
2026-06-06T00:17:16,13,0.1757524,missing,missing,missing,missing,missing,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_001612_mnist_lcl_6x6_stride1_diagnostic_e20\best_checkpoint.bin,
