timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,best_accuracy,best_path,final_path
2026-06-06T18:33:06,0,0.0,0.1,16.713322,0.093,16.752762,98-101-84-89-107-111-98-111-103-98,0.51125515,0.0,0.68779385,0.0,0.0,0.0,0.093,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:15,1,7.5825215,missing,missing,missing,missing,missing,0.98089796,0.26031566,1.374003,1.6229874,0.9413423,0.11277538,0.093,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:16,2,1.4198495,missing,missing,missing,missing,missing,0.8435849,0.4699771,1.7107586,1.3029501,1.4129815,0.13226892,0.093,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:18,3,1.5513292,missing,missing,missing,missing,missing,0.9087101,0.6881381,1.970348,1.1755103,1.2990992,0.0859351,0.093,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:19,4,1.6587517,missing,missing,missing,missing,missing,1.0427527,0.8890496,2.1685448,0.89256227,1.0107756,0.055103354,0.093,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:21,5,1.4566285,0.172,5.330577,0.156,5.6347575,103-124-109-112-132-96-72-87-80-85,1.2015145,1.0722147,2.3237596,0.78497034,0.7811146,0.047790118,0.156,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:23,6,1.5284893,missing,missing,missing,missing,missing,1.3895943,1.2422912,2.4501302,0.72206175,0.7112534,0.061530016,0.156,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:24,7,1.5955068,missing,missing,missing,missing,missing,1.6072981,1.3955569,2.5562608,0.9407468,0.588991,0.10232713,0.156,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:26,8,1.5726417,missing,missing,missing,missing,missing,1.806431,1.5309616,2.6495519,0.8543126,0.4732097,0.08363728,0.156,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:27,9,1.4786415,missing,missing,missing,missing,missing,2.0021887,1.6464531,2.7324674,0.83737195,0.4665232,0.12300008,0.156,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:29,10,1.4100049,0.444,3.9446988,0.414,4.0888047,116-105-118-103-97-129-95-103-59-75,2.1684022,1.748456,2.8145802,0.87975967,0.37793565,0.1949222,0.414,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:30,11,1.609332,missing,missing,missing,missing,missing,2.3231466,1.8408157,2.8975434,0.7895467,0.3533194,0.16865699,0.414,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:32,12,1.4500713,missing,missing,missing,missing,missing,2.4582682,1.9237612,2.9830596,1.1997639,0.2750113,0.1326633,0.414,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:33,13,1.5278172,missing,missing,missing,missing,missing,2.5870128,2.001029,3.0688589,1.0405844,0.29451326,0.18049914,0.414,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:35,14,1.5472635,missing,missing,missing,missing,missing,2.6924434,2.0732808,3.1532993,1.066232,0.25124454,0.13665028,0.414,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:37,15,1.5902684,0.38,3.8391616,0.416,3.6438432,125-114-116-58-107-102-88-99-102-89,2.7882414,2.143053,3.235695,0.8598734,0.24652542,0.12683895,0.416,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:38,16,1.5135336,missing,missing,missing,missing,missing,2.8752074,2.209901,3.312858,1.2640176,0.3025028,0.16549207,0.416,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:40,17,1.515743,missing,missing,missing,missing,missing,2.960134,2.2782505,3.3881547,0.88726324,0.20320813,0.09731595,0.416,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:41,18,1.584719,missing,missing,missing,missing,missing,3.032023,2.3460152,3.4636347,0.858424,0.23760092,0.15367742,0.416,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:43,19,1.5172449,missing,missing,missing,missing,missing,3.0900416,2.4147077,3.5527163,1.3332413,0.22625193,0.09976221,0.416,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:45,20,1.4651465,0.468,3.6825807,0.472,3.8639078,108-132-89-67-80-96-101-122-104-101,3.1414688,2.4800262,3.6303563,1.1443154,0.20232357,0.11034232,0.472,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:46,21,1.5414775,missing,missing,missing,missing,missing,3.1894298,2.5415323,3.7013159,0.9370598,0.19143231,0.08888138,0.472,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:48,22,1.6093011,missing,missing,missing,missing,missing,3.2388146,2.597418,3.7591822,0.8273614,0.17928755,0.08800557,0.472,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:49,23,1.4439037,missing,missing,missing,missing,missing,3.2852843,2.6527984,3.81745,0.94589895,0.17542085,0.097967565,0.472,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:51,24,1.6184789,missing,missing,missing,missing,missing,3.3282928,2.706033,3.8806257,0.7208478,0.15275212,0.072850764,0.472,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:53,25,1.5995769,0.548,3.480078,0.525,3.4693031,115-101-93-82-121-106-116-97-84-85,3.3700306,2.7547276,3.9312212,0.6043955,0.16206251,0.09647709,0.525,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:54,26,1.7409075,missing,missing,missing,missing,missing,3.4131029,2.803423,3.982707,0.623183,0.14198574,0.08091863,0.525,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:56,27,1.6126816,missing,missing,missing,missing,missing,3.4489014,2.852693,4.041129,0.666555,0.101252265,0.049919438,0.525,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:58,28,1.5994087,missing,missing,missing,missing,missing,3.4782393,2.8969362,4.0897627,0.9344181,0.116495974,0.061594807,0.525,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
2026-06-06T18:33:59,29,1.6140935,missing,missing,missing,missing,missing,3.510831,2.9390903,4.1356497,1.0528078,0.13663672,0.09411346,0.525,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260606_175842_lcl_6x6_tangent_low_beta_calibration_grid\lcl6x6_tangent_b3p0_lr0p00050_T0p0010_ws0p005_s25_train500_e120\best_checkpoint.bin,
