timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,best_accuracy,best_path,final_path
2026-06-07T12:02:22,0,0.0,0.097,16.933601,0.103,16.914038,99-109-81-117-90-107-97-96-112-92,0.51125515,0.0,0.68779385,0.0,0.0,0.0,0.103,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:32,1,8.9286757,missing,missing,missing,missing,missing,0.9496842,0.16784126,1.0966071,32.4279,14.7638,6.517858,0.103,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:35,2,2.8650054,missing,missing,missing,missing,missing,1.3552848,0.26621073,1.287697,6.513672,2.0985732,1.0710821,0.103,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:38,3,3.3935755,missing,missing,missing,missing,missing,1.5180366,0.2972125,1.3122191,3.4872644,0.9389968,0.8630064,0.103,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:42,4,3.6132143,missing,missing,missing,missing,missing,1.6074249,0.30738437,1.3065516,2.6998222,0.7495314,1.4968296,0.103,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:45,5,2.9374142,0.102,5.844613,0.11,5.563999,85-106-112-76-102-104-108-103-106-98,1.6776661,0.3096385,1.2861761,1.5211396,0.4708895,0.9918624,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:48,6,3.3268199,missing,missing,missing,missing,missing,1.7422621,0.30905744,1.259647,2.380456,0.95072025,2.0203435,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:52,7,3.4475945,missing,missing,missing,missing,missing,1.8102964,0.30581692,1.2193909,1.7180231,0.5904086,1.3537201,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:55,8,2.9667236,missing,missing,missing,missing,missing,1.8851418,0.3008908,1.1673318,2.4692385,0.94883364,2.5440214,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:02:58,9,3.493333,missing,missing,missing,missing,missing,1.960139,0.29572633,1.1159434,1.3359385,0.6208429,1.5634942,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:02,10,3.6132682,0.1,10.184057,0.109,9.583677,110-94-95-110-108-99-86-86-111-101,2.015546,0.29256603,1.0988233,1.3571523,0.56855834,1.2983009,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:06,11,3.4494404,missing,missing,missing,missing,missing,2.0592747,0.29140255,1.1051722,0.9686776,0.42506158,1.1140275,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:09,12,3.61071,missing,missing,missing,missing,missing,2.091863,0.29167762,1.12239,1.1333935,0.48305744,1.1896474,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:12,13,3.2008318,missing,missing,missing,missing,missing,2.1172285,0.29254335,1.1448753,0.75431496,0.29157612,0.7694425,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:16,14,3.3611803,missing,missing,missing,missing,missing,2.137625,0.29378036,1.1687106,0.76563746,0.31652287,0.7443362,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:20,15,3.6330818,0.088,11.053995,0.114,11.519384,97-107-100-87-113-100-110-90-92-104,2.158259,0.2950064,1.190669,0.656212,0.2809395,0.63685673,0.114,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
2026-06-07T12:03:23,16,3.2499945,missing,missing,missing,missing,missing,2.1768785,0.2955616,1.2119327,0.52878565,0.2697115,0.63119847,0.114,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260607_lcl_6x6_stochastic_ep_response_grid\b0p3_lr0p0003_T0p001_s25_k4_e80\best_checkpoint.bin,
