timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T03:37:59,0,0.0,missing,missing,missing,0.075,39.94,42-37-28-25-8-19-13-6-4-18,0.075,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:09,1,7.2089404,0.111,15.066,19,0.1,16.66,3-0-0-0-0-197-0-0-0-0,0.1,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:16,2,4.8455521,0.165,13.936,53,0.185,13.59,1-0-84-89-0-26-0-0-0-0,0.185,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:23,3,4.6784437,0.198,13.216,106,0.125,14.43,10-0-0-0-190-0-0-0-0-0,0.185,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:29,4,4.3430479,0.234,12.242,159,0.295,10.96,43-10-90-0-1-0-9-39-0-8,0.295,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:35,5,4.0121474,0.334,11.104,294,0.36,11.2,14-5-1-103-38-0-15-5-19-0,0.36,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:41,6,3.5820011,0.445,9.214,425,0.39,10.7,24-0-0-29-6-30-10-0-91-10,0.39,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:46,7,3.4237297,0.514,7.88,492,0.455,8.58,45-11-4-0-27-34-0-13-66-0,0.455,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:52,8,3.3334232,0.582,6.894,565,0.53,8.25,24-32-22-5-66-28-0-22-0-1,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:38:57,9,3.1111028,0.656,5.716,639,0.36,10.08,13-25-4-128-17-0-8-5-0-0,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:02,10,2.9897779,0.671,5.572,659,0.365,10.04,21-1-1-2-7-5-10-9-138-6,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:06,11,2.8433953,0.736,4.23,727,0.325,10.8,9-1-103-64-14-3-2-4-0-0,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:12,12,3.1837716,0.657,5.554,650,0.53,7.18,23-22-9-0-7-55-6-2-36-40,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:17,13,2.8980265,0.725,4.56,713,0.5,8.52,20-37-0-12-10-9-85-14-3-10,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:21,14,2.7518834,0.763,3.804,758,0.525,8.14,27-18-10-20-4-8-2-14-7-90,0.53,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:26,15,2.8508641,0.765,3.756,761,0.615,6.12,19-13-11-15-11-66-13-18-31-3,0.615,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:31,16,2.8308209,0.782,3.618,770,0.75,3.93,19-16-11-19-20-31-23-28-14-19,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:36,17,2.7075976,0.786,3.586,780,0.575,6.87,15-12-89-12-14-23-10-4-13-8,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:40,18,2.7405579,0.797,3.314,790,0.555,7.12,17-16-6-51-12-22-4-5-45-22,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:45,19,2.5449585,0.839,2.56,834,0.71,4.65,19-19-5-16-8-43-18-22-18-32,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:50,20,2.7809631,0.793,3.324,790,0.54,7.6,19-16-9-13-3-1-38-7-1-93,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:54,21,2.6778437,0.806,3.232,797,0.745,3.96,23-24-27-29-22-11-10-13-18-23,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:39:59,22,2.6897521,0.824,2.862,817,0.58,7.24,6-16-38-10-13-12-69-9-4-23,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:04,23,2.7576312,0.814,3.054,811,0.605,6.21,50-20-2-12-31-40-21-11-4-9,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:08,24,2.6481164,0.827,2.788,824,0.555,8.52,79-14-10-3-18-13-10-29-7-17,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:13,25,2.6907007,0.833,2.656,833,0.735,4.48,16-19-16-19-27-32-26-25-7-13,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:18,26,2.5424426,0.851,2.58,846,0.63,5.8,25-16-17-11-0-32-12-10-7-70,0.75,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:22,27,2.6236572,0.86,2.232,856,0.8,3.28,22-17-14-25-23-23-16-15-24-21,0.8,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:27,28,2.520469,0.854,2.39,852,0.775,3.6,21-15-23-15-36-26-19-22-14-9,0.8,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:31,29,2.5369816,0.889,1.876,886,0.66,5.88,22-60-10-14-21-32-0-16-13-12,0.8,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:40:36,30,2.6514166,0.833,2.774,830,0.68,5.09,20-20-19-14-70-17-10-15-11-4,0.8,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_r5_mean_lr8_b32_e30\cnn_h1_28_h2_14_r5\final_model.bin
