timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T03:14:57,0,0.0,missing,missing,missing,0.065,39.29,21-48-18-35-5-26-8-24-1-14,0.065,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:04,1,5.0536042,0.109,15.252,3,0.095,17.59,3-0-0-197-0-0-0-0-0-0,0.095,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:10,2,4.6760993,0.105,14.458,0,0.1,19.38,0-0-0-0-0-200-0-0-0-0,0.1,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:16,3,4.5058493,0.112,14.42,0,0.1,11.54,1-0-0-0-0-0-0-199-0-0,0.1,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:23,4,4.5002163,0.105,14.338,2,0.1,9.6,0-0-200-0-0-0-0-0-0-0,0.1,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:29,5,4.4921378,0.121,14.132,4,0.16,10.11,33-0-24-0-1-0-0-2-140-0,0.16,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:35,6,4.5827623,0.099,14.434,0,0.1,13.02,0-0-0-0-0-0-0-0-160-40,0.16,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:41,7,4.3885566,0.152,13.6,9,0.1,13.28,0-200-0-0-0-0-0-0-0-0,0.16,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:47,8,4.2468301,0.248,11.554,92,0.255,17.45,0-14-0-48-8-121-0-0-0-9,0.255,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:53,9,4.1013723,0.251,11.672,165,0.31,15.06,13-0-18-83-25-0-0-0-61-0,0.31,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:15:59,10,3.6770446,0.395,9.464,304,0.175,16.8,5-0-48-0-0-147-0-0-0-0,0.31,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:04,11,3.589056,0.424,8.92,362,0.24,13.74,9-0-24-0-4-0-0-17-146-0,0.31,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:09,12,3.3744071,0.507,7.8,443,0.475,9.08,19-59-26-23-0-10-43-19-0-1,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:14,13,3.1337208,0.568,6.826,531,0.44,8.99,24-0-9-5-21-3-9-20-109-0,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:19,14,3.0698452,0.616,6.056,582,0.205,13.43,10-0-3-4-145-26-1-0-11-0,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:24,15,3.0905162,0.625,5.918,594,0.355,11.66,24-7-4-134-14-0-8-0-0-9,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:28,16,2.8979044,0.679,5.13,656,0.275,13.03,15-1-7-0-26-1-9-3-0-138,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:33,17,2.6699359,0.745,4.034,728,0.445,9.05,0-9-9-20-0-11-11-12-72-56,0.475,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:37,18,2.6718945,0.751,3.95,732,0.69,4.91,23-19-17-24-22-10-29-38-13-5,0.69,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:42,19,2.6059486,0.757,3.82,751,0.445,9.12,2-9-6-15-0-11-87-10-4-56,0.69,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,
2026-05-24T03:16:46,20,2.6537394,0.766,3.722,756,0.45,9.04,1-0-49-19-2-5-10-39-10-65,0.69,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r7\final_model.bin
