timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T03:32:20,0,0.0,missing,missing,missing,0.105,39.47,34-37-33-21-7-18-17-13-3-17,0.105,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:32:27,1,5.2978713,0.097,15.27,5,0.1,20.8,0-0-0-0-0-200-0-0-0-0,0.105,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:32:34,2,4.845127,0.105,14.912,3,0.1,16.06,0-0-0-200-0-0-0-0-0-0,0.105,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:32:40,3,4.9308239,0.094,14.482,0,0.1,9.6,0-0-0-1-199-0-0-0-0-0,0.105,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:32:47,4,4.8000817,0.103,14.374,0,0.1,9.6,0-0-0-0-0-0-200-0-0-0,0.105,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:32:54,5,4.8082956,0.098,14.36,0,0.115,17.67,0-0-0-65-0-0-98-37-0-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:00,6,4.8167547,0.127,14.078,0,0.1,17.19,0-0-0-1-0-0-0-0-199-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:07,7,4.8757024,0.123,13.768,0,0.1,21.31,2-0-0-197-0-0-0-0-1-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:14,8,4.747028,0.146,13.766,34,0.145,14.84,1-0-19-0-0-180-0-0-0-0,0.145,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:20,9,4.7338735,0.183,12.538,53,0.215,15.52,0-11-0-73-0-0-0-116-0-0,0.215,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:27,10,4.3480064,0.21,12.4,123,0.1,14.63,1-0-0-0-0-0-0-199-0-0,0.215,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:33,11,4.5887363,0.176,12.83,116,0.235,12.67,79-1-83-25-12-0-0-0-0-0,0.235,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:39,12,4.4624183,0.237,12.212,134,0.155,17.07,9-0-88-98-0-0-0-0-5-0,0.235,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:46,13,4.2311417,0.278,11.214,208,0.12,15.35,0-1-4-0-0-0-195-0-0-0,0.235,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:51,14,4.0832426,0.341,10.404,290,0.335,11.51,15-14-67-4-0-0-0-0-12-88,0.335,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:33:57,15,3.7913672,0.37,9.69,328,0.29,12.84,39-23-18-0-3-117-0-0-0-0,0.335,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:34:03,16,3.5347149,0.445,8.728,415,0.42,9.22,25-30-30-48-61-0-6-0-0-0,0.42,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:34:08,17,3.4039169,0.511,7.742,487,0.36,12.45,9-36-12-0-0-0-0-12-49-82,0.42,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:34:13,18,3.4645135,0.507,7.756,475,0.39,10.08,18-0-1-25-0-28-0-0-70-58,0.42,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:34:18,19,3.2779864,0.577,6.782,544,0.35,11.61,17-9-0-3-2-38-23-105-3-0,0.42,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,
2026-05-24T03:34:24,20,3.2653385,0.555,7.052,537,0.25,14.2,25-5-0-5-147-0-0-0-18-0,0.42,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/cnn_two_layer_h28_h14_nn3_5_7_e20\cnn_h1_28_h2_14_r5\final_model.bin
