timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T03:12:38,0,0.0,missing,missing,missing,0.075,40.44,13-59-11-51-13-27-9-8-1-8,0.075,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:12:47,1,6.4854226,0.101,16.312,18,0.115,20.18,14-185-0-0-0-0-0-1-0-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:12:53,2,4.2476293,0.104,15.384,25,0.115,14.15,11-0-0-0-0-179-10-0-0-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:12:58,3,4.2192115,0.112,15.178,36,0.1,19.24,10-0-0-5-0-1-183-1-0-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:04,4,4.1412516,0.132,14.536,68,0.1,16.69,11-0-0-0-0-1-0-188-0-0,0.115,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:10,5,4.097426,0.12,14.408,75,0.15,15.38,53-0-22-0-0-0-0-0-125-0,0.15,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:15,6,3.9241706,0.151,14.086,109,0.105,15.41,4-0-2-0-0-1-0-29-160-4,0.15,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:21,7,3.8775631,0.178,13.92,144,0.29,10.96,48-55-0-45-0-0-0-52-0-0,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:26,8,3.6616017,0.258,11.832,233,0.13,14.37,1-0-0-6-1-1-0-0-4-187,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:31,9,3.6190189,0.293,11.306,271,0.22,12.28,10-16-64-3-0-80-0-26-1-0,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:36,10,3.3403338,0.329,10.826,320,0.235,14.63,6-10-50-4-0-4-65-0-61-0,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:41,11,3.5308317,0.335,10.71,323,0.275,11.89,27-87-23-1-18-4-0-3-1-36,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:46,12,3.3466981,0.383,10.058,376,0.265,12.61,10-78-52-1-0-6-29-13-10-1,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:51,13,3.2541473,0.385,10.07,377,0.24,12.56,49-1-0-0-122-0-0-8-20-0,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:13:56,14,3.1812315,0.413,9.528,406,0.26,12.28,10-4-1-36-122-4-9-2-9-3,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:00,15,3.1173596,0.463,8.622,456,0.195,13.25,1-0-1-148-39-0-2-1-8-0,0.29,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:05,16,3.187293,0.436,9.016,431,0.365,10.24,34-5-7-9-3-1-2-11-22-106,0.365,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:10,17,2.9192118,0.484,8.422,483,0.27,11.79,2-2-0-6-4-6-69-9-102-0,0.365,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:14,18,3.0242162,0.501,8.02,497,0.385,9.82,45-32-74-18-3-0-9-7-11-1,0.385,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:19,19,2.949109,0.503,8.026,493,0.12,15.0,3-1-1-1-0-0-0-0-4-190,0.385,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,
2026-05-24T03:14:23,20,2.9416653,0.52,7.766,515,0.375,10.05,73-0-39-18-12-0-13-32-11-2,0.385,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_traininternal_100pc_mean_lr16_b32_radius3_7_e20\r3\final_model.bin
