timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T02:50:11,0,0.0,missing,missing,missing,0.11,40.11,20-53-14-42-13-32-5-9-1-11,0.11,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:19,1,5.9909983,0.13,20.362,0,0.17,18.57,48-29-36-29-3-8-14-18-8-7,0.17,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:24,2,3.7896902,0.167,16.47,5,0.17,14.68,33-18-25-29-7-22-34-11-16-5,0.17,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:30,3,3.6752544,0.2,15.294,48,0.18,16.47,46-15-13-17-21-10-16-23-13-26,0.18,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:35,4,3.2833009,0.244,14.546,136,0.215,16.37,34-17-32-20-13-4-30-9-26-15,0.215,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:40,5,3.2069768,0.277,13.526,177,0.3,14.49,25-30-13-21-26-19-12-23-18-13,0.3,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:44,6,3.0392644,0.301,13.378,216,0.29,13.66,25-13-8-32-12-41-19-19-4-27,0.3,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:49,7,2.9353287,0.323,13.316,258,0.27,13.74,21-27-8-20-14-11-20-29-31-19,0.3,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:53,8,2.923588,0.331,12.672,276,0.305,13.42,31-11-57-16-12-11-12-9-15-26,0.305,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:50:58,9,2.8371019,0.34,12.436,294,0.345,13.72,42-26-16-12-23-18-15-13-15-20,0.345,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:51:02,10,2.7548876,0.388,11.79,334,0.31,13.24,19-11-16-35-7-32-25-41-8-6,0.345,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:51:07,11,2.7610933,0.389,11.82,348,0.345,13.4,34-3-18-14-16-10-36-24-31-14,0.345,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,
2026-05-24T02:51:11,12,2.7728511,0.389,11.476,344,0.38,11.85,38-19-20-17-16-20-22-23-10-15,0.38,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_e12\final_model.bin
