timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-24T02:52:25,0,0.0,missing,missing,missing,0.11,39.66,21-65-18-32-9-30-7-10-2-6,0.11,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:34,1,5.8849934,0.167,16.996,25,0.195,16.03,13-1-22-39-1-0-0-104-20-0,0.195,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:39,2,3.3052167,0.252,14.374,152,0.235,13.92,7-0-64-1-37-24-40-2-25-0,0.235,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:43,3,3.0648238,0.263,13.834,195,0.355,11.8,53-7-0-27-2-0-44-56-0-11,0.355,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:48,4,2.9802883,0.312,12.73,258,0.25,13.06,16-2-122-0-24-2-0-3-30-1,0.355,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:53,5,2.9313586,0.332,11.994,274,0.35,10.77,37-47-51-3-33-0-1-12-3-13,0.355,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:52:57,6,2.7814499,0.371,11.01,312,0.35,10.9,8-7-32-38-0-37-1-5-18-54,0.355,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:01,7,2.7088925,0.405,10.468,357,0.265,12.31,8-0-22-48-5-22-0-95-0-0,0.355,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:06,8,2.8077553,0.373,10.622,325,0.4,9.85,24-12-0-25-21-15-9-43-14-37,0.4,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:10,9,2.6341089,0.435,9.656,389,0.32,12.23,6-49-22-50-1-21-0-9-0-42,0.4,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:14,10,2.5472357,0.476,8.936,431,0.375,10.19,6-8-0-13-0-51-20-58-13-31,0.4,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:19,11,2.5338782,0.422,9.98,389,0.405,10.67,19-0-16-14-10-6-19-21-95-0,0.405,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,
2026-05-24T02:53:23,12,2.5220239,0.468,9.06,438,0.395,10.31,41-35-70-18-7-0-4-11-12-2,0.405,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\best_model.bin,ext/IsingLearning/experiments/MNIST/runs/current/paper_local_h28_h11_r5_traininternal_100pc_mean_lr4_e12\final_model.bin
