timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-27T02:02:09,0,0.0,missing,missing,missing,0.135,40.43,38-40-47-5-7-8-26-12-13-4,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T02:18:17,1,714.4051436,0.1,16.996,0,0.1,12.8,0-200-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T02:34:46,2,695.0007187,0.098,17.262,0,0.1,12.8,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T02:50:35,3,671.5787839,0.093,13.764,0,0.1,11.2,0-0-200-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T03:06:35,4,716.8729491,0.102,8.792,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T03:22:54,5,713.2457844,0.1,8.046,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T03:38:33,6,706.9177404,0.104,8.624,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T03:55:14,7,723.6706382,0.106,8.252,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T04:11:12,8,702.0739251,0.099,8.088,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T04:27:06,9,709.9932834,0.1,8.0,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T04:43:03,10,720.0113051,0.1,8.0,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T04:58:45,11,731.2869658,0.1,8.0,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
2026-05-27T05:15:15,12,726.3852256,0.1,8.0,0,0.1,8.0,200-0-0-0-0-0-0-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\grid_r8_r10_lr_sweeps_20260527_015708\r8_lr0004_b50_s75\r8\best_params.bin,
