timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-26T11:29:28,0,0.0,missing,missing,missing,0.12,38.59,21-39-12-46-9-16-5-35-0-17,0.12,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:29:37,1,7.0869256,0.214,15.888,12,0.23,15.67,21-53-13-20-1-70-7-7-1-7,0.23,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:29:44,2,4.3128589,0.388,11.932,203,0.175,14.77,6-5-15-9-0-155-8-0-1-1,0.23,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:29:49,3,3.7446658,0.476,10.092,347,0.405,11.23,15-17-4-12-16-18-60-17-17-24,0.405,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:29:55,4,3.5155527,0.507,9.192,438,0.45,9.37,16-13-68-10-11-15-24-28-13-2,0.45,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:00,5,3.2609863,0.579,7.784,522,0.465,10.43,36-14-12-25-9-11-9-18-42-24,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:05,6,3.1935762,0.576,7.838,535,0.455,10.76,29-6-6-40-8-4-30-27-49-1,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:10,7,3.2379471,0.579,8.314,531,0.4,11.36,26-24-3-32-3-5-5-53-11-38,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:15,8,3.1072419,0.602,7.192,566,0.485,9.01,22-7-51-9-1-20-7-9-26-48,0.485,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:20,9,3.1078137,0.635,6.5,601,0.505,8.29,24-27-17-32-13-36-2-31-16-2,0.505,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:26,10,3.1777821,0.636,6.86,611,0.46,9.86,20-32-24-1-6-39-13-35-16-14,0.505,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:31,11,3.2040534,0.628,6.882,598,0.555,7.98,25-33-12-16-18-17-12-19-21-27,0.555,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:37,12,3.238712,0.655,6.454,634,0.49,8.18,21-9-50-4-20-20-27-29-5-15,0.555,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:43,13,3.2748048,0.653,6.286,615,0.495,9.54,56-27-23-11-40-13-7-9-12-2,0.555,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:48,14,3.1685027,0.667,6.194,643,0.54,8.38,21-6-24-13-57-19-10-15-27-8,0.555,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:53,15,3.016711,0.659,5.95,646,0.57,7.9,24-13-22-12-25-39-12-14-35-4,0.57,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:30:59,16,3.0015822,0.676,5.776,661,0.545,7.86,22-24-8-34-2-4-13-12-15-66,0.57,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:04,17,3.0107651,0.679,5.864,661,0.54,8.13,33-21-2-30-10-7-17-15-45-20,0.57,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:09,18,2.8763169,0.715,5.098,702,0.535,7.98,36-36-15-5-34-24-17-9-1-23,0.57,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:13,19,2.8181415,0.709,5.192,689,0.505,8.98,15-9-13-9-8-23-11-6-24-82,0.57,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:18,20,2.7951552,0.725,4.708,710,0.63,6.39,31-26-38-15-18-2-15-31-14-10,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:23,21,2.9162193,0.723,4.75,706,0.5,8.95,17-12-15-18-45-13-10-62-6-2,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:28,22,2.9900546,0.69,5.732,675,0.57,7.95,21-14-13-14-4-25-24-51-12-22,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:34,23,2.9798702,0.721,5.01,705,0.5,8.27,19-14-31-39-12-9-20-4-6-46,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:39,24,2.8783048,0.735,4.914,720,0.625,7.0,32-11-29-10-24-24-12-20-14-24,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:44,25,2.8947269,0.728,4.928,717,0.585,7.23,14-17-21-13-23-45-13-21-13-20,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:50,26,3.0555527,0.729,4.778,717,0.56,7.77,22-14-11-8-10-10-13-22-66-24,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:31:55,27,2.9597352,0.731,4.748,722,0.52,7.71,25-11-13-2-13-19-22-1-13-81,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:32:00,28,2.8426146,0.739,4.63,723,0.585,6.83,20-19-10-17-15-6-44-18-11-40,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:32:05,29,2.8859038,0.73,4.676,722,0.605,6.74,24-22-9-20-48-12-17-22-17-9,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,
2026-05-26T11:32:10,30,2.7311332,0.781,3.882,772,0.61,6.8,20-14-27-42-35-6-15-19-20-2,0.63,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\best_model.bin,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr004_b32_traininternal_e30\r7\final_model.bin
