timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-26T11:19:33,0,0.0,missing,missing,missing,0.12,38.82,22-34-17-32-9-27-5-30-1-23,0.12,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:19:44,1,7.8927796,0.214,14.394,44,0.105,14.56,1-0-0-0-0-198-1-0-0-0,0.12,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:19:51,2,4.4825928,0.377,10.738,248,0.32,10.32,14-2-7-114-0-20-20-15-8-0,0.32,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:19:58,3,3.9685415,0.428,9.994,348,0.11,15.28,4-0-0-0-0-0-195-0-1-0,0.32,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:04,4,3.9441386,0.448,9.266,379,0.345,12.3,23-0-0-0-92-0-9-58-18-0,0.345,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:09,5,3.3139669,0.568,7.494,523,0.465,8.84,18-13-41-5-78-0-1-9-34-1,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:15,6,3.4367131,0.557,7.394,528,0.22,12.73,3-0-0-6-0-0-4-14-173-0,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:21,7,3.5701229,0.522,8.066,491,0.44,9.49,42-19-6-57-0-0-7-63-0-6,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:27,8,3.3077133,0.594,6.782,552,0.24,13.6,7-30-0-4-0-1-0-0-12-146,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:32,9,3.0407829,0.666,5.642,640,0.36,9.96,37-0-39-71-0-1-4-0-48-0,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,
2026-05-26T11:20:37,10,3.1427381,0.645,6.122,620,0.37,8.75,61-7-29-8-4-16-0-0-66-9,0.465,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\best_model.bin,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\diagnostics\runs\r7_scheme_grid\mean_lr016_b32_traininternal\r7\final_model.bin
