[2026-05-29T00:33:11] Waiting for radius grid summary rows: 18 at C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260529_mnist_single_hidden_local_r8_high_sweeps_e30_32w\..\20260529_mnist_single_hidden_local_r1_to_r9_relax_grid_e30_32w\grid_summary.csv
[2026-05-29T00:33:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:34:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:35:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:36:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:37:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:38:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:39:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:40:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:41:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:42:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:43:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:44:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:45:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:46:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:47:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:48:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:49:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:50:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:51:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:52:11] Radius grid summary not present yet; still waiting.
[2026-05-29T00:53:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:54:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:55:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:56:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:57:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:58:12] Radius grid summary not present yet; still waiting.
[2026-05-29T00:59:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:00:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:01:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:02:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:03:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:04:12] Radius grid summary not present yet; still waiting.
[2026-05-29T01:05:12] Radius grid summary not present yet; still waiting.
