timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,latest_path,final_path
2026-06-04T12:25:40,0,0.0,missing,missing,missing,0.115,41.13,32-39-33-11-18-14-19-16-15-3,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:25:58,1,16.3795979,0.098,39.648,0,0.09,34.18,53-31-23-9-10-12-20-22-17-3,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:07,2,7.9797885,0.087,35.154,0,0.085,25.56,73-16-6-11-16-27-15-13-22-1,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:17,3,8.8425768,0.103,29.312,0,0.1,16.67,129-8-3-10-13-17-8-6-6-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:26,4,8.3423695,0.113,21.994,0,0.115,12.98,134-9-1-30-4-9-12-0-1-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:36,5,8.431049,0.099,17.84,0,0.115,10.93,70-11-0-68-20-6-24-0-1-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:46,6,9.7317984,0.09,13.826,0,0.165,9.65,79-30-0-18-40-18-14-1-0-0,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:26:58,7,10.4137622,0.103,12.71,0,0.13,10.49,41-45-0-0-76-23-1-3-11-0,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:27:09,8,10.6175409,0.095,11.832,0,0.12,10.48,29-58-2-1-66-19-1-5-19-0,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
2026-06-04T12:27:20,9,9.3384375,0.091,12.048,0,0.14,11.39,17-65-1-0-28-9-2-15-62-1,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\a14_s35_b10_lr25_e160\r8\latest_checkpoint.bin,
