timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,latest_path,final_path
2026-06-04T02:36:13,0,0.0,missing,missing,missing,0.11,38.48,37-102-13-13-12-2-3-3-5-10,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:25,1,11.0035469,0.109,36.746,0,0.165,29.45,27-55-34-9-14-24-14-10-8-5,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:31,2,4.9756354,0.104,32.29,0,0.12,17.6,18-39-25-1-1-14-75-5-21-1,0.165,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:36,3,4.977167,0.092,26.168,0,0.17,12.18,2-72-15-0-0-8-71-20-12-0,0.17,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:42,4,5.2330325,0.107,17.106,0,0.175,9.86,41-89-3-1-0-23-12-14-17-0,0.175,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:47,5,4.9256829,0.101,11.048,0,0.19,10.06,56-60-4-17-1-18-10-0-34-0,0.19,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:53,6,4.9720951,0.101,10.862,0,0.22,13.65,107-32-21-21-1-11-1-3-3-0,0.22,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:36:59,7,4.9417757,0.086,12.78,0,0.21,15.8,119-27-31-6-3-8-0-1-1-4,0.22,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:04,8,5.2449259,0.11,13.788,0,0.21,14.54,92-30-49-11-3-4-1-3-1-6,0.22,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:10,9,5.1765604,0.12,14.674,0,0.22,12.92,54-57-30-16-3-10-10-12-3-5,0.22,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:16,10,4.9299403,0.115,14.324,0,0.21,13.18,12-86-10-18-4-16-19-22-0-13,0.22,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:21,11,4.9281216,0.1,13.794,0,0.235,14.04,3-88-9-19-7-11-17-11-5-30,0.235,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:27,12,4.9282166,0.094,13.838,0,0.235,16.05,6-79-12-21-12-10-8-2-2-48,0.235,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:32,13,4.906036,0.118,13.204,0,0.275,17.67,10-64-22-49-10-8-17-4-0-16,0.275,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:38,14,5.1881907,0.122,13.79,0,0.305,17.3,20-50-24-43-17-8-26-5-0-7,0.305,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:44,15,5.1397459,0.13,17.714,0,0.29,14.32,38-43-10-52-21-14-19-3-0-0,0.305,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:50,16,5.0070245,0.114,19.736,0,0.27,11.02,35-25-6-51-21-11-47-4-0-0,0.305,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:37:55,17,4.947802,0.116,14.184,1,0.34,9.86,39-31-9-7-46-10-37-15-6-0,0.34,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:38:01,18,4.8885996,0.103,12.898,0,0.33,12.9,9-42-31-3-24-14-22-40-15-0,0.34,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:38:06,19,5.0640678,0.095,13.75,0,0.3,14.76,9-44-21-6-31-2-28-32-23-4,0.34,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
2026-06-04T02:38:12,20,5.2408251,0.105,15.078,0,0.31,15.89,13-48-9-6-73-6-22-3-16-4,0.34,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\20260604_r8_rescue_series\attempt_06_metropolis_s25_beta2p5_lr00005_b128_chunk4_seed13579_e80\r8\latest_checkpoint.bin,
