timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-26T11:57:52,0,0.0,missing,missing,missing,0.56,7.56,37-21-38-15-15-5-13-27-12-17,0.56,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:57:57,1,2.9583139,0.728,4.618,713,0.345,11.48,15-88-1-11-11-59-6-8-0-1,0.56,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:02,2,2.9430603,0.691,5.472,675,0.34,12.03,11-7-15-7-2-132-11-10-0-5,0.56,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:07,3,2.884637,0.726,4.78,710,0.645,6.03,23-12-8-14-23-22-33-22-35-8,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:11,4,2.6910498,0.763,4.16,749,0.525,8.03,24-11-78-7-14-8-18-12-16-12,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:16,5,2.8414106,0.723,4.91,711,0.625,6.6,25-16-26-20-19-13-15-14-11-41,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:21,6,2.7148378,0.77,4.194,759,0.63,6.12,21-12-7-18-13-30-18-32-39-10,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:25,7,2.697105,0.764,4.136,752,0.535,7.58,13-16-26-42-7-6-13-66-8-3,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:30,8,2.710715,0.755,4.198,747,0.585,7.09,14-10-22-8-25-5-12-16-18-70,0.645,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
2026-05-26T11:58:35,9,2.6682475,0.786,3.704,779,0.67,5.47,19-21-16-37-22-33-18-11-19-4,0.67,ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r1_to_r10_from_r7best_lr004_b32_e30\r9\best_model.bin,
