timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,latest_path,final_path
2026-06-04T13:51:38,0,0.0,missing,missing,missing,0.115,40.78,35-33-40-6-9-13-21-22-15-6,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:51:57,1,16.9698902,0.111,41.082,0,0.095,38.01,57-31-29-9-12-12-16-17-15-2,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:52:08,2,10.2737675,0.101,39.322,0,0.11,35.72,69-28-20-8-13-15-12-13-17-5,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:52:20,3,10.0585756,0.104,37.492,0,0.1,33.14,68-32-18-9-13-15-10-11-19-5,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:52:32,4,10.5933108,0.081,36.182,0,0.095,28.19,97-11-7-8-12-15-16-9-22-3,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:52:43,5,10.4006884,0.1,33.758,0,0.135,24.12,115-14-14-5-4-12-5-10-18-3,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:52:55,6,10.0911843,0.105,32.272,0,0.105,19.99,132-7-4-1-6-14-12-7-15-2,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:53:06,7,10.3227696,0.1,30.556,0,0.07,16.48,155-2-2-6-4-9-7-5-6-4,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:53:18,8,10.4860442,0.105,28.498,0,0.1,13.71,179-3-0-5-1-3-3-2-4-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:53:30,9,10.0418478,0.099,25.0,0,0.095,12.16,176-4-0-11-3-1-4-0-1-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
2026-06-04T13:53:42,10,10.5758513,0.099,21.906,0,0.08,10.85,161-4-1-14-5-3-12-0-0-0,0.135,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\best_params.bin,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\r8rs2\a16\r8\latest_checkpoint.bin,
