timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-27T01:46:57,0,0.0,missing,missing,missing,0.085,40.11,25-30-24-39-4-23-3-5-41-6,0.085,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T01:52:24,1,249.7756769,0.103,18.56,0,0.1,15.68,200-0-0-0-0-0-0-0-0-0,0.1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T01:58:27,2,263.8480299,0.1,14.912,0,0.11,12.7,170-0-0-0-0-0-0-4-0-26,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:07:37,3,398.4116369,0.099,16.99,6,0.11,13.92,129-0-0-0-0-71-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:17:18,4,452.7061452,0.104,13.238,8,0.1,13.44,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:27:15,5,457.2171337,0.102,11.896,1,0.1,22.48,9-0-191-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:36:30,6,448.7091861,0.094,16.542,2,0.105,15.84,16-0-0-0-0-0-184-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:46:47,7,496.5583649,0.111,16.602,0,0.09,17.52,26-0-0-0-0-0-174-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T02:56:52,8,457.2799961,0.108,14.946,0,0.1,14.08,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:07:02,9,472.0383562,0.098,19.19,0,0.1,12.48,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:17:20,10,486.1475841,0.103,18.626,0,0.1,15.04,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:27:18,11,462.6017872,0.1,22.656,0,0.1,17.28,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:37:26,12,481.0227161,0.1,18.88,0,0.1,18.24,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:47:48,13,487.9252484,0.1,16.512,0,0.1,14.72,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T03:57:47,14,462.700068,0.1,13.888,0,0.1,15.36,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:08:06,15,501.6391788,0.1,16.064,0,0.1,13.44,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:18:30,16,471.679543,0.1,14.72,0,0.1,15.36,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:28:50,17,469.3270334,0.1,13.184,0,0.1,17.6,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:39:31,18,493.1610547,0.1,12.224,0,0.1,16.64,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:49:28,19,471.5539984,0.1,10.816,0,0.1,14.72,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
2026-05-27T04:59:45,20,496.3969506,0.1,11.904,0,0.1,15.04,200-0-0-0-0-0-0-0-0-0,0.11,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\single-hidden-local-28x28-to-11x11-readout\experiments\current\radius_1_to_10_e200_20260527_014459\r1\best_params.bin,
