timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-27T02:02:20,0,0.0,missing,missing,missing,0.115,39.93,13-0-91-0-1-0-0-0-95-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:11:22,1,404.932337,0.096,22.32,0,0.11,38.07,143-0-0-0-0-0-57-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:19:43,2,378.6111646,0.098,20.358,0,0.1,11.52,200-0-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:28:44,3,424.0818887,0.1,15.488,0,0.1,9.92,200-0-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:37:12,4,398.7322167,0.1,17.408,0,0.1,15.36,200-0-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:46:16,5,438.6675261,0.098,17.382,0,0.105,22.61,182-18-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T02:55:08,6,397.5378337,0.085,15.544,0,0.095,16.82,15-0-0-0-0-0-185-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T03:04:09,7,407.6896612,0.086,15.152,0,0.09,14.36,179-21-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T03:13:05,8,385.1216061,0.1,13.866,0,0.1,13.76,200-0-0-0-0-0-0-0-0-0,0.115,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T03:21:32,9,378.8856596,0.102,15.99,0,0.125,17.12,0-27-0-0-0-0-0-0-173-0,0.125,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
2026-05-27T03:30:21,10,381.7751631,0.098,15.568,0,0.1,14.4,200-0-0-0-0-0-0-0-0-0,0.125,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\two-hidden-local-28x28-to-14x14-readout\diagnostics\runs\grid_r1_r2_lr_sweeps_20260527_015859\r1_8_r2_1_lr0012_s75\r1_8_r2_1\best_params.bin,
