config,input_side,hidden1_side,hidden2_side,output_side,layer1_radius,layer2_radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
r1_1_r2_1,8,8,4,4,1,1,false,0,1.154701,1.3349189,0.5,false,-0.34474397,-0.05703034,1.154701,0,-0.34474397,0,-1,NaN,7.187293273606558,NaN,0.002,4.495,0|0|0|0,-0.0229|-0.3447|-0.0924|-0.1861,0.0229|-0.3447|-0.0924|0.1861,1.3798|1.4554|1.247|1.2576
r1_1_r2_1,8,8,4,4,1,1,false,10,0.9840058,1.2877641,0.75,false,-0.1969438,0.016591284,0.9840058,10,-0.1969438,10,-1,1.2303728338732338,7.178306205963373,0.041701883871866297,0.0019117794,27.866,0|0|1|0,-0.0284|-0.1969|0.0895|-0.1454,0.0284|-0.1969|0.0895|0.1454,1.325|1.4433|1.1314|1.2513
r1_1_r2_1,8,8,4,4,1,1,false,20,0.9664684,1.2479872,0.75,false,-0.22928645,0.029819304,0.9664684,20,-0.1969438,10,-1,1.220981218323217,7.179703970839377,0.03519643533304285,0.0018183127,47.991,0|0|1|0,-0.1147|-0.2293|0.1923|-0.0416,0.1147|-0.2293|0.1923|0.0416,1.1924|1.4865|0.9931|1.3199
r1_1_r2_1,8,8,4,4,1,1,false,30,0.9331498,1.2095242,0.75,false,-0.25320336,0.05441942,0.9331498,30,-0.1969438,10,-1,1.137979967909757,7.1846658177397265,0.030634010411731513,0.0017294157,68.28,0|0|1|0,-0.1492|-0.2532|0.283|-0.0387,0.1492|-0.2532|0.283|0.0387,1.1178|1.4958|0.902|1.3225
r1_1_r2_1,8,8,4,4,1,1,false,40,0.91059697,1.1850911,0.5,false,-0.23391843,0.07195696,0.91059697,40,-0.1969438,10,-1,1.3466036016424283,7.1932586157415095,0.03225475400335172,0.001644865,88.047,0|0|1|1,-0.2579|-0.2339|0.308|0.0442,0.2579|-0.2339|0.308|-0.0442,0.9829|1.4841|0.8859|1.3875
r1_1_r2_1,8,8,4,4,1,1,false,50,0.8535601,1.1358967,0.5,false,-0.22189695,0.11459456,0.8535601,50,-0.1969438,10,-1,1.485725671729799,7.211225278656274,0.032881033517111836,0.0015644479,107.5,0|0|1|1,-0.3574|-0.2219|0.3872|0.0643,0.3574|-0.2219|0.3872|-0.0643,0.859|1.471|0.8194|1.3942
r1_1_r2_1,8,8,4,4,1,1,false,60,0.7493987,1.0688882,0.5,false,-0.15931535,0.17708027,0.7493987,60,-0.15931535,60,-1,1.5342827172895763,7.241097871356827,0.032681314523750477,0.0014879622,127.637,0|0|1|1,-0.4642|-0.1593|0.4162|0.0128,0.4642|-0.1593|0.4162|-0.0128,0.744|1.3922|0.7924|1.347
r1_1_r2_1,8,8,4,4,1,1,false,70,0.68406814,1.0163451,0.5,false,-0.089183286,0.21895018,0.68406814,70,-0.089183286,70,-1,1.6161728776674271,7.277159495537138,0.03031061470022429,0.001415216,148.411,0|0|1|1,-0.5361|-0.0892|0.4386|0.0098,0.5361|-0.0892|0.4386|-0.0098,0.6549|1.3087|0.7668|1.335
r1_1_r2_1,8,8,4,4,1,1,false,80,0.6110793,0.9444362,0.5,false,-0.04159719,0.29395825,0.6110793,80,-0.04159719,80,-1,1.5573282482056574,7.322494328250166,0.02787939755103199,0.0013460263,168.293,0|0|1|1,-0.6142|-0.0416|0.6444|0.0412,0.6142|-0.0416|0.6444|-0.0412,0.5896|1.2588|0.5845|1.3448
r1_1_r2_1,8,8,4,4,1,1,false,90,0.5369258,0.8923692,0.75,false,-0.025036372,0.34365308,0.5369258,90,-0.025036372,90,-1,1.5304683325057655,7.36691254540599,0.024704034862962843,0.0012802194,187.719,0|1|1|1,-0.6684|0.0638|0.6675|0.025,0.6684|0.0638|0.6675|-0.025,0.5299|1.1653|0.5586|1.3157
r1_1_r2_1,8,8,4,4,1,1,false,100,0.5214654,0.86937344,0.75,false,-0.027105376,0.35831892,0.5214654,100,-0.025036372,90,-1,1.5024841719061846,7.404875680110411,0.02200844287612743,0.0012176296,207.62,0|1|1|1,-0.6444|0.089|0.727|0.0271,0.6444|0.089|0.727|-0.0271,0.5319|1.1443|0.506|1.2953
r1_1_r2_2,8,8,4,4,1,2,false,0,1.2028568,1.5575393,0.5,false,-0.6547543,-0.0009984076,1.2028568,0,-0.6547543,0,-1,NaN,9.42399024310036,NaN,0.002,2.319,0|0|1|1,-0.6077|-0.0262|0.0693|0.6548,0.6077|-0.0262|0.0693|-0.6548,1.014|1.5694|1.4341|2.2126
r1_1_r2_2,8,8,4,4,1,2,false,10,0.81766117,1.2827573,0.75,false,-0.3319754,0.1452841,0.81766117,10,-0.3319754,10,-1,1.8397726057353416,9.407481572328027,0.05245565117953599,0.0019117794,22.294,0|1|1|1,-0.4706|0.1804|0.2621|0.332,0.4706|0.1804|0.2621|-0.332,0.9642|1.3081|1.1287|1.73
r1_1_r2_2,8,8,4,4,1,2,false,20,0.5962912,1.1296998,0.75,false,-0.18462479,0.27549553,0.5962912,20,-0.18462479,20,-1,2.131657997075939,9.400235404455556,0.04442524045458922,0.0018183127,43.057,0|1|1|1,-0.4648|0.4366|0.3852|0.1846,0.4648|0.4366|0.3852|-0.1846,0.9398|1.0816|0.8764|1.621
r1_1_r2_2,8,8,4,4,1,2,false,30,0.388443,0.99770075,1.0,true,0.01744984,0.4306006,0.388443,30,0.01744984,30,30,2.1252289816958294,9.40198995751074,0.04106921005139023,0.0017294157,64.565,0|1|1|0,-0.4285|0.6366|0.6398|-0.0174,0.4285|0.6366|0.6398|0.0174,0.9351|0.9364|0.6653|1.454
r1_1_r2_2,8,8,4,4,1,2,false,40,0.27446023,0.8990455,1.0,true,0.11374977,0.55195385,0.27446023,40,0.11374977,40,30,1.9533926818519975,9.412088502194639,0.03231352754617868,0.001644865,85.254,0|1|1|0,-0.5379|0.764|0.7921|-0.1137,0.5379|0.764|0.7921|0.1137,0.8508|0.8009|0.5708|1.3737
r1_1_r2_2,8,8,4,4,1,2,false,50,0.19564739,0.8205958,1.0,true,0.26910546,0.6272446,0.19564739,50,0.26910546,50,30,1.724487715131271,9.419707850888676,0.02787814377622247,0.0015644479,105.768,0|1|1|0,-0.5547|0.8259|0.8593|-0.2691,0.5547|0.8259|0.8593|0.2691,0.7957|0.6821|0.5168|1.2878
r1_1_r2_2,8,8,4,4,1,2,false,60,0.17923078,0.7561066,1.0,true,0.36451268,0.64050126,0.17923078,60,0.36451268,60,30,1.85457170184409,9.425301657789634,0.028984353992166645,0.0014879622,126.757,0|1|1|0,-0.4952|0.9346|0.7677|-0.3645,0.4952|0.9346|0.7677|0.3645,0.8111|0.5148|0.5251|1.1735
r1_1_r2_2,8,8,4,4,1,2,false,70,0.0809224,0.61830145,1.0,true,0.6070606,0.74066556,0.0809224,70,0.6070606,70,30,2.1883787297549184,9.429482799921926,0.04239092355894385,0.001415216,148.391,0|1|1|0,-0.6071|0.9286|0.7156|-0.7114,0.6071|0.9286|0.7156|0.7114,0.6991|0.4419|0.5359|0.7964
r1_1_r2_2,8,8,4,4,1,2,false,80,0.20205472,0.53958917,1.0,true,0.30126566,0.8136848,0.0809224,70,0.6070606,70,30,2.04678903646718,9.460817344148229,0.04052379029563331,0.0013460263,170.498,0|1|1|0,-1.4387|0.8273|0.3013|-0.6875,1.4387|0.8273|0.3013|0.6875,0.1766|0.4371|0.8188|0.726
r1_1_r2_2,8,8,4,4,1,2,false,90,0.10906596,0.45934287,1.0,true,0.4851153,0.8428797,0.0809224,70,0.6070606,70,30,1.621986235403789,9.504836608028173,0.03229002591901068,0.0012802194,191.292,0|1|1|0,-1.2714|0.6994|0.4851|-0.9156,1.2714|0.6994|0.4851|0.9156,0.1943|0.4851|0.6511|0.5069
r1_1_r2_2,8,8,4,4,1,2,false,100,0.048765138,0.27568933,1.0,true,0.90207064,1.1135668,0.048765138,100,0.90207064,100,30,1.4182309415341283,9.549773080736248,0.02695826774234171,0.0012176296,212.208,0|1|1|0,-1.3774|0.9696|0.9021|-1.2051,1.3774|0.9696|0.9021|1.2051,0.1416|0.3148|0.3623|0.284
r1_2_r2_1,8,8,4,4,2,1,false,0,1.0723791,1.4315386,0.5,false,-0.25951207,-0.023679499,1.0723791,0,-0.25951207,0,-1,NaN,10.77543824050337,NaN,0.002,2.172,1|0|1|0,0.2595|-0.062|0.1532|-0.0737,-0.2595|-0.062|0.1532|0.0737,1.609|1.4616|1.3292|1.3263
r1_2_r2_1,8,8,4,4,2,1,false,10,1.0357205,1.3898746,0.75,false,-0.34791818,0.0031859092,1.0357205,10,-0.25951207,0,-1,1.176814338307842,10.746217993874636,0.052539872939655355,0.0019117794,24.26,1|1|1|0,0.3479|0.0881|0.1015|-0.171,-0.3479|0.0881|0.1015|0.171,1.7527|1.258|1.3038|1.2451
r1_2_r2_1,8,8,4,4,2,1,false,20,0.96801513,1.3597629,0.75,false,-0.31277108,0.03738307,0.96801513,20,-0.25951207,0,-1,1.222363567969403,10.720474504815467,0.03966419418948757,0.0018183127,46.566,1|1|1|0,0.3128|0.191|0.133|-0.1383,-0.3128|0.191|0.133|0.1383,1.7301|1.15|1.225|1.3339
r1_2_r2_1,8,8,4,4,2,1,false,30,0.9209695,1.3268155,0.75,false,-0.3015849,0.06644865,0.9209695,30,-0.25951207,0,-1,1.217880917282318,10.692469462114081,0.03636038005853252,0.0017294157,67.987,1|1|1|0,0.3016|0.2916|0.1649|-0.1109,-0.3016|0.2916|0.1649|0.1109,1.6927|1.0449|1.1523|1.4173
