config,input_side,hidden1_side,hidden2_side,output_side,layer1_radius,layer2_radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
r1_4_r2_2,8,8,4,4,4,2,false,0,1.1122415,1.6215361,0.5,false,-0.4168696,0.004203707,1.1122415,0,-0.4168696,0,-1,NaN,16.520767551722496,NaN,0.002,3.272,1|1|0|0,0.4169|0.3045|-0.2577|-0.3869,-0.4169|0.3045|-0.2577|0.3869,2.0229|1.2951|1.9157|1.2525
r1_4_r2_2,8,8,4,4,4,2,false,10,0.96891356,1.362121,0.5,false,-0.3540681,0.107901804,0.96891356,10,-0.3540681,10,-1,1.7404949365644655,16.4600030880968,0.06563275410618118,0.0019117794,33.283,1|1|0|0,0.2252|0.6664|-0.3541|-0.3445,-0.2252|0.6664|-0.3541|0.3445,1.6113|0.8326|1.9472|1.0574
r1_4_r2_2,8,8,4,4,4,2,false,20,0.8723115,1.2303457,0.5,false,-0.31466404,0.18658248,0.8723115,20,-0.31466404,20,-1,1.659719827172304,16.40568451406402,0.0516350432725144,0.0018183127,63.706,1|1|0|0,0.3147|0.682|-0.2264|-0.6054,-0.3147|0.682|-0.2264|0.6054,1.6694|0.7664|1.6716|0.8141
r1_4_r2_2,8,8,4,4,4,2,false,30,0.71894085,1.0712317,0.75,false,-0.37095737,0.389694,0.71894085,30,-0.31466404,20,-1,1.838221715764778,16.35341007240061,0.048472324089223646,0.0017294157,93.141,1|1|1|0,0.371|0.8053|0.026|-1.0984,-0.371|0.8053|0.026|1.0984,1.7016|0.6753|1.4916|0.4164
r1_4_r2_2,8,8,4,4,4,2,false,40,0.5172635,0.9830998,0.75,false,-0.14636555,0.47772267,0.5172635,40,-0.14636555,40,-1,1.757676657620027,16.315788551421214,0.04020823525371926,0.001644865,122.594,1|1|1|0,0.1464|0.8909|0.1385|-1.0279,-0.1464|0.8909|0.1385|1.0279,1.5287|0.5961|1.4053|0.4023
r1_4_r2_2,8,8,4,4,4,2,false,50,0.37127534,0.8826338,1.0,true,0.034904987,0.62301266,0.37127534,50,0.034904987,50,50,1.5765065118018193,16.277846670746353,0.03980718903360093,0.0015644479,153.614,0|1|1|0,-0.0349|0.9575|0.2879|-1.2117,0.0349|0.9575|0.2879|1.2117,1.3752|0.5393|1.3287|0.2874
r1_4_r2_2,8,8,4,4,4,2,false,60,0.26394412,0.821771,1.0,true,0.27342018,0.6839639,0.26394412,60,0.27342018,60,50,1.4902224558982309,16.241798561360515,0.0341259244017012,0.0014879622,185.58,0|1|1|0,-0.2734|0.9127|0.3172|-1.2325,0.2734|0.9127|0.3172|1.2325,1.1997|0.5419|1.2871|0.2583
r1_4_r2_2,8,8,4,4,4,2,false,70,0.17513748,0.75595474,1.0,true,0.39668834,0.7329414,0.17513748,70,0.39668834,70,50,1.278596689350694,16.20745162069316,0.03655838365491384,0.001415216,216.946,0|1|1|0,-0.469|0.8711|0.3967|-1.195,0.469|0.8711|0.3967|1.195,1.0728|0.5293|1.1529|0.2688
r1_4_r2_2,8,8,4,4,4,2,false,80,0.16640547,0.70230544,1.0,true,0.34808517,0.80277026,0.16640547,80,0.39668834,70,50,1.3307370697602996,16.179490394441604,0.03429251678719509,0.0013460263,248.497,0|1|1|0,-0.5746|1.0491|0.3481|-1.2393,0.5746|1.0491|0.3481|1.2393,0.9873|0.432|1.1442|0.2458
r1_4_r2_2,8,8,4,4,4,2,false,90,0.13323925,0.65634334,1.0,true,0.4434675,0.8410994,0.13323925,90,0.4434675,90,50,1.3045649213942498,16.146536233019724,0.030658659033706674,0.0012802194,279.474,0|1|1|0,-0.5909|1.138|0.4435|-1.192,0.5909|1.138|0.4435|1.192,0.939|0.3884|1.0394|0.2586
r1_4_r2_2,8,8,4,4,4,2,false,100,0.04382591,0.6368171,1.0,true,0.72811705,0.8020748,0.04382591,100,0.72811705,100,50,1.9142204997965702,16.11626913585694,0.04920657363016228,0.0012176296,310.34,0|1|1|0,-0.7406|0.8792|0.7281|-0.8605,0.7406|0.8792|0.7281|0.8605,0.8152|0.494|0.7766|0.4614
