config,input_side,hidden1_side,hidden2_side,output_side,layer1_radius,layer2_radius,periodic,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
r1_1_r2_1,8,8,4,4,1,1,false,0.5214654,0.75,100,-0.025036372,90,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_1_r2_1
r1_1_r2_2,8,8,4,4,1,2,false,0.048765138,1.0,100,0.90207064,100,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_1_r2_2
r1_2_r2_1,8,8,4,4,2,1,false,0.53570175,1.0,100,0.05667253,90,70,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_2_r2_1
r1_2_r2_2,8,8,4,4,2,2,false,0.13610634,1.0,100,0.5195977,100,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_2_r2_2
r1_3_r2_1,8,8,4,4,3,1,false,0.6100608,0.75,90,-0.3951997,100,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_3_r2_1
r1_3_r2_2,8,8,4,4,3,2,false,0.14361715,1.0,70,0.549888,70,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_3_r2_2
r1_4_r2_1,8,8,4,4,4,1,false,0.3968,1.0,90,0.27768463,80,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_4_r2_1
r1_4_r2_2,8,8,4,4,4,2,false,0.04382591,1.0,100,0.72811705,100,50,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_4_r2_2
r1_5_r2_1,8,8,4,4,5,1,false,0.38968644,0.75,100,0.10481049,30,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_5_r2_1
r1_5_r2_2,8,8,4,4,5,2,false,0.26857924,1.0,80,0.2688864,80,80,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\checkerboard-local-cnn-two-hidden-layers\experiments\current\input_8x8_hidden1_8x8_hidden2_4x4_output_4x4_two_class\r1_5_r2_2
