config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r7,8,7,false,0,0.07100523,0.6905217,1.0,true,0.894343,1.1753404,0.07100523,0,0.894343,0,0,NaN,26.42223998121658,NaN,0.001,10.678,0|1|1|0,-1.2816|1.0961|1.4293|-0.8943,1.2816|1.0961|1.4293|0.8943,0.5174|0.7523|0.4971|0.9953
h8_r7,8,7,false,10,0.06282423,0.69261336,1.0,true,0.8844873,1.1676999,0.06282423,10,0.894343,0,0,0.3883169460966146,26.366384247024065,0.05060186936089753,0.0009821437,44.248,0|1|1|0,-1.2495|1.1427|1.3942|-0.8845,1.2495|1.1427|1.3942|0.8845,0.5266|0.7477|0.501|0.9952
h8_r7,8,7,false,20,0.082836345,0.6872019,1.0,true,0.86014515,1.2007066,0.06282423,10,0.894343,0,0,0.2933167996858534,26.300725264031456,0.04188218373847957,0.00096267683,74.924,0|1|1|0,-1.3496|1.2138|1.3793|-0.8601,1.3496|1.2138|1.3793|0.8601,0.5057|0.7421|0.5007|1.0002
h8_r7,8,7,false,30,0.092593126,0.6835253,1.0,true,0.91451645,1.2258463,0.06282423,10,0.91451645,30,0,0.18887024120556464,26.24169325412806,0.03704967999116203,0.0009435959,105.731,0|1|1|0,-1.3998|1.1726|1.4165|-0.9145,1.3998|1.1726|1.4165|0.9145,0.4992|0.7446|0.4972|0.9931
h8_r7,8,7,false,40,0.10561261,0.6818343,1.0,true,0.9554761,1.2521394,0.06282423,10,0.9554761,40,0,0.21570363925815889,26.18848004020864,0.03322997305011449,0.0009248932,135.741,0|1|1|0,-1.4161|1.1694|1.4676|-0.9555,1.4161|1.1694|1.4676|0.9555,0.4975|0.7443|0.495|0.9906
h8_r7,8,7,false,50,0.100617625,0.6824545,1.0,true,0.9541341,1.242815,0.06282423,10,0.9554761,40,0,0.1895376095722981,26.126244036244596,0.03437471267731837,0.0009065611,166.812,0|1|1|0,-1.4271|1.1469|1.4431|-0.9541,1.4271|1.1469|1.4431|0.9541,0.4974|0.7471|0.4959|0.9894
h8_r7,8,7,false,60,0.086917505,0.68510026,1.0,true,0.91063154,1.2221594,0.06282423,10,0.9554761,40,0,0.25486014254371814,26.06734723359619,0.033550073125412395,0.00088859245,197.755,0|1|1|0,-1.4275|1.2233|1.3273|-0.9106,1.4275|1.2233|1.3273|0.9106,0.4969|0.7416|0.5084|0.9935
h8_r7,8,7,false,70,0.10490657,0.6839724,1.0,true,0.8797592,1.2362459,0.06282423,10,0.9554761,40,0,0.11371948713256065,26.009527954839815,0.030164165714875756,0.00087098,228.423,0|1|1|0,-1.4031|1.2227|1.4394|-0.8798,1.4031|1.2227|1.4394|0.8798,0.5002|0.7421|0.4962|0.9973
h8_r7,8,7,false,80,0.1072855,0.68227977,1.0,true,0.9220697,1.2454417,0.06282423,10,0.9554761,40,0,0.15475047712799433,25.954825256617745,0.029309822241584696,0.00085371645,259.832,0|1|1|0,-1.4178|1.1752|1.4667|-0.9221,1.4178|1.1752|1.4667|0.9221,0.4976|0.7446|0.495|0.9919
h8_r7,8,7,false,90,0.11127615,0.6815217,1.0,true,0.92721915,1.2587564,0.06282423,10,0.9554761,40,0,0.20894426335220967,25.8988829147218,0.029118160700379647,0.00083679525,290.15,0|1|1|0,-1.4523|1.2268|1.4287|-0.9272,1.4523|1.2268|1.4287|0.9272,0.4957|0.7418|0.4967|0.9919
h8_r7,8,7,false,100,0.105270304,0.6817344,1.0,true,0.95161116,1.253264,0.06282423,10,0.9554761,40,0,0.07610127955690446,25.839544652936393,0.029528543306304705,0.0008202094,321.381,0|1|1|0,-1.4154|1.1861|1.46|-0.9516,1.4154|1.1861|1.46|0.9516,0.4981|0.7434|0.4952|0.9903
h8_r7,8,7,false,110,0.10687993,0.6830822,1.0,true,0.94241405,1.2420995,0.06282423,10,0.9554761,40,0,0.11273369325628628,25.78230466592773,0.035828825948756686,0.0008039523,352.678,0|1|1|0,-1.4398|1.1214|1.4648|-0.9424,1.4398|1.1214|1.4648|0.9424,0.496|0.7503|0.4952|0.9908
h8_r7,8,7,false,120,0.10686374,0.68740225,1.0,true,0.8673941,1.234707,0.06282423,10,0.9554761,40,0,0.3964995771227839,25.72974139561368,0.03883377255032471,0.0007880173,383.363,0|1|1|0,-1.4649|1.2333|1.3732|-0.8674,1.4649|1.2333|1.3732|0.8674,0.4946|0.7415|0.5017|1.0118
h8_r7,8,7,false,130,0.11540091,0.6816968,1.0,true,0.9508384,1.2670761,0.06282423,10,0.9554761,40,0,0.5084315121795752,25.681629261847245,0.028178054014978814,0.00077239826,414.92,0|1|1|0,-1.4478|1.2036|1.4661|-0.9508,1.4478|1.2036|1.4661|0.9508,0.4961|0.7427|0.4949|0.9931
