config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r9,8,9,false,0,0.13878831,0.61831343,1.0,true,1.2217956,1.3511702,0.13878831,0,1.2217956,0,0,NaN,25.43955861602408,NaN,0.0005,10.715,0|1|1|0,-1.2218|1.2319|1.4753|-1.4757,1.2218|1.2319|1.4753|1.4757,0.7423|0.742|0.4946|0.4943
h8_r9,8,9,false,10,0.13906044,0.6182523,1.0,true,1.2235798,1.3520712,0.13878831,0,1.2235798,10,0,0.05111005366567813,25.408019282259218,0.027531458518448838,0.00049551803,43.358,0|1|1|0,-1.2236|1.235|1.4809|-1.4688,1.2236|1.235|1.4809|1.4688,0.7422|0.7415|0.4947|0.4946
h8_r9,8,9,false,20,0.13512585,0.61835474,1.0,true,1.226045,1.3471904,0.13512585,20,1.226045,20,0,0.07796844651501442,25.372254171403085,0.021958033676420644,0.00049058517,73.317,0|1|1|0,-1.2269|1.226|1.4725|-1.4634,1.2269|1.226|1.4725|1.4634,0.7421|0.7417|0.4946|0.495
h8_r9,8,9,false,30,0.13577104,0.6183318,1.0,true,1.2240089,1.3478324,0.13512585,20,1.226045,20,0,0.11165579459195986,25.34041429573888,0.01837464953315591,0.00048570137,103.815,0|1|1|0,-1.224|1.2287|1.477|-1.4616,1.224|1.2287|1.477|1.4616,0.7421|0.7417|0.4945|0.495
h8_r9,8,9,false,40,0.13865292,0.6183232,1.0,true,1.2162082,1.3498132,0.13512585,20,1.226045,20,0,0.05238806073141958,25.307996561193978,0.018823362262258735,0.00048086623,133.726,0|1|1|0,-1.2162|1.2284|1.4753|-1.4794,1.2162|1.2284|1.4753|1.4794,0.7422|0.7419|0.4947|0.4945
h8_r9,8,9,false,50,0.13310896,0.6186487,1.0,true,1.1995678,1.3412588,0.13310896,50,1.226045,20,0,0.10314334648389488,25.273293807551333,0.017837607625827583,0.0004760792,164.518,0|1|1|0,-1.1996|1.2256|1.4666|-1.4733,1.1996|1.2256|1.4666|1.4733,0.743|0.7422|0.4946|0.4948
h8_r9,8,9,false,60,0.11857444,0.6197337,1.0,true,1.2272339,1.327913,0.11857444,60,1.2272339,60,0,0.09836099486195043,25.239191442436677,0.021349682484903702,0.00047133985,194.803,0|1|1|0,-1.2272|1.2331|1.3712|-1.4802,1.2272|1.2331|1.3712|1.4802,0.7415|0.7417|0.5014|0.4943
h8_r9,8,9,false,70,0.13491096,0.61860406,1.0,true,1.183786,1.3396912,0.11857444,60,1.2272339,60,0,0.1591410560770615,25.209518766247427,0.017877712939096572,0.00046664767,225.32,0|1|1|0,-1.2172|1.1838|1.4781|-1.4797,1.2172|1.1838|1.4781|1.4797,0.7422|0.7435|0.4945|0.4942
h8_r9,8,9,false,80,0.13111469,0.618447,1.0,true,1.2224491,1.3433182,0.11857444,60,1.2272339,60,0,0.24883627496424426,25.182889379109554,0.020516901613327677,0.00046200218,256.788,0|1|1|0,-1.2224|1.2344|1.4653|-1.4512,1.2224|1.2344|1.4653|1.4512,0.7422|0.7414|0.4951|0.4951
h8_r9,8,9,false,90,0.13871896,0.6183272,1.0,true,1.2169453,1.3498461,0.11857444,60,1.2272339,60,0,0.08855106383365285,25.15993883086078,0.017029423856387588,0.00045740296,286.46,0|1|1|0,-1.2169|1.2274|1.4733|-1.4817,1.2169|1.2274|1.4733|1.4817,0.7421|0.7417|0.4949|0.4946
h8_r9,8,9,false,100,0.13211827,0.6183588,1.0,true,1.2304592,1.3453987,0.11857444,60,1.2304592,100,0,0.06172174517389634,25.134421332948715,0.015697954339848597,0.00045284952,317.297,0|1|1|0,-1.2345|1.2305|1.4696|-1.4471,1.2345|1.2305|1.4696|1.4471,0.7416|0.7418|0.4949|0.4952
