config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r1_open,8,1,false,0,0.94798607,0.9746528,0.75,false,-0.05019881,0.028035581,0.94798607,0,-0.05019881,0,-1,NaN,5.86328612955743,NaN,5.117,0|0|1|0,-0.0025|-0.0502|0.0584|-0.1015,0.0025|-0.0502|0.0584|0.1015,0.995|1.1029|0.8866|0.8074
h8_r1_open,8,1,false,1,0.92320323,0.9492612,0.5,false,-0.07117976,0.043879803,0.92320323,1,-0.05019881,0,-1,0.637282677614387,5.861979238972493,0.08689390977537366,8.901,0|0|1|1,-0.1848|-0.0712|0.0677|0.0058,0.1848|-0.0712|0.0677|-0.0058,0.6645|1.1474|0.8692|1.0117
h8_r1_open,8,1,false,2,0.9916727,1.0091108,0.75,false,-0.048677046,0.0047253845,0.92320323,1,-0.048677046,2,-1,0.688938045724014,5.8604917555563,0.061859774480330997,9.417,0|1|1|1,-0.0425|0.0112|0.0139|0.0487,0.0425|0.0112|0.0139|-0.0487,0.9168|0.9777|0.9725|1.0997
h8_r10_open,8,10,false,0,0.9670712,1.0174242,0.75,false,-0.08602667,0.018621014,0.9670712,0,-0.08602667,0,-1,NaN,16.685221198573082,NaN,3.851,1|1|1|0,0.086|0.0271|0.0772|-0.0562,-0.086|0.0271|0.0772|0.0562,1.1795|0.9465|0.8516|0.8907
h8_r10_open,8,10,false,1,1.0396044,1.1013479,0.25,false,-0.05760827,-0.017899094,0.9670712,0,-0.05760827,1,-1,1.0498607815682273,16.684703578310696,0.24549503004837372,4.378,1|0|0|0,0.042|-0.0558|-0.0576|-0.0838,-0.042|-0.0558|-0.0576|0.0838,1.0859|1.1147|1.1185|0.8394
h8_r10_open,8,10,false,2,0.96120954,0.9997841,0.5,false,-0.07308474,0.023675144,0.96120954,2,-0.05760827,1,-1,1.0092801784702572,16.684584687996807,0.17981507085090048,4.9,1|0|1|0,0.0731|-0.0412|0.0528|-0.1563,-0.0731|-0.0412|0.0528|0.1563,1.1515|1.0842|0.8973|0.7119
h16_r1_open,16,1,false,0,1.0198755,1.0454187,0.5,false,-0.07056496,-0.009221787,1.0198755,0,-0.07056496,0,-1,NaN,9.26563241067368,NaN,4.281,0|0|0|0,-0.0128|-0.0706|-0.0031|-0.024,0.0128|-0.0706|-0.0031|0.024,0.9746|1.1461|1.0062|0.9526
h16_r1_open,16,1,false,1,0.97505015,0.99534297,0.5,false,-0.019051194,0.013198681,0.97505015,1,-0.019051194,1,-1,0.5451422625097808,9.266103387998124,0.15050270808514576,7.745,0|0|0|0,-0.0227|-0.0185|-0.0191|-0.0676,0.0227|-0.0185|-0.0191|0.0676,0.9551|1.0373|1.0385|0.8693
h16_r1_open,16,1,false,2,0.96248436,0.9818968,0.75,false,-0.0121366335,0.01924159,0.96248436,2,-0.0121366335,2,-1,0.5849100386903513,9.267855345234695,0.10761845548128547,9.122,0|1|0|0,-0.0454|0.0407|-0.0121|-0.0031,0.0454|0.0407|-0.0121|0.0031,0.9113|0.9203|1.0244|0.9939
h16_r10_open,16,10,false,0,1.0293156,1.0820693,0.25,false,-0.0590134,-0.013679723,1.0293156,0,-0.0590134,0,-1,NaN,46.01345230439409,NaN,4.394,1|0|0|0,0.059|-0.0414|-0.0053|-0.051,-0.059|-0.0414|-0.0053|0.051,1.1215|1.0845|1.0107|0.9006
h16_r10_open,16,10,false,1,1.0276088,1.0890132,0.5,false,-0.094650395,-0.011326766,1.0276088,1,-0.0590134,0,-1,1.3116253254412973,46.02082684944122,0.7415300770329554,5.878,1|0|1|0,0.0947|-0.0565|0.0208|-0.085,-0.0947|-0.0565|0.0208|0.085,1.1983|1.1163|0.9588|0.8371
h16_r10_open,16,10,false,2,1.00727,1.060904,0.25,false,-0.028126268,-0.0034655314,1.00727,2,-0.028126268,2,-1,1.3690376188572444,46.03034834486917,0.5285808322826676,7.283,1|0|1|1,0.0006|-0.0281|0.0225|0.0077,-0.0006|-0.0281|0.0225|-0.0077,1.0011|1.057|0.9555|1.0154
