config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r1_open,8,1,false,0,1.0743203,1.1072378,0.25,false,-0.078032024,-0.035251826,1.0743203,0,-0.078032024,0,-1,NaN,5.86328612955743,NaN,5.316,1|0|0|0,0.078|-0.0651|-0.0487|-0.0508,-0.078|-0.0651|-0.0487|0.0508,1.1622|1.1344|1.0997|0.9011
h8_r1_open,8,1,false,5,1.0240452,1.0473894,0.25,false,-0.0516268,-0.011520158,1.0240452,5,-0.0516268,5,-1,0.6344960740781852,5.854693116469651,0.04600700261204319,10.285,0|0|0|1,-0.0318|-0.0129|-0.0134|0.0516,0.0318|-0.0129|-0.0134|-0.0516,0.9374|1.0259|1.0269|1.1059
h8_r1_open,8,1,false,10,1.101563,1.1258413,0.25,false,-0.13015811,-0.044746608,1.0240452,5,-0.0516268,5,-1,0.6024691202631605,5.8533898468301775,0.03691176452750145,11.953,1|0|0|0,0.0569|-0.1145|-0.1302|-0.1225,-0.0569|-0.1145|-0.1302|0.1225,1.1169|1.242|1.2773|0.77
h8_r2_open,8,2,false,0,0.9882344,1.0270145,0.5,false,-0.08504392,0.007741958,0.9882344,0,-0.08504392,0,-1,NaN,9.154040802437757,NaN,3.851,0|0|0|0,-0.072|-0.085|-0.0053|-0.0493,0.072|-0.085|-0.0053|0.0493,0.8613|1.1773|1.0106|0.9037
h8_r2_open,8,2,false,5,1.0663433,1.1039344,0.25,false,-0.08114094,-0.031993162,0.9882344,0,-0.08114094,5,-1,0.8618138818460727,9.16252967652723,0.07312091642270936,5.769,1|0|1|1,0.0005|-0.0811|0.0066|0.0529,-0.0005|-0.0811|0.0066|-0.0529,1.0009|1.1689|0.9869|1.1086
h8_r2_open,8,2,false,10,0.9342197,0.9840759,0.5,false,-0.01455051,0.034877375,0.9342197,10,-0.01455051,10,-1,0.8191599787661903,9.17572845144984,0.06380448369292219,7.595,1|0|1|0,0.0146|-0.0079|0.1164|-0.0455,-0.0146|-0.0079|0.1164|0.0455,1.0293|1.0158|0.7807|0.911
h8_r3_open,8,3,false,0,0.9893655,1.0322642,0.5,false,-0.067713425,0.0073359506,0.9893655,0,-0.067713425,0,-1,NaN,11.326292281703926,NaN,3.826,0|0|0|0,-0.0767|-0.0421|-0.0677|-0.0624,0.0767|-0.0421|-0.0677|0.0624,0.8524|1.086|1.14|0.879
h8_r3_open,8,3,false,5,0.9301466,0.97587126,0.75,false,-0.06913547,0.037684057,0.9301466,5,-0.067713425,0,-1,0.9908984062690172,11.328198410322482,0.09418027209144395,6.015,0|1|1|1,-0.0458|0.0829|0.0912|0.0691,0.0458|0.0829|0.0912|-0.0691,0.9104|0.8411|0.826|1.1431
h8_r3_open,8,3,false,10,0.92716306,0.96321964,0.75,false,-0.107738934,0.041433446,0.92716306,10,-0.067713425,0,-1,0.9619537190429519,11.34110382574501,0.0820610185378317,7.934,0|1|1|1,-0.1308|0.0466|0.0961|0.1077,0.1308|0.0466|0.0961|-0.1077,0.7556|0.9091|0.817|1.2271
h8_r4_open,8,4,false,0,1.1818175,1.228036,0.0,false,-0.13495731,-0.0867333,1.1818175,0,-0.13495731,0,-1,NaN,13.702933472150681,NaN,3.832,1|0|0|1,0.0823|-0.135|-0.0628|0.0668,-0.0823|-0.135|-0.0628|-0.0668,1.1715|1.2881|1.1295|1.1381
h8_r4_open,8,4,false,5,0.99161935,1.0245289,0.5,false,-0.05176532,0.0059030326,0.99161935,5,-0.05176532,5,-1,1.0628989536529683,13.693682384802832,0.10915994789866727,6.173,1|1|1|1,0.0449|0.0899|0.0304|0.0518,-0.0449|0.0899|0.0304|-0.0518,1.0918|0.8283|0.9402|1.1062
h8_r4_open,8,4,false,10,0.9513541,1.0068666,0.75,false,-0.016119605,0.02497145,0.9513541,10,-0.016119605,10,-1,1.0653713920162469,13.703081015643491,0.09716232801004027,8.0,0|0|1|0,-0.0407|-0.0161|0.0229|-0.0524,0.0407|-0.0161|0.0229|0.0524,0.9203|1.0325|0.9547|0.8979
h8_r5_open,8,5,false,0,1.0013847,1.0522963,0.5,false,-0.05310933,-0.00011106208,1.0013847,0,-0.05310933,0,-1,NaN,14.97555788558059,NaN,3.916,1|1|0|0,0.0069|0.0317|-0.0531|-0.0278,-0.0069|0.0317|-0.0531|0.0278,1.0139|0.9375|1.109|0.9451
