config,nn,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
nn3,3,0,1.0483127,1.2031524,0.5,false,-0.23457012,-0.00031080842,1.0483127,0,-0.23457012,0,-1,NaN,21.75361270059168,NaN,0.002,0.706,1|1|1|1,0.2021|0.2249|0.2105|0.2346,-0.2021|0.2249|0.2105|-0.2346,1.3962|0.9731|1.0127|1.4305
nn3,3,10,1.0307109,1.0943714,0.5,false,-0.19160277,-0.0014197677,1.0307109,10,-0.19160277,10,-1,0.6443097976789237,21.726709984666627,0.07770866682992678,0.0019117794,1.034,1|1|1|1,0.1433|0.1707|0.1585|0.1916,-0.1433|0.1707|0.1585|-0.1916,1.2284|0.9285|0.9319|1.2887
nn3,3,20,1.034457,1.1068546,0.5,false,-0.19307211,-0.0034170225,1.0307109,10,-0.19160277,10,-1,0.6656239272274632,21.708751632946043,0.05814129662478217,0.0018183127,1.337,1|1|1|1,0.1438|0.1498|0.1734|0.1931,-0.1438|0.1498|0.1734|-0.1931,1.2409|0.9507|0.9451|1.2907
nn3,3,30,1.050196,1.1237887,0.5,false,-0.19861026,-0.009723991,1.0307109,10,-0.19160277,10,-1,0.6294681100622875,21.690338740502288,0.05016015394858575,0.0017294157,1.622,1|1|1|1,0.1986|0.1632|0.167|0.1704,-0.1986|0.1632|0.167|-0.1704,1.3201|0.9478|0.9421|1.2852
nn3,3,40,1.0252666,1.1313204,0.5,false,-0.15975536,-0.0018821806,1.0252666,40,-0.15975536,40,-1,0.5596536570955479,21.66492388636418,0.04200376722448857,0.001644865,1.901,1|1|1|1,0.1598|0.1344|0.1543|0.1365,-0.1598|0.1344|0.1543|-0.1365,1.2959|0.996|0.9706|1.2628
nn3,3,50,1.0374858,1.1406355,0.5,false,-0.13740118,-0.011342069,1.0252666,40,-0.13740118,50,-1,0.5590640402485338,21.63675859526481,0.03750791770327958,0.0015644479,2.149,1|1|1|1,0.1274|0.1139|0.1055|0.1374,-0.1274|0.1139|0.1055|-0.1374,1.2611|1.0138|1.0226|1.265
nn3,3,60,1.0198032,1.1256385,0.5,false,-0.119704284,-0.0042651948,1.0198032,60,-0.119704284,60,-1,0.47855244708951605,21.608009322807394,0.029028025506129162,0.0014879622,2.401,1|1|1|1,0.1005|0.1039|0.0993|0.1197,-0.1005|0.1039|0.0993|-0.1197,1.2252|1.017|1.0143|1.2461
nn3,3,70,0.99037194,1.1100553,0.5,false,-0.05243168,0.006223159,0.99037194,70,-0.05243168,70,-1,0.2750160835721328,21.57954842901933,0.02806916149355809,0.001415216,2.645,1|1|1|1,0.0524|0.0735|0.0414|0.0376,-0.0524|0.0735|0.0414|-0.0376,1.1673|1.0423|1.077|1.1536
nn3,3,80,0.99681884,1.1188993,0.75,false,-0.017136112,0.0016696844,0.99037194,70,-0.017136112,80,-1,0.22459793890988636,21.550224370297315,0.02889751192710859,0.0013460263,2.902,1|1|1|0,0.0171|0.0173|0.0002|-0.0063,-0.0171|0.0173|0.0002|0.0063,1.1347|1.1102|1.1168|1.1139
nn3,3,90,1.0070184,1.1329838,0.25,false,-0.022202112,-0.003336491,0.99037194,70,-0.017136112,80,-1,0.23584270278113856,21.52521189940887,0.0233008841135004,0.0012802194,3.151,1|0|0|0,0.0024|-0.0146|-0.0222|-0.0259,-0.0024|-0.0146|-0.0222|0.0259,1.1353|1.1391|1.1489|1.1086
nn3,3,100,1.0121752,1.1325479,0.25,false,-0.031675696,-0.00587973,0.99037194,70,-0.017136112,80,-1,0.20474969814322536,21.500066003032774,0.022379820706522308,0.0012176296,3.391,1|0|0|0,0.0009|-0.013|-0.0317|-0.0221,-0.0009|-0.013|-0.0317|0.0221,1.1333|1.1418|1.1562|1.0989
nn3,3,110,0.9945651,1.128499,0.5,false,-0.024585545,0.0030388683,0.99037194,70,-0.017136112,80,-1,0.1710745258504927,21.47218546248044,0.0227431931058754,0.0011581,3.635,0|0|0|0,-0.0297|-0.0246|-0.0195|-0.0265,0.0297|-0.0246|-0.0195|0.0265,1.1038|1.1585|1.1464|1.1053
nn3,3,120,1.0047894,1.1380153,0.5,false,-0.032230936,-0.0019240472,0.99037194,70,-0.017136112,80,-1,0.19998422053793327,21.44755865400062,0.020838003702989424,0.0011014807,3.89,0|0|0|0,-0.0346|-0.0322|-0.0322|-0.0221,0.0346|-0.0322|-0.0322|0.0221,1.1066|1.1662|1.1712|1.108
nn3,3,130,0.9969727,1.1390668,0.5,false,-0.037533537,0.002314221,0.99037194,70,-0.017136112,80,-1,0.11620822069855177,21.42334442329901,0.020339959381400118,0.0010476294,4.161,0|0|0|0,-0.0536|-0.0375|-0.0358|-0.029,0.0536|-0.0375|-0.0358|0.029,1.0849|1.1746|1.1847|1.112
nn3,3,140,1.0164326,1.1530939,0.5,false,-0.055076323,-0.0072586928,0.99037194,70,-0.017136112,80,-1,0.15287261034173144,21.39782210346381,0.018687354304350125,0.000996411,4.408,0|0|0|0,-0.0283|-0.0449|-0.0551|-0.0426,0.0283|-0.0449|-0.0551|0.0426,1.1183|1.1977|1.1979|1.0985
nn3,3,150,1.0071237,1.1400055,0.5,false,-0.05145809,-0.00242088,0.99037194,70,-0.017136112,80,-1,0.14230046605548552,21.371232620984554,0.018078621877839533,0.0009476967,4.645,0|0|0|0,-0.0441|-0.0488|-0.0515|-0.0464,0.0441|-0.0488|-0.0515|0.0464,1.094|1.1947|1.1771|1.0941
nn3,3,160,1.0061468,1.1468608,0.5,false,-0.06728056,-0.0019256696,0.99037194,70,-0.017136112,80,-1,0.12348133920265787,21.348917434726417,0.016810682251055947,0.00090136396,4.896,0|0|0|0,-0.0555|-0.0259|-0.0673|-0.03,0.0555|-0.0259|-0.0673|0.03,1.0878|1.1716|1.2141|1.1139
