config,nn,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
nn1,1,1.0086442,0.5,60,-0.1212082,60,-1,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn1
nn2,2,0.9727844,0.75,40,-0.003291756,150,-1,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn2
nn3,3,0.99037194,0.5,70,-0.017136112,80,-1,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn3
nn4,4,0.922336,0.5,150,-0.08671658,0,-1,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn4
nn5,5,0.29787013,1.0,130,0.32102615,100,90,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn5
nn6,6,0.028289527,1.0,150,0.7750912,160,20,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn6
nn7,7,0.055690777,1.0,140,0.8647746,160,70,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn7
nn8,8,0.1189542,1.0,160,0.6742387,160,20,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn8
nn9,9,0.018840764,1.0,160,0.85127103,160,10,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn9
nn10,10,0.20899595,1.0,160,0.20571972,160,80,ext/IsingLearning/experiments/XOR/edge-driven-single-layer-readout/experiments/current/edge_twoclass_zero_side16_nn1to10_e160/nn10
