config,nn,seed_index,seed,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
nn1_seed01,1,1,17204,0,1.013177,1.0558779,0.5,false,-0.18884294,0.0104398765,1.013177,0,-0.18884294,0,-1,NaN,11.876007358588575,NaN,0.002,2.674,0|0|0|0,-0.2029|-0.1579|-0.1888|-0.1856,0.2029|-0.1579|-0.1888|0.1856,0.8733|1.2183|1.2453|0.8866
nn1_seed01,1,1,17204,10,1.0069667,1.0477543,0.5,false,-0.15443751,0.0084261075,1.0069667,10,-0.15443751,10,-1,0.5074535568484009,11.817490265359858,0.0442191361479529,0.0019117794,6.529,0|0|0|0,-0.1554|-0.1544|-0.1365|-0.1692,0.1554|-0.1544|-0.1365|0.1692,0.9035|1.2095|1.1853|0.8928
nn1_seed01,1,1,17204,20,1.0117862,1.0492796,0.5,false,-0.14287132,0.004454199,1.0069667,10,-0.14287132,20,-1,0.49968396570269097,11.772585326035614,0.037161122807652346,0.0018183127,6.76,0|0|0|0,-0.1542|-0.1429|-0.1356|-0.1421,0.1542|-0.1429|-0.1356|0.1421,0.8959|1.1931|1.1895|0.9186
nn1_seed01,1,1,17204,30,1.0178045,1.0464654,0.5,false,-0.13294095,-0.00089238957,1.0069667,10,-0.13294095,30,-1,0.5093842464614118,11.749983767234465,0.03534959074970777,0.0017294157,6.978,0|0|0|0,-0.126|-0.1219|-0.1329|-0.1252,0.126|-0.1219|-0.1329|0.1252,0.9147|1.1681|1.1832|0.9198
nn1_seed01,1,1,17204,40,1.0086198,1.0305891,0.5,false,-0.07741953,-0.0017837863,1.0069667,10,-0.07741953,40,-1,0.4368150662854266,11.741279775085676,0.03262565504310342,0.001644865,7.212,0|0|0|0,-0.0691|-0.0681|-0.0774|-0.0693,0.0691|-0.0681|-0.0774|0.0693,0.9569|1.0989|1.1042|0.9624
nn1_seed01,1,1,17204,50,0.973764,1.0206127,0.5,false,-0.025579954,0.0137129165,0.973764,50,-0.025579954,50,-1,0.4620728814491183,11.739531053473506,0.02906543690412501,0.0015644479,7.447,0|0|0|0,-0.0477|-0.0256|-0.0091|-0.0418,0.0477|-0.0256|-0.0091|0.0418,0.9879|1.058|1.0442|0.9924
nn1_seed01,1,1,17204,60,0.9768827,1.028907,0.75,false,-0.009098398,0.011726562,0.973764,50,-0.009098398,60,-1,0.3658761897795959,11.731044982516943,0.025284976046164767,0.0014879622,7.657,0|1|0|0,-0.0217|0.0071|-0.0091|-0.0272,0.0217|0.0071|-0.0091|0.0272,1.0191|1.034|1.0504|1.0121
nn1_seed01,1,1,17204,70,0.98887014,1.0376217,0.75,false,-0.004563121,0.0056067696,0.973764,50,-0.004563121,70,-1,0.35747315085898757,11.712299005662674,0.022140765829385473,0.001415216,7.865,0|1|0|0,-0.0024|0.0141|-0.0046|-0.0105,0.0024|0.0141|-0.0046|0.0105,1.039|1.032|1.0467|1.0328
nn1_seed01,1,1,17204,80,0.9849238,1.0394037,0.5,false,-0.037602425,0.008296195,0.973764,50,-0.004563121,70,-1,0.39668721614963925,11.695048296740204,0.020645496142628453,0.0013460263,8.074,0|0|0|0,-0.0395|-0.0376|-0.0204|-0.0517,0.0395|-0.0376|-0.0204|0.0517,1.0059|1.0882|1.0672|0.9962
nn1_seed01,1,1,17204,90,0.9930364,1.050395,0.5,false,-0.03587254,0.004059517,0.973764,50,-0.004563121,70,-1,0.3006477926857136,11.67646995292342,0.018648493953678513,0.0012802194,8.316,0|0|0|0,-0.0473|-0.0209|-0.0359|-0.0256,0.0473|-0.0209|-0.0359|0.0256,1.0042|1.0746|1.0932|1.0297
nn1_seed01,1,1,17204,100,1.0197313,1.0660292,0.25,false,-0.021057004,-0.009732585,0.973764,50,-0.004563121,70,-1,0.30991548855208795,11.65820754235341,0.01803544975043596,0.0012176296,8.538,1|0|1|1,0.0146|-0.0211|0.0126|0.0158,-0.0146|-0.0211|0.0126|-0.0158,1.0726|1.0755|1.045|1.071
nn1_seed01,1,1,17204,110,1.0065591,1.0649339,0.5,false,-0.01963673,-0.0031374134,0.973764,50,-0.004563121,70,-1,0.344916337380287,11.640289424693227,0.018407107695003918,0.0011581,8.778,1|1|1|1,0.0196|0.0104|0.0162|0.0195,-0.0196|0.0104|0.0162|-0.0195,1.0763|1.049|1.0476|1.0869
nn1_seed01,1,1,17204,120,1.0248381,1.0786166,0.5,false,-0.040645503,-0.011979027,0.973764,50,-0.004563121,70,-1,0.31273533781171686,11.621171218229186,0.016558777850865125,0.0011014807,9.001,1|1|1|1,0.0406|0.0096|0.0202|0.037,-0.0406|0.0096|0.0202|-0.037,1.1113|1.0507|1.0469|1.1055
nn1_seed01,1,1,17204,130,0.9999193,1.0729221,0.5,false,-0.0323651,0.00047685578,0.973764,50,-0.004563121,70,-1,0.2821984722585439,11.602963141461295,0.015641218946804567,0.0010476294,9.217,1|1|1|1,0.0324|0.0278|0.0319|0.0255,-0.0324|0.0278|0.0319|-0.0255,1.1053|1.0445|1.0446|1.0973
nn1_seed01,1,1,17204,140,1.0282757,1.0955129,0.5,false,-0.0672362,-0.012738195,0.973764,50,-0.004563121,70,-1,0.3003163398393985,11.58538368429396,0.014008553684294173,0.000996411,9.445,1|1|1|1,0.0672|0.0419|0.0351|0.0607,-0.0672|0.0419|0.0351|-0.0607,1.1507|1.0364|1.0518|1.1432
nn1_seed01,1,1,17204,150,0.9774357,1.0720794,0.5,false,-0.05130934,0.012663526,0.973764,50,-0.004563121,70,-1,0.2418726751427712,11.57099890878356,0.012292565252661364,0.0009476967,9.7,1|1|1|1,0.0233|0.0664|0.0589|0.0513,-0.0233|0.0664|0.0589|-0.0513,1.1074|1.0176|1.0258|1.1375
nn1_seed01,1,1,17204,160,1.0060911,1.0905389,0.5,false,-0.062106304,-0.0017402042,0.973764,50,-0.004563121,70,-1,0.20761139575419524,11.558269654758423,0.011062858842091742,0.00090136396,9.911,1|1|1|1,0.0413|0.0377|0.0588|0.0621,-0.0413|0.0377|0.0588|-0.0621,1.1352|1.0414|1.0315|1.154
nn1_seed02,1,2,27204,0,1.0878272,1.0637746,0.5,false,-0.31428918,0.00032351166,1.0878272,0,-0.31428918,0,-1,NaN,11.528484726233877,NaN,0.002,0.697,0|0|0|0,-0.3174|-0.3143|-0.2787|-0.2769,0.3174|-0.3143|-0.2787|0.2769,0.7556|1.3836|1.3396|0.7764
nn1_seed02,1,2,27204,10,1.0578824,1.0596901,0.5,false,-0.26610512,0.005704213,1.0578824,10,-0.26610512,10,-1,0.48621970810468795,11.463718401967547,0.04445852638625104,0.0019117794,0.924,0|0|0|0,-0.2722|-0.2661|-0.2487|-0.2654,0.2722|-0.2661|-0.2487|0.2654,0.7951|1.3358|1.309|0.7988
nn1_seed02,1,2,27204,20,1.0272295,1.0556911,0.5,false,-0.18010774,0.0028781518,1.0272295,20,-0.18010774,20,-1,0.47401340569882205,11.422009259855578,0.038263396556884655,0.0018183127,1.169,0|0|0|0,-0.1894|-0.1773|-0.1801|-0.1795,0.1894|-0.1773|-0.1801|0.1795,0.8723|1.2315|1.2452|0.8738
nn1_seed02,1,2,27204,30,0.996155,1.0504651,0.5,false,-0.079141535,0.005313074,0.996155,30,-0.079141535,30,-1,0.4617685165306996,11.386399143241851,0.03261824480501721,0.0017294157,1.409,0|0|0|0,-0.0824|-0.0791|-0.0744|-0.0924,0.0824|-0.0791|-0.0744|0.0924,0.9787|1.1399|1.1223|0.961
nn1_seed02,1,2,27204,40,1.005388,1.0607564,0.5,false,-0.03651642,-0.0023852536,0.996155,30,-0.03651642,40,-1,0.45340665745228814,11.356881603927418,0.030526550881235737,0.001644865,1.643,0|0|0|0,-0.0287|-0.0365|-0.0134|-0.0116,0.0287|-0.0365|-0.0134|0.0116,1.029|1.0975|1.0691|1.0474
nn1_seed02,1,2,27204,50,0.9913999,1.0610399,0.5,false,-0.0029400773,0.0043345853,0.9913999,50,-0.0029400773,50,-1,0.44935247669889355,11.323325357135804,0.029973245272397593,0.0015644479,1.871,0|0|0|0,-0.0097|-0.0029|-0.0024|-0.0129,0.0097|-0.0029|-0.0024|0.0129,1.0581|1.0647|1.0664|1.055
nn1_seed02,1,2,27204,60,0.99661833,1.0521264,0.5,false,-0.016861709,0.0018754723,0.9913999,50,-0.0029400773,50,-1,0.41040307747019794,11.294316129950575,0.028473367513441237,0.0014879622,2.101,1|1|1|1,0.0169|0.0263|0.0148|0.0168,-0.0169|0.0263|0.0148|-0.0168,1.0702|1.0304|1.0388|1.0691
nn1_seed02,1,2,27204,70,1.0289371,1.0696877,0.5,false,-0.05345664,-0.01370294,0.9913999,50,-0.0029400773,50,-1,0.3747544676913288,11.27616924304755,0.025414937785933487,0.001415216,2.33,1|1|1|1,0.0535|0.0259|0.0198|0.047,-0.0535|0.0259|0.0198|-0.047,1.1084|1.0321|1.0329|1.1054
nn1_seed02,1,2,27204,80,0.99774516,1.0544835,0.5,false,-0.09176256,0.004335043,0.9913999,50,-0.0029400773,50,-1,0.30013617166923706,11.258112038433525,0.021659085836997945,0.0013460263,2.561,1|1|1|1,0.0918|0.0799|0.0869|0.0576,-0.0918|0.0799|0.0869|-0.0576,1.1474|0.9776|0.9745|1.1185
nn1_seed02,1,2,27204,90,0.99537843,1.0589044,0.5,false,-0.045599125,0.003395387,0.9913999,50,-0.0029400773,50,-1,0.3266284054776813,11.245896671922893,0.017852236258450806,0.0012802194,2.795,1|1|1|1,0.0395|0.0584|0.0404|0.0456,-0.0395|0.0584|0.0404|-0.0456,1.1023|1.0079|1.015|1.1104
nn1_seed02,1,2,27204,100,1.0107517,1.0630331,0.5,false,-0.08459192,-0.0030548815,0.9913999,50,-0.0029400773,50,-1,0.29875622301922544,11.234114218113728,0.0168864717443395,0.0012176296,3.033,1|1|1|1,0.0846|0.0621|0.0664|0.0561,-0.0846|0.0621|0.0664|-0.0561,1.1423|0.9979|0.9947|1.1173
nn1_seed02,1,2,27204,110,1.0004618,1.0575382,0.5,false,-0.06705844,0.0016835388,0.9913999,50,-0.0029400773,50,-1,0.27158057614690756,11.22264435313066,0.014822600066478075,0.0011581,3.264,1|1|1|1,0.052|0.0526|0.0732|0.0671,-0.052|0.0526|0.0732|-0.0671,1.106|1.0103|0.9893|1.1246
nn1_seed02,1,2,27204,120,1.0248834,1.0666838,0.5,false,-0.077329,-0.010846124,0.9913999,50,-0.0029400773,50,-1,0.1987210020767641,11.217189159571197,0.01472475219883222,0.0011014807,3.513,1|1|1|1,0.0537|0.0388|0.0489|0.0773,-0.0537|0.0388|0.0489|-0.0773,1.1096|1.0158|1.004|1.1374
nn1_seed02,1,2,27204,130,0.98412323,1.0523485,0.5,false,-0.043751165,0.009359946,0.98412323,130,-0.0029400773,50,-1,0.28694273855354263,11.212875145597659,0.014673632570829896,0.0010476294,3.759,1|1|1|1,0.0438|0.0644|0.0593|0.0424,-0.0438|0.0644|0.0593|-0.0424,1.1023|0.9994|1.0005|1.1072
nn1_seed02,1,2,27204,140,0.9913779,1.0544053,0.5,false,-0.059182487,0.0061354227,0.98412323,130,-0.0029400773,50,-1,0.2615423034746108,11.208656467095567,0.014550078498268186,0.000996411,4.017,1|1|1|1,0.0485|0.0674|0.0648|0.0592,-0.0485|0.0674|0.0648|-0.0592,1.1057|0.9904|0.9997|1.1219
nn1_seed02,1,2,27204,150,0.9917921,1.0547814,0.5,false,-0.0653525,0.0065420168,0.98412323,130,-0.0029400773,50,-1,0.2110268085881726,11.202800155463017,0.012575175428371079,0.0009476967,4.271,1|1|1|1,0.0654|0.0804|0.0715|0.0604,-0.0654|0.0804|0.0715|-0.0604,1.1244|0.9819|0.9901|1.1228
nn1_seed02,1,2,27204,160,1.0012218,1.0638323,0.5,false,-0.077759475,0.0020224042,0.98412323,130,-0.0029400773,50,-1,0.1446798501453838,11.198372954305928,0.010911045161002483,0.00090136396,4.516,1|1|1|1,0.0778|0.072|0.0767|0.0629,-0.0778|0.072|0.0767|-0.0629,1.1417|0.9934|0.9911|1.1291
nn1_seed03,1,3,37204,0,1.0462414,1.0455037,0.5,false,-0.2609089,0.009801205,1.0462414,0,-0.2609089,0,-1,NaN,11.540096538807637,NaN,0.002,0.721,1|1|1|1,0.2609|0.2522|0.2794|0.2315,-0.2609|0.2522|0.2794|-0.2315,1.3225|0.8024|0.7801|1.277
nn1_seed03,1,3,37204,10,1.0032437,1.0240909,0.5,false,-0.09216139,0.0014612982,1.0032437,10,-0.09216139,10,-1,0.4130403750568197,11.450590053496903,0.04380457515074526,0.0019117794,0.964,1|1|1|1,0.0922|0.0906|0.0667|0.0593,-0.0922|0.0906|0.0667|-0.0593,1.1164|0.9355|0.9612|1.0833
nn1_seed03,1,3,37204,20,1.0279802,1.0481625,0.25,false,-0.028961215,-0.013779311,1.0032437,10,-0.028961215,20,-1,0.5035699121110339,11.387757242523588,0.036559783157559304,0.0018183127,1.194,1|0|0|0,0.0282|-0.0039|-0.029|-0.006,-0.0282|-0.0039|-0.029|0.006,1.059|1.039|1.0634|1.0312
nn1_seed03,1,3,37204,30,0.979285,1.0308484,0.5,false,-0.008427711,0.010532614,0.979285,30,-0.008427711,30,-1,0.43671322650180217,11.33121927028893,0.03374522858133368,0.0017294157,1.421,0|0|0|0,-0.0282|-0.0008|-0.0084|-0.0231,0.0282|-0.0008|-0.0084|0.0231,1.0148|1.0366|1.0523|1.0198
nn1_seed03,1,3,37204,40,1.0026344,1.0503246,0.5,false,-0.030675665,-0.001036061,0.979285,30,-0.008427711,30,-1,0.384968273416158,11.303388604003025,0.03086219945186594,0.001644865,1.644,0|0|0|0,-0.0019|-0.0101|-0.0307|-0.0347,0.0019|-0.0101|-0.0307|0.0347,1.0468|1.0584|1.0787|1.0174
nn1_seed03,1,3,37204,50,0.990831,1.0563653,0.5,false,-0.017376535,0.0047244616,0.979285,30,-0.008427711,30,-1,0.36440032952735524,11.28539117692042,0.028828428197057148,0.0015644479,1.879,1|1|1|1,0.0174|0.0198|0.0203|0.0038,-0.0174|0.0198|0.0203|-0.0038,1.0796|1.0405|1.0402|1.0652
nn1_seed03,1,3,37204,60,0.99457633,1.0582749,0.5,false,-0.02772171,0.0030596284,0.979285,30,-0.008427711,30,-1,0.3074268418217425,11.26850792851736,0.025602381550681615,0.0014879622,2.11,1|1|1|1,0.0277|0.009|0.0425|0.0115,-0.0277|0.009|0.0425|-0.0115,1.0885|1.0548|1.0193|1.0705
nn1_seed03,1,3,37204,70,1.0127796,1.06707,0.25,false,-0.018355384,-0.0063258,0.979285,30,-0.008427711,30,-1,0.3145204910242262,11.251616976351423,0.02324077127052735,0.001415216,2.34,1|1|0|1,0.0079|0.008|-0.0184|0.007,-0.0079|0.008|-0.0184|-0.007,1.0684|1.0519|1.0799|1.0681
nn1_seed03,1,3,37204,80,1.002746,1.0654894,0.5,false,-0.008122891,-0.0013620518,0.979285,30,-0.008122891,80,-1,0.28478818157847685,11.240956380210577,0.02099363734048129,0.0013460263,2.577,0|1|0|1,-0.0003|0.0043|-0.0081|0.0019,0.0003|0.0043|-0.0081|-0.0019,1.0645|1.0554|1.0707|1.0713
nn1_seed03,1,3,37204,90,0.9985223,1.06221,0.75,false,-0.017823875,0.00080331415,0.979285,30,-0.008122891,80,-1,0.2953658015473187,11.228692794360223,0.019226353507056974,0.0012802194,2.826,0|0|1|0,-0.0127|-0.0178|0.0051|-0.0032,0.0127|-0.0178|0.0051|0.0032,1.0537|1.08|1.0555|1.0597
