nn,runs,solved,solved_fraction,best_mse,mean_best_mse,best_min_margin,mean_best_min_margin
1,5,0,0.0,0.96767414,0.98043966,0.012652837,-0.011623505
2,5,0,0.0,0.9688866,0.97471046,0.0037822574,-0.030856982
3,5,0,0.0,0.98553187,0.9957339,-0.017770458,-0.04352265
4,5,0,0.0,0.7583435,0.80852807,0.04948321,-0.043842528
5,5,0,0.0,0.1776464,0.2366757,0.4574963,0.333636
6,5,3,0.6,0.0055238684,0.06615505,0.9499781,0.68326676
7,5,3,0.6,0.036502425,0.09422101,0.94298995,0.64009225
8,5,2,0.4,0.017345328,0.10212964,1.0316885,0.7381967
9,5,5,1.0,0.024109202,0.060432218,1.2039465,1.0030867
10,5,3,0.6,0.030518932,0.10129045,1.2100981,0.8362505
