config,nn,seed_index,seed,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
nn9_seed01,9,1,18012,0.24657524,1.0,6500,1.5931969,2500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn9_seed01
nn9_seed02,9,2,28012,0.22835244,1.0,500,1.3653103,8500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn9_seed02
nn9_seed03,9,3,38012,0.15825711,1.0,9500,1.3703163,3500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn9_seed03
nn9_seed04,9,4,48012,0.07730617,1.0,500,1.6026404,8500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn9_seed04
nn9_seed05,9,5,58012,0.19087029,1.0,9500,1.7590315,3500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn9_seed05
nn10_seed01,10,1,18113,0.12462932,1.0,500,1.5644664,5500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn10_seed01
nn10_seed02,10,2,28113,0.11018009,1.0,9500,1.3689954,8000,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn10_seed02
nn10_seed03,10,3,38113,0.28581786,1.0,500,1.6305202,10000,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn10_seed03
nn10_seed04,10,4,48113,0.1591325,1.0,500,1.729882,5000,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn10_seed04
nn10_seed05,10,5,58113,0.22141808,1.0,1000,1.3621593,2500,500,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn9to10_seeds1to5_e10000\nn10_seed05
