epoch,mse,accuracy,predictions,scores
0,1.115435,0.5,1|1|1|1,-0.056|-0.1643|0.331|0.046|-0.0103|-0.1275|0.343|0.0365
20,1.0329201,0.75,1|2|1|1,0.0575|-0.2105|0.1199|0.1883|0.0494|-0.1955|0.2438|0.2213
40,1.077026,0.5,1|2|1|2,-0.0064|-0.2129|0.1091|0.2891|0.0708|-0.2463|0.127|0.2886
60,1.0374457,0.5,2|2|1|1,-0.2024|-0.0869|-0.1047|0.3112|0.0509|-0.205|0.1872|0.1569
80,0.9026095,0.75,1|2|1|1,-0.0029|-0.116|-0.0816|0.2601|0.0081|-0.1197|0.1542|-0.0077
100,1.0695504,0.5,2|2|1|1,-0.2698|0.2685|-0.1565|0.2948|0.1949|-0.2296|0.3195|-0.1721
120,1.1325924,0.5,2|2|1|1,-0.2445|0.1863|-0.2271|0.2643|0.1893|-0.3204|0.1124|-0.0008
140,0.9799932,0.75,1|2|1|1,0.0511|-0.0538|-0.0086|0.0841|0.1496|-0.1579|0.1378|-0.1029
160,1.1287626,0.5,2|2|1|1,-0.2217|0.1737|-0.0697|0.1322|0.1108|-0.1596|0.0213|-0.0027
180,0.98125905,0.5,2|2|1|1,-0.2938|0.2171|-0.1992|0.173|0.0876|-0.0874|0.3158|-0.2715
200,0.94459105,0.75,1|2|1|1,0.1197|-0.1417|-0.2693|0.3063|0.2866|-0.3185|0.1045|-0.0919
220,0.91369414,0.75,1|2|1|1,0.0005|-0.0243|-0.1099|0.1502|0.1678|-0.1922|0.2817|-0.2686
240,1.0135628,0.25,2|1|1|1,-0.2061|0.1883|0.0668|-0.0588|0.003|-0.022|0.3203|-0.3171
260,0.8709781,0.75,2|2|2|1,-0.0752|0.0887|-0.0908|0.115|-0.0363|0.0381|0.2439|-0.2367
280,1.0036943,0.75,2|2|2|1,-0.335|0.2966|-0.0136|0.0114|-0.2127|0.2158|0.1762|-0.1641
300,1.0710216,0.25,2|1|1|1,-0.3748|0.3529|0.0187|0.0063|0.0265|-0.0505|0.4314|-0.4184
