config,nn,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
nn8,8,0,1.1196226,1.3741747,0.5,false,-0.32990518,-0.02891453,1.1196226,0,-0.32990518,0,-1,NaN,40.66947085191791,NaN,0.002,0.724,0|0|0|0,-0.3355|-0.1567|-0.3299|-0.0354,0.3355|-0.1567|-0.3299|0.0354,1.1346|1.3627|1.4467|1.5528
nn8,8,10,0.64057034,1.0935671,0.75,false,-0.13385443,0.24306388,0.64057034,10,-0.13385443,10,-1,1.1058004575804663,40.62303330576063,0.16210453761593158,0.0019117794,1.302,0|1|1|1,-0.1679|0.5705|0.3676|0.1339,0.1679|0.5705|0.3676|-0.1339,1.2829|0.7426|0.7529|1.5958
nn8,8,20,0.39233762,0.9027618,1.0,true,0.10620074,0.515982,0.39233762,20,0.10620074,20,20,1.3164983428527393,40.59694193330253,0.13489659482846553,0.0018183127,1.735,0|1|1|0,-0.1335|0.9581|0.8661|-0.1062,0.1335|0.9581|0.8661|0.1062,1.3406|0.5029|0.4272|1.3404
nn8,8,30,0.30958202,0.7961097,1.0,true,0.0902766,0.71998006,0.30958202,30,0.10620074,20,20,1.2631349911830199,40.56709816002372,0.10913505802142338,0.0017294157,2.148,0|1|1|0,-0.0903|1.0626|1.2934|-0.4337,0.0903|1.0626|1.2934|0.4337,1.3845|0.414|0.2385|1.1474
nn8,8,40,0.3347274,0.74848217,1.0,true,0.108386755,0.8284632,0.30958202,30,0.108386755,40,20,1.2073986889215176,40.52140186110375,0.07415285447758695,0.001644865,2.582,0|1|1|0,-0.1084|1.2252|1.4866|-0.4936,0.1084|1.2252|1.4866|0.4936,1.3861|0.2979|0.1867|1.1233
nn8,8,50,0.32375813,0.7142867,1.0,true,0.1908515,0.86068314,0.30958202,30,0.1908515,50,20,1.155375794546318,40.46591900088193,0.058818707168212074,0.0015644479,3.016,0|1|1|0,-0.1909|1.3029|1.4976|-0.4514,0.1909|1.3029|1.4976|0.4514,1.3089|0.2475|0.182|1.1187
nn8,8,60,0.3031018,0.6698307,1.0,true,0.2541738,0.90366083,0.3031018,60,0.2541738,60,20,1.0951142658203512,40.40274842233044,0.06382134407961824,0.0014879622,3.444,0|1|1|0,-0.2542|1.306|1.5569|-0.4976,0.2542|1.306|1.5569|0.4976,1.231|0.2389|0.1357|1.0737
nn8,8,70,0.27863625,0.64828515,1.0,true,0.28674117,0.90515846,0.27863625,70,0.28674117,70,20,1.0961524735569566,40.3363528632013,0.056865123910483824,0.001415216,3.853,0|1|1|0,-0.2867|1.2715|1.5461|-0.5164,0.2867|1.2715|1.5461|0.5164,1.1698|0.2477|0.1269|1.0487
nn8,8,80,0.25642776,0.6318649,1.0,true,0.3266698,0.907736,0.25642776,80,0.3266698,80,20,1.0724949548064677,40.27219702866513,0.04846193328011466,0.0013460263,4.292,0|1|1|0,-0.3267|1.2261|1.5481|-0.5301,0.3267|1.2261|1.5481|0.5301,1.1091|0.2661|0.1239|1.0284
nn8,8,90,0.21348211,0.6041804,1.0,true,0.39982724,0.941571,0.21348211,90,0.39982724,90,20,1.0371960964691405,40.20317358139311,0.04598502351891384,0.0012802194,4.744,0|1|1|0,-0.3998|1.2495|1.5193|-0.5977,0.3998|1.2495|1.5193|0.5977,1.0383|0.2524|0.1229|1.0031
