config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r8_open,8,8,false,0,0.9602821,0.9797524,0.75,false,-0.007861748,0.020230114,0.9602821,0,-0.007861748,0,-1,NaN,16.56006302089033,NaN,4.681,0|1|1|1,-0.0428|0.0199|0.0261|0.0079,0.0428|0.0199|0.0261|-0.0079,0.9163|0.9606|0.9485|1.0158
h8_r8_open,8,8,false,5,1.0195167,1.0431851,0.5,false,-0.05542972,-0.008811037,0.9602821,0,-0.007861748,0,-1,0.10759095843303151,16.595668990674852,0.36859957083601036,8.933,0|1|0|1,-0.0052|0.0542|-0.0392|0.0554,0.0052|0.0542|-0.0392|-0.0554,0.9896|0.8945|1.08|1.1139
h8_r8_open,8,8,false,10,1.025732,1.0474117,0.25,false,-0.029124472,-0.012698585,0.9602821,0,-0.007861748,0,-1,0.10424490215909682,16.638103168654208,0.2755787389559914,9.52,1|0|1|1,0.0291|-0.0046|0.0042|0.0213,-0.0291|-0.0046|0.0042|-0.0213,1.0591|1.0091|0.9917|1.043
h8_r8_open,8,8,false,15,1.0267549,1.0415083,0.25,false,-0.06270053,-0.0117222145,0.9602821,0,-0.007861748,0,-1,0.10738184356391074,16.68888706343283,0.2318720364445498,10.228,1|0|0|0,0.0578|-0.0035|-0.0627|-0.0772,-0.0578|-0.0035|-0.0627|0.0772,1.119|1.007|1.1293|0.8516
h8_r8_open,8,8,false,20,0.95757174,0.97601616,1.0,true,0.008090292,0.02148389,0.95757174,20,0.008090292,20,20,0.1038080798591246,16.757885343664523,0.22085112276640398,10.898,0|1|1|0,-0.0081|0.0207|0.0246|-0.0325,0.0081|0.0207|0.0246|0.0325,0.9839|0.9591|0.9513|0.936
h8_r8_open,8,8,false,25,0.9447095,0.96643853,1.0,true,0.0036206658,0.02833941,0.9447095,25,0.008090292,20,20,0.11565240103576893,16.829185856185415,0.21062694753827477,11.572,0|1|1|0,-0.0165|0.0036|0.0681|-0.0252,0.0165|0.0036|0.0681|0.0252,0.9673|0.9928|0.8685|0.9503
h8_r8_open,8,8,false,30,1.0317466,1.0526694,0.5,false,-0.050716944,-0.015491614,0.9447095,25,0.008090292,20,20,0.11657250679721701,16.906719321119784,0.20317465835397994,12.324,0|0|0|0,-0.0069|-0.0507|-0.0207|-0.0025,0.0069|-0.0507|-0.0207|0.0025,0.9863|1.104|1.0418|0.9949
h8_r8_open,8,8,false,35,0.9695402,0.99159163,0.5,false,-0.017590338,0.015685208,0.9447095,25,0.008090292,20,20,0.11120613424756819,16.97339478039363,0.1923817184339677,12.98,1|1|1|1,0.0176|0.0435|0.038|0.0011,-0.0176|0.0435|0.038|-0.0011,1.0355|0.915|0.9255|1.0022
h8_r8_open,8,8,false,40,0.9611356,0.982958,0.75,false,-0.0052572703,0.01973746,0.9447095,25,0.008090292,20,20,0.11872512249362929,17.032601903053173,0.19094199690385322,13.694,0|1|1|1,-0.0244|0.026|0.0338|0.0053,0.0244|0.026|0.0338|-0.0053,0.9518|0.9487|0.9335|1.0105
h8_r9_open,8,9,false,0,1.0428807,1.0615894,0.25,false,-0.058655273,-0.020416997,1.0428807,0,-0.058655273,0,-1,NaN,16.383450489783034,NaN,3.244,0|0|0|1,-0.0475|-0.0341|-0.0587|0.0364,0.0475|-0.0341|-0.0587|-0.0364,0.9072|1.0694|1.1208|1.0741
h8_r9_open,8,9,false,5,0.96238154,0.9835968,0.75,false,-0.05677288,0.020379681,0.96238154,5,-0.05677288,5,-1,0.11211381115925556,16.476420807534417,0.3716880857528143,3.938,1|1|1|0,0.0568|0.0773|0.058|-0.003,-0.0568|0.0773|0.058|0.003,1.1168|0.8515|0.8874|0.9939
h8_r9_open,8,9,false,10,0.9625561,0.9817427,1.0,true,0.0056332564,0.018990839,0.96238154,5,0.0056332564,10,10,0.11081861301042746,16.55954148841811,0.2749954797633343,4.637,0|1|1|0,-0.0056|0.014|0.0151|-0.0411,0.0056|0.014|0.0151|0.0411,0.9888|0.9721|0.9699|0.9194
h8_r9_open,8,9,false,15,1.0038185,1.0246252,0.75,false,-0.045453165,-0.0015561888,0.96238154,5,0.0056332564,10,10,0.11120446347418293,16.633390446159044,0.23945499002498902,5.393,0|1|1|1,-0.024|0.0019|0.0133|0.0455,0.024|0.0019|0.0133|-0.0455,0.9525|0.9963|0.9735|1.093
h8_r9_open,8,9,false,20,1.0488889,1.0705622,0.0,false,-0.034563232,-0.024121638,0.96238154,5,0.0056332564,10,10,0.10565265322449618,16.70954770108994,0.22223581808110215,6.092,1|0|0|1,0.0193|-0.014|-0.0286|0.0346,-0.0193|-0.014|-0.0286|-0.0346,1.039|1.0282|1.0581|1.0703
h8_r9_open,8,9,false,25,0.97334975,0.9991118,0.75,false,-0.010399247,0.013572102,0.96238154,5,0.0056332564,10,10,0.10298919875548143,16.77455093533151,0.20450624018699096,6.889,0|1|0|0,-0.0364|0.0057|-0.0104|-0.0225,0.0364|0.0057|-0.0104|0.0225,0.9284|0.9886|1.0209|0.9555
h8_r9_open,8,9,false,30,1.0059545,1.0248985,0.75,false,-0.090674005,-0.0016524848,0.96238154,5,0.0056332564,10,10,0.11666993448102995,16.844219250768756,0.2011722823944411,7.639,1|1|1|0,0.0907|0.0274|0.0252|-0.0315,-0.0907|0.0274|0.0252|0.0315,1.1896|0.946|0.9503|0.938
h8_r9_open,8,9,false,35,0.9362811,0.95341444,0.75,false,-0.03193459,0.033148453,0.9362811,35,0.0056332564,10,10,0.11006799063723596,16.904637963232716,0.19075021422600372,8.398,0|1|1|1,-0.0602|0.0415|0.0628|0.0319,0.0602|0.0415|0.0628|-0.0319,0.8832|0.9187|0.8784|1.0649
h8_r9_open,8,9,false,40,1.0032785,1.0283024,0.5,false,-0.03658124,-0.0013433974,0.9362811,35,0.0056332564,10,10,0.11327201295879463,16.956293806672587,0.20101772809846555,9.164,0|0|1|1,-0.0098|-0.008|0.0295|0.0366,0.0098|-0.008|0.0295|-0.0366,0.9806|1.0161|0.9419|1.0745
h16_r8_open,16,8,false,0,0.96893847,0.98330253,0.75,false,-0.008630938,0.015880102,0.96893847,0,-0.008630938,0,-1,NaN,41.028843108194934,NaN,4.159,0|0|1|0,-0.0036|-0.0086|0.0476|-0.0209,0.0036|-0.0086|0.0476|0.0209,0.9929|1.0173|0.907|0.9585
h16_r8_open,16,8,false,5,1.0547217,1.0773584,0.25,false,-0.09469944,-0.025997339,0.96893847,0,-0.008630938,0,-1,0.227467726302015,41.37100799756244,1.0109684934979828,8.72,1|1|0|1,0.0947|0.0322|-0.0163|0.0252,-0.0947|0.0322|-0.0163|-0.0252,1.1984|0.9366|1.0329|1.051
h16_r8_open,16,8,false,10,0.97771174,0.99389106,0.5,false,-0.013508305,0.011816017,0.96893847,0,-0.008630938,0,-1,0.22528949266917753,41.74379076440965,0.7337794222286047,10.933,0|1|0|1,-0.0708|0.0032|-0.0135|0.0132,0.0708|0.0032|-0.0135|-0.0132,0.8635|0.9936|1.0272|1.0266
h16_r8_open,16,8,false,15,0.96885824,0.98994166,0.75,false,-0.010139633,0.015810888,0.96885824,15,-0.008630938,0,-1,0.23328257122802645,42.074204062120266,0.6322517972146069,13.178,0|0|1|0,-0.0277|-0.0101|0.021|-0.0247,0.0277|-0.0101|0.021|0.0247,0.9454|1.0204|0.9584|0.9513
