config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h16_r8_open,16,8,false,0,1.0140303,1.0773405,0.5,false,-0.024962274,-0.0069044298,1.0140303,0,-0.024962274,0,-1,NaN,41.028843108194934,NaN,5.45,1|1|0|0,0.025|0.0082|-0.0137|-0.0029,-0.025|0.0082|-0.0137|0.0029,1.0505|0.9837|1.0276|0.9943
h16_r8_open,16,8,false,5,1.0178668,1.056201,0.25,false,-0.026428198,-0.008455426,1.0140303,0,-0.024962274,0,-1,0.8238747045915502,41.04884369089311,0.2121003382603665,13.995,1|0|1|1,0.0264|-0.0249|0.043|0.0255,-0.0264|-0.0249|0.043|-0.0255,1.0536|1.0505|0.9158|1.0517
h16_r8_open,16,8,false,10,0.9416999,0.99052787,0.75,false,-0.14261395,0.035362132,0.9416999,10,-0.024962274,0,-1,0.8037384881341674,41.07715919842194,0.16900280982847427,19.27,0|0|1|0,-0.0951|-0.1426|0.0594|-0.1296,0.0951|-0.1426|0.0594|0.1296,0.8189|1.3056|0.8847|0.7576
h16_r8_open,16,8,false,15,1.0774646,1.1182225,0.25,false,-0.0863155,-0.037526935,0.9416999,10,-0.024962274,0,-1,0.8700530331440985,41.10832530254289,0.1554901242539262,24.636,1|0|1|1,0.0863|-0.0344|0.0023|0.0317,-0.0863|-0.0344|0.0023|-0.0317,1.1801|1.07|0.9954|1.0643
h16_r8_open,16,8,false,20,0.926532,0.983804,0.75,false,-0.08460949,0.04097961,0.926532,20,-0.024962274,0,-1,0.8265464060033217,41.143071340578565,0.14880279715979558,29.706,0|0|1|0,-0.0229|-0.0846|0.0924|-0.1332,0.0229|-0.0846|0.0924|0.1332,0.9547|1.1764|0.8238|0.7513
h16_r8_open,16,8,false,25,1.1479337,1.1848193,0.5,false,-0.30717263,-0.06044251,0.926532,20,-0.024962274,0,-1,0.8485414304357535,41.18458058223217,0.15200990385883398,34.968,0|0|1|1,-0.0032|-0.3072|0.1082|0.046,0.0032|-0.3072|0.1082|-0.046,0.9936|1.7087|0.7953|1.0942
h16_r8_open,16,8,false,30,0.93560404,0.97305894,0.75,false,-0.01537107,0.033620767,0.926532,20,-0.01537107,30,-1,0.787772001491306,41.23346762690549,0.15558060666854154,40.005,0|1|1|1,-0.0927|0.0072|0.05|0.0154,0.0927|0.0072|0.05|-0.0154,0.8231|0.9857|0.9026|1.031
h16_r9_open,16,9,false,0,0.9219436,0.9865205,0.5,false,-0.052793115,0.04267691,0.9219436,0,-0.052793115,0,-1,NaN,43.941424133530454,NaN,4.227,0|0|0|0,-0.128|-0.0045|-0.0528|-0.1,0.128|-0.0045|-0.0528|0.1,0.7604|1.009|1.1084|0.81
h16_r9_open,16,9,false,5,1.0197232,1.067589,0.5,false,-0.09843653,-0.008241035,0.9219436,0,-0.052793115,0,-1,0.8561120249271432,43.96334144062528,0.22838752775329368,9.552,0|0|0|0,-0.0328|-0.0984|-0.0125|-0.0452,0.0328|-0.0984|-0.0125|0.0452,0.9355|1.2066|1.0252|0.9117
h16_r9_open,16,9,false,10,1.096199,1.1544133,0.25,false,-0.07601264,-0.04651871,0.9219436,0,-0.052793115,0,-1,0.888922117443353,43.99193568454834,0.1793225770700212,14.928,1|0|0|0,0.0375|-0.0739|-0.076|-0.0013,-0.0375|-0.0739|-0.076|0.0013,1.0764|1.1533|1.1578|0.9973
h16_r9_open,16,9,false,15,1.0118289,1.0623497,0.25,false,-0.06578162,-0.0022733398,0.9219436,0,-0.052793115,0,-1,0.8915642253165093,44.026302452252196,0.16355793430630644,20.292,1|0|0|0,0.0575|-0.0294|-0.0658|-0.1436,-0.0575|-0.0294|-0.0658|0.1436,1.1183|1.0597|1.1359|0.7334
h16_r9_open,16,9,false,20,0.97430503,1.0300795,0.5,false,-0.071372844,0.017090078,0.9219436,0,-0.052793115,0,-1,0.8326839340627229,44.06390318022863,0.16077983225354003,26.02,0|1|0|1,-0.0315|0.159|-0.0714|0.0508,0.0315|0.159|-0.0714|-0.0508,0.9379|0.7073|1.1478|1.1041
h16_r9_open,16,9,false,25,1.0469296,1.0848162,0.25,false,-0.1089733,-0.018317208,0.9219436,0,-0.052793115,0,-1,0.8888207950107058,44.10855582838351,0.16449860104876193,31.7,1|0|0|0,0.109|-0.0602|-0.0547|-0.1506,-0.109|-0.0602|-0.0547|0.1506,1.2298|1.1241|1.1124|0.7214
h16_r9_open,16,9,false,30,1.0964004,1.1231642,0.5,false,-0.18959366,-0.043509066,0.9219436,0,-0.052793115,0,-1,0.8231830688825341,44.16403416879509,0.1743851427321013,36.852,0|1|0|1,-0.0291|0.0111|-0.1896|0.0247,0.0291|0.0111|-0.1896|-0.0247,0.9426|0.9778|1.4151|1.05
