config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h16_r8_open,16,8,false,0,0.91503286,0.9510339,0.5,false,-0.039779197,0.046325773,0.91503286,0,-0.039779197,0,-1,NaN,40.554554306514085,NaN,5.793,0|0|1|1,-0.0845|-0.0398|0.1482|0.0076,0.0845|-0.0398|0.1482|-0.0076,0.8381|1.0811|0.7256|1.0153
h16_r8_open,16,8,false,5,0.8455822,0.894521,0.75,false,-0.0097999945,0.08292881,0.8455822,5,-0.0097999945,5,-1,1.3011695809116486,40.57164465004315,0.20422812010583086,19.554,0|0|1|0,-0.1324|-0.0098|0.1606|-0.0486,0.1324|-0.0098|0.1606|0.0486,0.7528|1.0197|0.7047|0.9052
h16_r8_open,16,8,false,10,0.9741498,1.0313433,0.5,false,-0.0657531,0.014946189,0.8455822,5,-0.0097999945,5,-1,1.2922382423189227,40.596478870459784,0.15237968583408626,30.202,1|0|1|0,0.0658|-0.0043|0.1061|-0.0237,-0.0658|-0.0043|0.1061|0.0237,1.1358|1.0086|0.799|0.9531
h16_r8_open,16,8,false,15,1.0231345,1.0723869,0.5,false,-0.11937635,-0.009301419,0.8455822,5,-0.0097999945,5,-1,1.2540156236524005,40.6226426599709,0.13331468390881523,40.014,0|0|0|0,-0.0271|-0.1194|-0.001|-0.056,0.0271|-0.1194|-0.001|0.056,0.9465|1.253|1.002|0.8911
h16_r8_open,16,8,false,20,1.0882254,1.1517973,0.0,false,-0.1126481,-0.042179324,0.8455822,5,-0.0097999945,5,-1,1.2851986863570946,40.64980162399704,0.12683148792475557,50.064,1|0|0|1,0.002|-0.1126|-0.0526|0.0014,-0.002|-0.1126|-0.0526|-0.0014,1.004|1.238|1.108|1.0029
h16_r8_open,16,8,false,25,0.871691,0.92033434,0.75,false,-0.007446667,0.07044366,0.8455822,5,-0.007446667,25,-1,1.3492683830033811,40.675635510938854,0.12331183229469618,60.532,0|1|1|1,-0.2171|0.0199|0.0522|0.0074,0.2171|0.0199|0.0522|-0.0074,0.6129|0.9606|0.8983|1.0149
h16_r8_open,16,8,false,30,1.0319499,1.1016678,0.5,false,-0.074612185,-0.014082391,0.8455822,5,-0.007446667,25,-1,1.2549424212952147,40.70127604965614,0.11979639823179851,71.137,1|1|0|0,0.0698|0.0236|-0.0746|-0.0644,-0.0698|0.0236|-0.0746|0.0644,1.1444|0.9533|1.1548|0.8753
h16_r9_open,16,9,false,0,0.8950706,0.92941624,1.0,true,0.02972247,0.054399695,0.8950706,0,0.02972247,0,0,NaN,43.433495206572715,NaN,4.561,0|1|1|0,-0.1061|0.0405|0.0297|-0.0413,0.1061|0.0405|0.0297|0.0413,0.7991|0.9206|0.9414|0.9191
h16_r9_open,16,9,false,5,1.0334507,1.076487,0.25,false,-0.066875614,-0.015114088,0.8950706,0,0.02972247,0,0,1.2729433657296154,43.45507456971366,0.216588186224225,15.16,0|0|0|1,-0.0694|-0.0599|-0.0669|0.0031,0.0694|-0.0599|-0.0669|-0.0031,0.866|1.1234|1.1382|1.0062
h16_r9_open,16,9,false,10,1.0381486,1.0762343,0.5,false,-0.17262003,-0.012439134,0.8950706,0,0.02972247,0,0,1.310926265918487,43.47720757046156,0.16150401735549927,26.03,0|0|1|1,-0.1494|-0.1726|0.0041|0.0307,0.1494|-0.1726|0.0041|-0.0307,0.7235|1.375|0.9918|1.0623
h16_r9_open,16,9,false,15,1.0262413,1.0777133,0.5,false,-0.094776236,-0.011566242,0.8950706,0,0.02972247,0,0,1.260142330653301,43.49979935523051,0.13957906213554885,37.079,0|0|0|0,-0.0375|-0.0948|-0.026|-0.037,0.0375|-0.0948|-0.026|0.037,0.9264|1.1985|1.0527|0.9274
h16_r9_open,16,9,false,20,1.0398409,1.090972,0.5,false,-0.097584724,-0.017183723,0.8950706,0,0.02972247,0,0,1.3170994594559833,43.523694830732715,0.13010937427068595,48.095,1|1|0|0,0.0976|0.0547|-0.0802|-0.0543,-0.0976|0.0547|-0.0802|0.0543,1.2047|0.8935|1.1668|0.8944
h16_r9_open,16,9,false,25,1.0369482,1.1009698,0.25,false,-0.04334416,-0.017731797,0.8950706,0,0.02972247,0,0,1.278670622150905,43.547571587987974,0.12496641944792605,58.24,1|1|0|1,0.0388|0.0409|-0.0433|0.0297,-0.0388|0.0409|-0.0433|-0.0297,1.079|0.9199|1.0886|1.0603
h16_r9_open,16,9,false,30,1.0494246,1.0953052,0.25,false,-0.11794632,-0.021668933,0.8950706,0,0.02972247,0,0,1.3168097084345707,43.57345097513866,0.12355847195218338,68.828,1|0|1|1,0.1179|-0.0262|0.0924|0.0349,-0.1179|-0.0262|0.0924|-0.0349,1.2498|1.053|0.8238|1.0711
