config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r5_open,8,5,false,0,0.99377525,0.99713963,0.5,false,-0.0142629435,0.003226534,0.99377525,0,-0.0142629435,0,-1,NaN,15.08036283183029,NaN,0.005,0.828,0|1|0|1,-0.0178|0.0178|-0.0143|0.0085,0.0178|0.0178|-0.0143|-0.0085,0.9704|0.9672|1.032|1.0189
h8_r5_open,8,5,false,10,0.9920785,0.9945244,1.0,true,0.0022758269,0.0039694635,0.9920785,10,0.0022758269,10,10,0.08417300177840208,15.081459111622683,0.2121253213104485,0.0041687395,3.872,0|1|1|0,-0.0052|0.0032|0.0023|-0.0052,0.0052|0.0032|0.0023|0.0052,0.9913|0.9974|0.9977|0.9916
h8_r5_open,8,5,false,20,0.9831395,0.9857147,0.5,false,-0.00853616,0.008682578,0.9831395,20,0.0022758269,10,10,0.08001235261187502,15.084222475825372,0.1418484541450599,0.0034061642,7.193,1|1|1|1,0.0085|0.0441|0.0003|0.0011,-0.0085|0.0441|0.0003|-0.0011,1.0196|0.9155|1.0007|1.0071
h8_r5_open,8,5,false,30,1.0260372,1.0290395,0.25,false,-0.027751299,-0.01277635,0.9831395,20,0.0022758269,10,10,0.08254349659637279,15.086927684684202,0.10485083538309523,0.0027830848,10.433,1|1|0|1,0.0278|0.0172|-0.0153|0.0253,-0.0278|0.0172|-0.0153|-0.0253,1.0585|0.9705|1.0344|1.0528
h8_r5_open,8,5,false,40,0.995556,0.9975421,0.75,false,-0.015727645,0.0022846835,0.9831395,20,0.0022758269,10,10,0.0743413245523825,15.07097922076902,0.0823463959875011,0.0022739833,13.86,1|1|1|0,0.0157|0.0139|0.0049|-0.0061,-0.0157|0.0139|0.0049|0.0061,1.0342|0.974|0.9918|0.9902
h8_r5_open,8,5,false,50,0.9629796,0.9649674,1.0,true,0.012931384,0.018722821,0.9629796,50,0.012931384,50,10,0.07269141694607498,15.058484313804678,0.0655490938636315,0.0018580103,16.779,0|1|1|0,-0.0139|0.0144|0.0337|-0.0129,0.0139|0.0144|0.0337|0.0129,0.9741|0.9728|0.9362|0.9767
h8_r5_open,8,5,false,60,0.99169815,0.99433374,0.5,false,-0.001640326,0.004172893,0.9629796,50,0.012931384,50,10,0.07190389246828832,15.040329187727087,0.05278217833421374,0.00151813,19.642,1|1|1|1,0.0002|0.0082|0.0103|0.0016,-0.0002|0.0082|0.0103|-0.0016,1.0028|0.9849|0.9818|1.0078
h8_r5_open,8,5,false,70,0.9930929,0.9954182,0.5,false,-0.010384803,0.0035445248,0.9629796,50,0.012931384,50,10,0.07287012648624255,15.020204288398823,0.0437385503121512,0.001240423,22.634,1|1|0|0,0.0081|0.0129|-0.0104|-0.0197,-0.0081|0.0129|-0.0104|0.0197,1.0187|0.9773|1.0228|0.9628
h8_r5_open,8,5,false,80,0.9964682,0.9990231,0.5,false,-0.010128603,0.0018478583,0.9629796,50,0.012931384,50,10,0.07794717876830275,15.004095917019105,0.03581159125147896,0.0010135161,25.703,1|1|1|1,0.0081|0.0217|0.0039|0.0101,-0.0081|0.0217|0.0039|-0.0101,1.0189|0.96|0.9951|1.0221
h8_r5_open,8,5,false,90,1.0090619,1.0116419,0.0,false,-0.010960493,-0.004512828,0.9629796,50,0.012931384,50,10,0.08200969299263768,14.986898677111546,0.02857177387880645,0.0008281166,28.785,1|0|0|1,0.0027|-0.0042|-0.011|0.0002,-0.0027|-0.0042|-0.011|-0.0002,1.0084|1.0103|1.0254|1.0025
h8_r5_open,8,5,false,100,0.9990908,1.0016686,0.5,false,-0.022314355,0.00059751794,0.9629796,50,0.012931384,50,10,0.0800919578979103,14.976165654790499,0.02434696753118556,0.0006766317,31.896,0|0|1|1,-0.0058|-0.0053|0.0242|0.0223,0.0058|-0.0053|0.0242|-0.0223,0.9903|1.0124|0.9539|1.0501
