config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r8_open,8,8,false,0,0.9491217,0.95701826,0.75,false,-0.118711054,0.030319333,0.9491217,0,-0.118711054,0,-1,NaN,4.651491742145319,NaN,5.179,1|1|1|0,0.1187|0.0464|0.0517|-0.1418,-0.1187|0.0464|0.0517|0.1418,1.0453|0.9779|0.9484|0.8566
h8_r8_open,8,8,false,10,1.0249577,0.98297906,0.5,false,-0.079636276,-0.010876983,0.9491217,0,-0.079636276,10,-1,0.6646864708380001,5.5866186620308325,0.2718598767163091,10.302,0|0|1|1,-0.0697|-0.0397|0.0061|0.0796,0.0697|-0.0397|0.0061|-0.0796,0.9623|0.9123|1.0147|1.0427
h8_r8_open,8,8,false,20,0.9845037,1.0025972,0.5,false,-0.048839748,0.009287789,0.9491217,0,-0.048839748,20,-1,0.6547706141553171,6.365463004581467,0.2058857591431408,11.77,0|0|1|1,-0.0767|-0.0401|0.0494|0.0488,0.0767|-0.0401|0.0494|-0.0488,1.011|0.9803|1.0154|1.0037
h8_r8_open,8,8,false,30,0.8304481,1.0000463,1.0,true,0.022232115,0.08966282,0.8304481,30,0.022232115,30,30,0.6426290706393553,6.937573131828785,0.19215785588778195,13.321,0|1|1|0,-0.0965|0.0222|0.1359|-0.104,0.0965|0.0222|0.1359|0.104,1.0612|0.9851|0.9266|1.0272
h8_r8_open,8,8,false,40,1.1125623,1.0431399,0.5,false,-0.18166411,-0.051497936,0.8304481,30,0.022232115,30,30,0.6836648958512759,7.39850736462195,0.19557247978767806,14.795,1|1|0|0,0.0627|0.0019|-0.1817|-0.0364,-0.0627|0.0019|-0.1817|0.0364,1.0321|1.0007|1.1125|1.0272
h8_r8_open,8,8,false,50,0.9666264,0.9673161,0.5,false,-0.11728346,0.021134421,0.8304481,30,0.022232115,30,30,0.6605096807672833,7.872825201155505,0.1860395716345948,16.328,1|1|0|0,0.0038|0.0846|-0.1173|-0.121,-0.0038|0.0846|-0.1173|0.121,0.9156|0.9759|1.0311|0.9467
h8_r8_open,8,8,false,60,1.0675025,0.9991193,0.25,false,-0.08174181,-0.032043144,0.8304481,30,0.022232115,30,30,0.66118523574414,8.304566692001126,0.18722218555131087,17.849,0|0|0|1,-0.0433|-0.0216|-0.0682|0.0817,0.0433|-0.0216|-0.0682|-0.0817,1.0243|0.9863|1.0077|0.9782
h8_r8_open,8,8,false,70,1.1008027,1.0313537,0.25,false,-0.11248505,-0.048209682,0.8304481,30,0.022232115,30,30,0.6610417493484915,8.671663848780694,0.18801594320121473,19.396,1|0|0|0,0.0377|-0.1125|-0.0571|-0.0144,-0.0377|-0.1125|-0.0571|0.0144,1.0086|1.0746|1.0343|1.008
h8_r8_open,8,8,false,80,1.0146629,1.0177562,0.25,false,-0.08478856,-0.003022492,0.8304481,30,0.022232115,30,30,0.6659962715625931,9.1343820494221,0.1884131250700993,21.035,1|0|0|0,0.0848|-0.0115|-0.0665|-0.1507,-0.0848|-0.0115|-0.0665|0.1507,1.1219|1.0163|1.0216|0.9113
h8_r9_open,8,9,false,0,1.0074599,0.98392886,0.5,false,-0.16372293,0.003519103,1.0074599,0,-0.16372293,0,-1,NaN,4.632402424410005,NaN,3.638,0|0|1|1,-0.1116|-0.1637|0.124|0.0578,0.1116|-0.1637|0.124|-0.0578,0.8704|1.1086|0.908|1.0487
h8_r9_open,8,9,false,10,1.1622832,1.0683744,0.25,false,-0.19058669,-0.07340336,1.0074599,0,-0.16372293,0,-1,0.7106150220641853,5.630390890045471,0.2687360255356334,5.313,1|0|0|0,0.1906|-0.1464|-0.0183|-0.0617,-0.1906|-0.1464|-0.0183|0.0617,1.1194|1.0626|1.0517|1.0399
h8_r9_open,8,9,false,20,1.0796947,1.0457244,0.25,false,-0.20617062,-0.033248037,1.0074599,0,-0.16372293,0,-1,0.6466025621881998,6.375392826917395,0.21226627770956394,7.059,0|0|0|1,-0.0995|-0.0082|-0.2062|0.0181,0.0995|-0.0082|-0.2062|-0.0181,0.9438|1.0704|1.1576|1.0111
h8_r9_open,8,9,false,30,0.9067187,1.0006089,0.75,false,-0.008028924,0.04867898,0.9067187,30,-0.008028924,30,-1,0.6789760812681473,6.977935075033082,0.19708247227578116,8.711,0|0|1|0,-0.0584|-0.008|0.0375|-0.1069,0.0584|-0.008|0.0375|0.1069,1.0322|0.9054|1.0164|1.0485
h8_r9_open,8,9,false,40,1.1392248,1.0948976,0.75,false,-0.34188008,-0.05399388,0.9067187,30,-0.008028924,30,-1,0.6858447044707635,7.516376418143819,0.19135135719868615,10.468,0|0|1|0,-0.0846|-0.3419|0.0256|-0.0156,0.0846|-0.3419|0.0256|0.0156,1.0666|1.2198|1.0005|1.0927
h8_r9_open,8,9,false,50,1.0038643,1.0349445,0.5,false,-0.15356714,0.010237232,0.9067187,30,-0.008028924,30,-1,0.6583342831842194,7.9790981943829635,0.19204950262967166,11.931,0|0|0|0,-0.1461|-0.1359|-0.1536|-0.1843,0.1461|-0.1359|-0.1536|0.1843,0.996|1.1058|1.1289|0.909
