config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h16_r9_open,16,9,false,0,1.0898706,1.0108894,0.25,false,-0.17574519,-0.040078178,1.0898706,0,-0.17574519,0,-1,NaN,13.187505785321598,NaN,0.002,5.172,1|1|0|1,0.0006|0.0706|-0.1757|0.0546,-0.0006|0.0706|-0.1757|-0.0546,0.9612|0.9748|1.0514|1.0562
h16_r9_open,16,9,false,10,1.0907974,1.0332313,0.25,false,-0.14842397,-0.042188212,1.0898706,0,-0.14842397,10,-1,1.7856881916319447,13.587602439852168,0.2592588946141853,0.0016674959,12.971,1|0|0|0,0.0115|-0.1484|-0.0462|-0.0373,-0.0115|-0.1484|-0.0462|0.0373,0.9652|1.1411|1.0183|1.0083
h16_r9_open,16,9,false,20,1.0244243,1.0182115,0.25,false,-0.0964731,-0.008574799,1.0244243,20,-0.0964731,20,-1,1.7863582512613099,13.855399919655648,0.1663890621550011,0.0013624658,17.468,1|0|0|0,0.0345|-0.0351|-0.0965|-0.1318,-0.0345|-0.0351|-0.0965|0.1318,0.9771|1.0775|1.0322|0.986
h16_r9_open,16,9,false,30,1.1266834,1.0549483,0.25,false,-0.14004773,-0.059478447,1.0244243,20,-0.0964731,20,-1,1.7781204706278468,14.01433102217239,0.1246589089839449,0.001113234,21.861,1|1|0|1,0.072|0.0408|-0.0666|0.14,-0.072|0.0408|-0.0666|-0.14,1.0579|1.0376|1.0819|1.0424
h16_r9_open,16,9,false,40,0.92363787,1.0342185,0.75,false,-0.023151875,0.03985688,0.92363787,40,-0.023151875,40,-1,1.8011084402078796,14.114657506243454,0.09942960411554447,0.00090959336,26.456,0|1|0|0,-0.0756|0.0802|-0.0232|-0.0267,0.0756|0.0802|-0.0232|0.0267,0.9811|1.0092|1.0438|1.1028
h16_r9_open,16,9,false,50,1.0975331,1.0916591,0.25,false,-0.098560095,-0.04662071,0.92363787,40,-0.023151875,40,-1,1.7543510433745244,14.181723876675141,0.08008205590253079,0.00074320415,31.273,1|1|0|1,0.0815|0.0167|-0.0231|0.0986,-0.0815|0.0167|-0.0231|-0.0986,1.0195|1.0395|1.0955|1.2122
h16_r9_open,16,9,false,60,1.1747346,1.041489,0.25,false,-0.14220792,-0.08154987,0.92363787,40,-0.023151875,40,-1,1.7925748371585397,14.226086277037643,0.06574866487345023,0.000607252,35.534,1|0|1|1,0.1422|-0.1171|0.0386|0.1055,-0.1422|-0.1171|0.0386|-0.1055,1.0256|1.095|1.022|1.0234
h16_r9_open,16,9,false,70,0.9646937,1.0242188,0.75,false,-0.06391859,0.019706711,0.92363787,40,-0.023151875,40,-1,1.7924442895507766,14.25390625,0.053760659438211934,0.00049616926,39.946,0|1|0|0,-0.1052|0.0019|-0.0639|-0.0356,0.1052|0.0019|-0.0639|0.0356,0.9602|1.0311|1.0971|1.0085
h16_r9_open,16,9,false,80,1.0004425,1.0771191,0.5,false,-0.146029,0.0051603317,0.92363787,40,-0.023151875,40,-1,1.7860210836347212,14.273370150703174,0.044119773376806525,0.00040540646,44.582,1|0|1|0,0.0139|-0.146|0.1414|-0.0392,-0.0139|-0.146|0.1414|0.0392,0.9806|1.2173|0.9895|1.121
h16_r9_open,16,9,false,90,0.97282547,1.0091178,0.5,false,-0.027660847,0.014466122,0.92363787,40,-0.023151875,40,-1,1.7678346563673364,14.286041190630476,0.035928352308649186,0.00033124667,48.942,0|1|0|1,-0.0238|0.0744|-0.0277|0.0127,0.0238|0.0744|-0.0277|-0.0127,0.945|1.0054|1.0815|1.0046
